ENSAHAP00000023568	ENSAHAG00000016479	Apteryx_haastii
ENSAOWP00000014861	ENSAOWG00000010146	Apteryx_owenii
ENSARWP00000000381	ENSARWG00000000346	Apteryx_rowi
ENSDNVP00000019181	ENSDNVG00000013437	Dromaius_novaehollandiae
ENSABRP00000013927	ENSABRG00000012364	Anser_brachyrhynchus	ENSABRT00000019884
ENSAPLP00000012900	ENSAPLG00000013110	Anas_platyrhynchos_platyrhynchos
ENSGALP00000000909	ENSGALG00000000639	Gallus_gallus
ENSCJPP00005011663	ENSCJPG00005010010	Coturnix_japonica
ENSMGAP00000016602	ENSMGAG00000015661	Meleagris_gallopavo
ENSNMEP00000009609	ENSNMEG00000009258	Numida_meleagris
ENSCPGP00000024361	ENSCPGG00000016799	Calidris_pygmaea
ENSCPUP00000023885	ENSCPUG00000016195	Calidris_pugnax
ENSLCOP00000003321	ENSLCOG00000002522	Lepidothrix_coronata
ENSMVIP00005026218	ENSMVIG00005018281	Manacus_vitellinus
ENSTGUP00000017763	ENSTGUG00000017481	Taeniopygia_guttata
ENSLSDP00000014491	ENSLSDG00000010468	Lonchura_striata_domestica
ENSSCAP00000009350	ENSSCAG00000007135	Serinus_canaria
ENSFALP00000015166	ENSFALG00000014551	Ficedula_albicollis
ENSJHYP00000001858	ENSJHYG00000001604	Junco_hyemalis
ENSPMJP00000023014	ENSPMJG00000017025	Parus_major
ENSCCEP00000019562	ENSCCEG00000017751	Cyanistes_caeruleus
ENSNPEP00000004384	ENSNPEG00000003361	Nothoprocta_perdicaria
ENSMUNP00000005348	ENSMUNG00000004399	Melopsittacus_undulatus
ENSCPRP00005015048	ENSCPRG00005010562	Crocodylus_porosus
ENSGAGP00000035957	ENSGAGG00000025500	Gopherus_agassizii
ENSCABP00000002818	ENSCABG00000002178	Chelonoidis_abingdonii
ENSCPBP00000001485	ENSCPBG00000001210	Chrysemys_picta_bellii
ENSPSIP00000001957	ENSPSIG00000001964	Pelodiscus_sinensis
ENSPVIP00000017556	ENSPVIG00000013490	Pogona_vitticeps
ENSACAP00000007175	ENSACAG00000007344	Anolis_carolinensis
ENSNSUP00000022751	ENSNSUG00000016505	Notechis_scutatus
ENSSMRP00000003938	ENSSMRG00000003285	Salvator_merianae
ENSCCNP00000011922	ENSCCNG00000012387	Castor_canadensis
ENSDORP00000008005	ENSDORG00000008526	Dipodomys_ordii
ENSMSIP00000027127	ENSMSIG00000022899	Mus_spicilegus
MGP_SPRETEiJ_P0020881	MGP_SPRETEiJ_G0015399	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0019837	MGP_CAROLIEiJ_G0014592	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000027706	ENSMUSG00000026443	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0075139	MGP_PahariEiJ_G0027828	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012844	ENSRNOG00000009691	Rattus_norvegicus
ENSMUGP00000026212	ENSMUGG00000021853	Meriones_unguiculatus
ENSCGRP00015002927	ENSCGRG00015002359	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008607	ENSCGRG00001010870	Cricetulus_griseus_CHOK1GS_HDv1
