ENSPLAP00000026906	ENSPLAG00000015069	Poecilia_latipinna
ENSPREP00000026492	ENSPREG00000017905	Poecilia_reticulata
ENSXCOP00000011039	ENSXCOG00000008340	Xiphophorus_couchianus
ENSORLP00015022330	ENSORLG00015001590	Oryzias_latipes_ASM223469v1
ENSNBRP00000007695	ENSNBRG00000006001	Neolamprologus_brichardi
ENSPNYP00000017137	ENSPNYG00000012977	Pundamilia_nyererei
ENSAOCP00000010301	ENSAOCG00000014537	Amphiprion_ocellaris
ENSSLDP00000016095	ENSSLDG00000012766	Seriola_lalandi_dorsalis
ENSSLDP00000012637	ENSSLDG00000010049	Seriola_lalandi_dorsalis
ENSSDUP00000027485	ENSSDUG00000019881	Seriola_dumerili
ENSHCOP00000023902	ENSHCOG00000012809	Hippocampus_comes
ENSMAMP00000019224	ENSMAMG00000012938	Mastacembelus_armatus
ENSMMOP00000007668	ENSMMOG00000005966	Mola_mola
ENSPMGP00000027631	ENSPMGG00000022297	Periophthalmus_magnuspinnatus
ENSHHUP00000078021	ENSHHUG00000045551	Hucho_hucho
ENSEEEP00000006922	ENSEEEG00000003648	Electrophorus_electricus
ENSIPUP00000031594	ENSIPUG00000021260	Ictalurus_punctatus
ENSAMXP00005032261	ENSAMXG00005015743	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000012765	ENSAMXG00000012421	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000146986	ENSDARG00000113009	Danio_rerio
ENSEEEP00000010396	ENSEEEG00000005264	Electrophorus_electricus
ENSDCDP00000028694	ENSDCDG00000020627	Denticeps_clupeoides
ENSATEP00000014823	ENSATEG00000010333	Anabas_testudineus
ENSCAFP00000053409	ENSCAFG00000043949	Canis_lupus_familiaris
ENSCAFP00020009882	ENSCAFG00020008023	Canis_lupus_dingo
ENSCAPP00000015040	ENSCAPG00000015280	Cavia_aperea
