ENSTRUP00000049589	ENSTRUG00000022827	Takifugu_rubripes
ENSTNIP00000002368	ENSTNIG00000001601	Tetraodon_nigroviridis
ENSMMOP00000013741	ENSMMOG00000010497	Mola_mola
ENSLCRP00005008678	ENSLCRG00005004132	Larimichthys_crocea
ENSLBEP00000037406	ENSLBEG00000027923	Labrus_bergylta
ENSLBEP00000008984	ENSLBEG00000006952	Labrus_bergylta
ENSGACP00000010428	ENSGACG00000007861	Gasterosteus_aculeatus
ENSCGOP00000033842	ENSCGOG00000015675	Cottoperca_gobio
ENSAOCP00000011449	ENSAOCG00000015749	Amphiprion_ocellaris
ENSAPEP00000024197	ENSAPEG00000017209	Amphiprion_percula
ENSAPOP00000008874	ENSAPOG00000011074	Acanthochromis_polyacanthus
ENSSPAP00000027065	ENSSPAG00000020416	Stegastes_partitus
ENSPRNP00000022490	ENSPRNG00000011521	Parambassis_ranga
ENSMZEP00005018371	ENSMZEG00005013796	Maylandia_zebra
ENSACLP00000035769	ENSACLG00000024223	Astatotilapia_calliptera
ENSONIP00000006531	ENSONIG00000005199	Oreochromis_niloticus
ENSFHEP00000022634	ENSFHEG00000003146	Fundulus_heteroclitus
ENSCVAP00000029764	ENSCVAG00000017786	Cyprinodon_variegatus
ENSPFOP00000008393	ENSPFOG00000008141	Poecilia_formosa
ENSPLAP00000028350	ENSPLAG00000017654	Poecilia_latipinna
ENSPMEP00000018888	ENSPMEG00000021854	Poecilia_mexicana
ENSPREP00000028857	ENSPREG00000019491	Poecilia_reticulata
ENSXMAP00000030756	ENSXMAG00000025532	Xiphophorus_maculatus
ENSXCOP00000017014	ENSXCOG00000012833	Xiphophorus_couchianus
ENSGAFP00000012473	ENSGAFG00000008427	Gambusia_affinis
ENSORLP00000013946	ENSORLG00000011120	Oryzias_latipes_ASM223467v1
ENSORLP00020014349	ENSORLG00020015398	Oryzias_latipes_ASM223471v1
ENSORLP00015000002	ENSORLG00015023314	Oryzias_latipes_ASM223469v1
ENSOMEP00000001805	ENSOMEG00000002736	Oryzias_melastigma
ENSGWIP00000025213	ENSGWIG00000013326	Gouania_willdenowi
ENSMAMP00000009523	ENSMAMG00000006425	Mastacembelus_armatus
ENSMALP00000030198	ENSMALG00000020861	Monopterus_albus
ENSSMAP00000031819	ENSSMAG00000019481	Scophthalmus_maximus
ENSCSEP00000029544	ENSCSEG00000018933	Cynoglossus_semilaevis
ENSSLDP00000026896	ENSSLDG00000020906	Seriola_lalandi_dorsalis
ENSLCAP00010046236	ENSLCAG00010021448	Lates_calcarifer
ENSHCOP00000011695	ENSHCOG00000014560	Hippocampus_comes
ENSPMGP00000027108	ENSPMGG00000021891	Periophthalmus_magnuspinnatus
ENSGMOP00000018951	ENSGMOG00000017520	Gadus_morhua
ENSCHAP00000028257	ENSCHAG00000013654	Clupea_harengus
ENSAMXP00005050772	ENSAMXG00005023005	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000053133	ENSAMXG00000042998	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000003469	ENSPNAG00000009892	Pygocentrus_nattereri
ENSDCDP00000030092	ENSDCDG00000021199	Denticeps_clupeoides
ENSPKIP00000007036	ENSPKIG00000023088	Paramormyrops_kingsleyae
ENSECRP00000007269	ENSECRG00000004854	Erpetoichthys_calabaricus
ENSEBUP00000001846	ENSEBUG00000001513	Eptatretus_burgeri
ENSEBUP00000003383	ENSEBUG00000002469	Eptatretus_burgeri
