ENSXETP00000012151	ENSXETG00000014780	Xenopus_tropicalis	ENSXETT00000037542
ENSXETP00000034766	ENSXETG00000014829	Xenopus_tropicalis	ENSXETT00000024945
ENSACAP00000009173	ENSACAG00000009378	Anolis_carolinensis	ENSACAT00000009366
ENSPVIP00000010528	ENSPVIG00000008346	Pogona_vitticeps	ENSPVIT00000013396
ENSSMRP00000011827	ENSSMRG00000009285	Salvator_merianae
ENSNSUP00000016413	ENSNSUG00000012115	Notechis_scutatus
ENSSPUP00000013211	ENSSPUG00000010156	Sphenodon_punctatus
ENSGALP00000007583	ENSGALG00000004760	Gallus_gallus
ENSMGAP00000005366	ENSMGAG00000005436	Meleagris_gallopavo
ENSCJPP00005007707	ENSCJPG00005007032	Coturnix_japonica
ENSNMEP00000024772	ENSNMEG00000020997	Numida_meleagris
ENSABRP00000023499	ENSABRG00000019792	Anser_brachyrhynchus
ENSAPLP00000008208	ENSAPLG00000008542	Anas_platyrhynchos_platyrhynchos
ENSSCAP00000010866	ENSSCAG00000008195	Serinus_canaria
ENSJHYP00000013479	ENSJHYG00000010458	Junco_hyemalis
ENSLSDP00000006514	ENSLSDG00000004950	Lonchura_striata_domestica
ENSTGUP00000006830	ENSTGUG00000006644	Taeniopygia_guttata
ENSCCEP00000006622	ENSCCEG00000007068	Cyanistes_caeruleus
ENSPMJP00000005441	ENSPMJG00000004709	Parus_major
ENSFALP00000009377	ENSFALG00000008987	Ficedula_albicollis
ENSMVIP00005024057	ENSMVIG00005016879	Manacus_vitellinus
ENSLCOP00000014876	ENSLCOG00000010652	Lepidothrix_coronata
ENSMUNP00000021093	ENSMUNG00000015984	Melopsittacus_undulatus
ENSCPGP00000027055	ENSCPGG00000018641	Calidris_pygmaea
ENSCPUP00000009638	ENSCPUG00000006851	Calidris_pugnax
ENSAHAP00000024257	ENSAHAG00000016937	Apteryx_haastii
ENSAOWP00000028277	ENSAOWG00000019043	Apteryx_owenii
ENSARWP00000012454	ENSARWG00000008618	Apteryx_rowi
ENSDNVP00000020802	ENSDNVG00000014558	Dromaius_novaehollandiae
ENSNPEP00000006397	ENSNPEG00000004761	Nothoprocta_perdicaria
ENSCPRP00005020973	ENSCPRG00005014602	Crocodylus_porosus
ENSGAGP00000006174	ENSGAGG00000004980	Gopherus_agassizii
ENSCABP00000022002	ENSCABG00000016215	Chelonoidis_abingdonii
ENSCPBP00000004598	ENSCPBG00000003684	Chrysemys_picta_bellii
ENSPSIP00000003634	ENSPSIG00000003458	Pelodiscus_sinensis
ENSVURP00010004604	ENSVURG00010003659	Vombatus_ursinus
ENSPCIP00000012671	ENSPCIG00000010087	Phascolarctos_cinereus
ENSMEUP00000005941	ENSMEUG00000006509	Notamacropus_eugenii
ENSSHAP00000011435	ENSSHAG00000009829	Sarcophilus_harrisii
ENSMSIP00000012712	ENSMSIG00000010870	Mus_spicilegus
ENSMUSP00000091917	ENSMUSG00000029452	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0073122	MGP_SPRETEiJ_G0028681	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0070437	MGP_CAROLIEiJ_G0027683	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0058649	MGP_PahariEiJ_G0024263	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000063208	ENSRNOG00000027480	Rattus_norvegicus
ENSMUGP00000016302	ENSMUGG00000013932	Meriones_unguiculatus
ENSMOCP00000003407	ENSMOCG00000002712	Microtus_ochrogaster
ENSPEMP00000018811	ENSPEMG00000017289	Peromyscus_maniculatus_bairdii
ENSCGRP00000018336	ENSCGRG00000013344	Cricetulus_griseus_CriGri_1.0
