ENSGACP00000000046	ENSGACG00000000033	Gasterosteus_aculeatus
ENSLBEP00000008102	ENSLBEG00000006265	Labrus_bergylta
ENSSMAP00000002224	ENSSMAG00000001391	Scophthalmus_maximus
ENSORLP00000044632	ENSORLG00000026381	Oryzias_latipes_ASM223467v1
ENSORLP00020035098	ENSORLG00020021916	Oryzias_latipes_ASM223471v1
ENSORLP00015017772	ENSORLG00015018808	Oryzias_latipes_ASM223469v1
ENSOMEP00000023243	ENSOMEG00000003240	Oryzias_melastigma
ENSGWIP00000000261	ENSGWIG00000000166	Gouania_willdenowi
ENSLCRP00005059189	ENSLCRG00005021930	Larimichthys_crocea
ENSCGOP00000024855	ENSCGOG00000011784	Cottoperca_gobio
ENSSPAP00000001697	ENSSPAG00000001303	Stegastes_partitus
ENSSPAP00000000538	ENSSPAG00000000433	Stegastes_partitus
ENSAOCP00000025277	ENSAOCG00000012727	Amphiprion_ocellaris
ENSAPEP00000031429	ENSAPEG00000022320	Amphiprion_percula
ENSAPOP00000022988	ENSAPOG00000004500	Acanthochromis_polyacanthus
ENSFHEP00000026665	ENSFHEG00000009634	Fundulus_heteroclitus
ENSCVAP00000031166	ENSCVAG00000020243	Cyprinodon_variegatus
ENSKMAP00000018985	ENSKMAG00000014112	Kryptolebias_marmoratus
ENSSDUP00000012784	ENSSDUG00000009308	Seriola_dumerili
ENSSLDP00000008672	ENSSLDG00000006886	Seriola_lalandi_dorsalis
ENSLCAP00010024327	ENSLCAG00010011404	Lates_calcarifer
ENSBSLP00000027317	ENSBSLG00000013721	Betta_splendens
ENSHBUP00000012864	ENSHBUG00000014584	Haplochromis_burtoni
ENSPNYP00000029813	ENSPNYG00000022481	Pundamilia_nyererei
ENSMZEP00005022443	ENSMZEG00005016817	Maylandia_zebra
ENSACLP00000009188	ENSACLG00000006274	Astatotilapia_calliptera
ENSNBRP00000017804	ENSNBRG00000013740	Neolamprologus_brichardi
ENSACIP00000012390	ENSACIG00000009676	Amphilophus_citrinellus
ENSPRNP00000052335	ENSPRNG00000024740	Parambassis_ranga
ENSCSEP00000024043	ENSCSEG00000015330	Cynoglossus_semilaevis
ENSTRUP00000019063	ENSTRUG00000007684	Takifugu_rubripes
ENSTRUP00000007627	ENSTRUG00000003256	Takifugu_rubripes
ENSTNIP00000020633	ENSTNIG00000017489	Tetraodon_nigroviridis
ENSMMOP00000019617	ENSMMOG00000014886	Mola_mola
ENSMMOP00000012326	ENSMMOG00000009480	Mola_mola
ENSMALP00000009584	ENSMALG00000006809	Monopterus_albus
ENSMAMP00000019570	ENSMAMG00000013164	Mastacembelus_armatus
ENSATEP00000008051	ENSATEG00000005651	Anabas_testudineus
ENSHCOP00000009660	ENSHCOG00000012133	Hippocampus_comes
