ENSEBUP00000015286	ENSEBUG00000009641	Eptatretus_burgeri	ENSEBUT00000015862
ENSEBUP00000012374	ENSEBUG00000007881	Eptatretus_burgeri	ENSEBUT00000012950
ENSCABP00000025694	ENSCABG00000018896	Chelonoidis_abingdonii	ENSCABT00000028150
ENSGAGP00000001174	ENSGAGG00000000951	Gopherus_agassizii	ENSGAGT00000001319
ENSCPBP00000027325	ENSCPBG00000019348	Chrysemys_picta_bellii
ENSPSIP00000006702	ENSPSIG00000006178	Pelodiscus_sinensis
ENSAOWP00000002935	ENSAOWG00000002099	Apteryx_owenii
ENSAHAP00000010734	ENSAHAG00000007771	Apteryx_haastii
ENSARWP00000013867	ENSARWG00000009586	Apteryx_rowi
ENSNPEP00000012434	ENSNPEG00000009289	Nothoprocta_perdicaria
ENSDNVP00000014582	ENSDNVG00000010268	Dromaius_novaehollandiae
ENSABRP00000024316	ENSABRG00000020435	Anser_brachyrhynchus
ENSAPLP00000027219	ENSAPLG00000030704	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000004360	ENSMGAG00000004537	Meleagris_gallopavo
ENSGALP00000057042	ENSGALG00000003265	Gallus_gallus
ENSCJPP00005000477	ENSCJPG00005000567	Coturnix_japonica
ENSNMEP00000007314	ENSNMEG00000007357	Numida_meleagris
ENSCPUP00000027273	ENSCPUG00000018364	Calidris_pugnax
ENSMUNP00000011082	ENSMUNG00000008696	Melopsittacus_undulatus
ENSLCOP00000012497	ENSLCOG00000009049	Lepidothrix_coronata
ENSMVIP00005016868	ENSMVIG00005012084	Manacus_vitellinus
ENSPMJP00000007406	ENSPMJG00000006115	Parus_major
ENSCCEP00000020643	ENSCCEG00000018752	Cyanistes_caeruleus
ENSJHYP00000008650	ENSJHYG00000006855	Junco_hyemalis
ENSZALP00000010862	ENSZALG00000009152	Zonotrichia_albicollis
ENSSCAP00000006294	ENSSCAG00000004912	Serinus_canaria
ENSTGUP00000017622	ENSTGUG00000017343	Taeniopygia_guttata
ENSTGUP00000017619	ENSTGUG00000017341	Taeniopygia_guttata
ENSFALP00000000666	ENSFALG00000000644	Ficedula_albicollis
ENSARWP00000013865	ENSARWG00000009585	Apteryx_rowi
ENSCPGP00000020994	ENSCPGG00000014655	Calidris_pygmaea
ENSPVIP00000017132	ENSPVIG00000013212	Pogona_vitticeps
ENSACAP00000011575	ENSACAG00000011807	Anolis_carolinensis
ENSNSUP00000016115	ENSNSUG00000011930	Notechis_scutatus
ENSSMRP00000015406	ENSSMRG00000011968	Salvator_merianae
ENSSPUP00000023294	ENSSPUG00000017872	Sphenodon_punctatus
ENSMLUP00000008599	ENSMLUG00000009441	Myotis_lucifugus
ENSEEUP00000000410	ENSEEUG00000000463	Erinaceus_europaeus
ENSUAMP00000011204	ENSUAMG00000009174	Ursus_americanus
ENSCAPP00000000626	ENSCAPG00000000642	Cavia_aperea
ENSCPOP00000020003	ENSCPOG00000020765	Cavia_porcellus
ENSHGLP00100009593	ENSHGLG00100007112	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016655	ENSHGLG00000011914	Heterocephalus_glaber_HetGla_female_1.0
ENSJJAP00000012369	ENSJJAG00000015424	Jaculus_jaculus
ENSHGLP00100007038	ENSHGLG00100005279	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000010628	ENSHGLG00000007617	Heterocephalus_glaber_HetGla_female_1.0
ENSJJAP00000006505	ENSJJAG00000011162	Jaculus_jaculus
ENSMNEP00000042567	ENSMNEG00000044012	Macaca_nemestrina
ENSTGEP00000012566	ENSTGEG00000010266	Theropithecus_gelada
ENSCANP00000020836	ENSCANG00000033860	Colobus_angolensis_palliatus
ENSPTEP00000040943	ENSPTEG00000037652	Piliocolobus_tephrosceles
ENSTGEP00000002517	ENSTGEG00000002208	Theropithecus_gelada
ENSPANP00000021313	ENSPANG00000029281	Papio_anubis
ENSCATP00000013315	ENSCATG00000030780	Cercocebus_atys
ENSMNEP00000032859	ENSMNEG00000039724	Macaca_nemestrina
ENSMFAP00000022675	ENSMFAG00000043029	Macaca_fascicularis
ENSNLEP00000037855	ENSNLEG00000033394	Nomascus_leucogenys
ENSTBEP00000005849	ENSTBEG00000006790	Tupaia_belangeri
ENSCCAP00000030759	ENSCCAG00000033430	Cebus_capucinus_imitator
ENSJJAP00000001733	ENSJJAG00000002376	Jaculus_jaculus
ENSJJAP00000009975	ENSJJAG00000013693	Jaculus_jaculus
ENSJJAP00000022997	ENSJJAG00000022891	Jaculus_jaculus
ENSDORP00000019913	ENSDORG00000029587	Dipodomys_ordii
ENSCCNP00000018223	ENSCCNG00000018508	Castor_canadensis
ENSSDAP00000013957	ENSSDAG00000012594	Spermophilus_dauricus
ENSSTOP00000002469	ENSSTOG00000002775	Ictidomys_tridecemlineatus
ENSMMMP00000010368	ENSMMMG00000009225	Marmota_marmota_marmota
ENSHGLP00100004909	ENSHGLG00100003719	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000022429	ENSHGLG00000015995	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000010145	ENSFDAG00000017965	Fukomys_damarensis
ENSCLAP00000017956	ENSCLAG00000012319	Chinchilla_lanigera
ENSODEP00000026663	ENSODEG00000020123	Octodon_degus
ENSODEP00000006262	ENSODEG00000004690	Octodon_degus
ENSODEP00000022265	ENSODEG00000016345	Octodon_degus
ENSMAUP00000024374	ENSMAUG00000021254	Mesocricetus_auratus
ENSMAUP00000000068	ENSMAUG00000000084	Mesocricetus_auratus
ENSCGRP00001017089	ENSCGRG00001017228	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011093	ENSCGRG00000008089	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000033830	ENSPEMG00000026135	Peromyscus_maniculatus_bairdii
ENSMOCP00000009630	ENSMOCG00000009816	Microtus_ochrogaster
MGP_SPRETEiJ_P0067203	MGP_SPRETEiJ_G0027515	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000001094	ENSMSIG00000001118	Mus_spicilegus
ENSMSIP00000033851	ENSMSIG00000028260	Mus_spicilegus
ENSMUSP00000030578	ENSMUSG00000028788	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0064685	MGP_CAROLIEiJ_G0026535	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0079771	MGP_PahariEiJ_G0028867	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064832	ENSRNOG00000050044	Rattus_norvegicus
ENSMUGP00000003511	ENSMUGG00000003262	Meriones_unguiculatus
ENSNGAP00000016197	ENSNGAG00000017009	Nannospalax_galili
ENSNGAP00000010963	ENSNGAG00000013242	Nannospalax_galili
ENSTSYP00000015154	ENSTSYG00000008496	Carlito_syrichta
ENSMICP00000018787	ENSMICG00000001424	Microcebus_murinus
ENSPCOP00000006261	ENSPCOG00000014261	Propithecus_coquereli
ENSPSMP00000002927	ENSPSMG00000002248	Prolemur_simus
ENSOGAP00000020798	ENSOGAG00000029603	Otolemur_garnettii
ENSCANP00000035668	ENSCANG00000041527	Colobus_angolensis_palliatus
ENSPTEP00000023920	ENSPTEG00000024528	Piliocolobus_tephrosceles
ENSRBIP00000043150	ENSRBIG00000044763	Rhinopithecus_bieti
ENSRROP00000012520	ENSRROG00000030559	Rhinopithecus_roxellana
ENSCJAP00000073886	ENSCJAG00000044384	Callithrix_jacchus
ENSSBOP00000028232	ENSSBOG00000030499	Saimiri_boliviensis_boliviensis
ENSCCAP00000035222	ENSCCAG00000035514	Cebus_capucinus_imitator
ENSANAP00000026350	ENSANAG00000030836	Aotus_nancymaae
ENSMMUP00000068391	ENSMMUG00000046901	Macaca_mulatta
ENSMNEP00000012567	ENSMNEG00000030559	Macaca_nemestrina
ENSMFAP00000037667	ENSMFAG00000038041	Macaca_fascicularis
ENSTGEP00000018879	ENSTGEG00000015179	Theropithecus_gelada
ENSCSAP00000016971	ENSCSAG00000001042	Chlorocebus_sabaeus
ENSMLEP00000028778	ENSMLEG00000038580	Mandrillus_leucophaeus
ENSCATP00000011501	ENSCATG00000029937	Cercocebus_atys
ENSNLEP00000024582	ENSNLEG00000002137	Nomascus_leucogenys
ENSPTRP00000066889	ENSPTRG00000047405	Pan_troglodytes
ENSPPAP00000018075	ENSPPAG00000032126	Pan_paniscus
ENSP00000493688	ENSG00000184007	Homo_sapiens
ENSGGOP00000051929	ENSGGOG00000013057	Gorilla_gorilla
ENSPPYP00000001851	ENSPPYG00000001606	Pongo_abelii
ENSPANP00000043933	ENSPANG00000008254	Papio_anubis
ENSRBIP00000006771	ENSRBIG00000026989	Rhinopithecus_bieti
ENSRROP00000041704	ENSRROG00000044031	Rhinopithecus_roxellana
ENSCANP00000007638	ENSCANG00000024549	Colobus_angolensis_palliatus
ENSMLEP00000015667	ENSMLEG00000032010	Mandrillus_leucophaeus
ENSMFAP00000043160	ENSMFAG00000037626	Macaca_fascicularis
ENSCSAP00000014818	ENSCSAG00000003226	Chlorocebus_sabaeus
ENSNLEP00000024800	ENSNLEG00000033736	Nomascus_leucogenys
ENSPPAP00000008652	ENSPPAG00000027570	Pan_paniscus
ENSPTRP00000070998	ENSPTRG00000048848	Pan_troglodytes
ENSGGOP00000044761	ENSGGOG00000024925	Gorilla_gorilla
ENSRROP00000018004	ENSRROG00000033080	Rhinopithecus_roxellana
ENSOCUP00000047164	ENSOCUG00000002060	Oryctolagus_cuniculus
ENSPEMP00000015843	ENSPEMG00000015262	Peromyscus_maniculatus_bairdii
ENSMOCP00000004080	ENSMOCG00000003270	Microtus_ochrogaster
ENSMAUP00000010819	ENSMAUG00000011602	Mesocricetus_auratus
ENSCGRP00015030451	ENSCGRG00015022935	Cricetulus_griseus_CriGri-PICR
ENSMSIP00000028309	ENSMSIG00000023818	Mus_spicilegus
ENSRNOP00000011901	ENSRNOG00000009002	Rattus_norvegicus
ENSMUGP00000003871	ENSMUGG00000003592	Meriones_unguiculatus
ENSOPRP00000012349	ENSOPRG00000013548	Ochotona_princeps
ENSUPAP00010023797	ENSUPAG00010018860	Urocitellus_parryii
ENSSSCP00000046443	ENSSSCG00000039885	Sus_scrofa_strain_reference
ENSLAFP00000007100	ENSLAFG00000008462	Loxodonta_africana
