ENSAHAP00000028234	ENSAHAG00000019617	Apteryx_haastii	ENSAHAT00000031082
ENSAOWP00000014559	ENSAOWG00000009938	Apteryx_owenii	ENSAOWT00000016519
ENSARWP00000015627	ENSARWG00000010779	Apteryx_rowi	ENSARWT00000017816
ENSDNVP00000005447	ENSDNVG00000003918	Dromaius_novaehollandiae	ENSDNVT00000006568
ENSNPEP00000010594	ENSNPEG00000007963	Nothoprocta_perdicaria	ENSNPET00000010870
ENSABRP00000021307	ENSABRG00000018114	Anser_brachyrhynchus
ENSAPLP00000023689	ENSAPLG00000004767	Anas_platyrhynchos_platyrhynchos
ENSGALP00000046833	ENSGALG00000037301	Gallus_gallus
ENSCJPP00005026340	ENSCJPG00005020493	Coturnix_japonica
ENSMGAP00000013597	ENSMGAG00000012891	Meleagris_gallopavo
ENSNMEP00000003422	ENSNMEG00000003986	Numida_meleagris
ENSCPGP00000018128	ENSCPGG00000012683	Calidris_pygmaea
ENSCPUP00000000299	ENSCPUG00000000241	Calidris_pugnax
ENSSCAP00000005890	ENSSCAG00000004646	Serinus_canaria
ENSLSDP00000025963	ENSLSDG00000018117	Lonchura_striata_domestica
ENSJHYP00000011292	ENSJHYG00000008841	Junco_hyemalis
ENSZALP00000011494	ENSZALG00000009686	Zonotrichia_albicollis
ENSCCEP00000020405	ENSCCEG00000018492	Cyanistes_caeruleus
ENSPMJP00000005335	ENSPMJG00000004638	Parus_major
ENSMVIP00005006190	ENSMVIG00005004730	Manacus_vitellinus
ENSLCOP00000017184	ENSLCOG00000012176	Lepidothrix_coronata
ENSFALP00000003219	ENSFALG00000003085	Ficedula_albicollis
ENSMUNP00000015318	ENSMUNG00000011839	Melopsittacus_undulatus
ENSCPRP00005012641	ENSCPRG00005008980	Crocodylus_porosus
ENSGAGP00000002318	ENSGAGG00000001886	Gopherus_agassizii
ENSCABP00000000029	ENSCABG00000000038	Chelonoidis_abingdonii
ENSCPBP00000038334	ENSCPBG00000026496	Chrysemys_picta_bellii
ENSPSIP00000010586	ENSPSIG00000009530	Pelodiscus_sinensis
ENSACAP00000007502	ENSACAG00000007562	Anolis_carolinensis
ENSPVIP00000030327	ENSPVIG00000022333	Pogona_vitticeps
ENSNSUP00000029013	ENSNSUG00000020582	Notechis_scutatus
ENSNSUP00000028908	ENSNSUG00000020531	Notechis_scutatus
ENSSMRP00000030385	ENSSMRG00000023293	Salvator_merianae
ENSSPUP00000021962	ENSSPUG00000016862	Sphenodon_punctatus
ENSTGUP00000012554	ENSTGUG00000012182	Taeniopygia_guttata
ENSPVAP00000001609	ENSPVAG00000001704	Pteropus_vampyrus
ENSMLUP00000009233	ENSMLUG00000010119	Myotis_lucifugus
ENSUAMP00000003846	ENSUAMG00000003542	Ursus_americanus
ENSUMAP00000007265	ENSUMAG00000005646	Ursus_maritimus
ENSAMEP00000015102	ENSAMEG00000014318	Ailuropoda_melanoleuca
ENSMPUP00000000459	ENSMPUG00000000465	Mustela_putorius_furo
ENSNVIP00000010558	ENSNVIG00000008379	Neovison_vison
ENSCAFP00000046780	ENSCAFG00000009287	Canis_lupus_familiaris
ENSCAFP00020012218	ENSCAFG00020009821	Canis_lupus_dingo
ENSVVUP00000027870	ENSVVUG00000020425	Vulpes_vulpes
ENSPTIP00000008490	ENSPTIG00000009840	Panthera_tigris_altaica
ENSPPRP00000016247	ENSPPRG00000008596	Panthera_pardus
ENSFCAP00000007462	ENSFCAG00000008054	Felis_catus
ENSEASP00005034071	ENSEASG00005023294	Equus_asinus_asinus
ENSECAP00000016631	ENSECAG00000018902	Equus_caballus
ENSEEUP00000001489	ENSEEUG00000001638	Erinaceus_europaeus
ENSCHIP00000026231	ENSCHIG00000022652	Capra_hircus
ENSOARP00000008299	ENSOARG00000007733	Ovis_aries
ENSBTAP00000015797	ENSBTAG00000011909	Bos_taurus
ENSBMUP00000031121	ENSBMUG00000023223	Bos_mutus
ENSBIXP00000023664	ENSBIXG00000026087	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005016484	ENSBIXG00005020163	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000020278	ENSBBBG00000013902	Bison_bison_bison
ENSTTRP00000007311	ENSTTRG00000007727	Tursiops_truncatus
ENSSSCP00000056170	ENSSSCG00000015874	Sus_scrofa_strain_reference
ENSVPAP00000000593	ENSVPAG00000000642	Vicugna_pacos
ENSMSIP00000001719	ENSMSIG00000001643	Mus_spicilegus
MGP_CAROLIEiJ_P0051832	MGP_CAROLIEiJ_G0023572	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0053888	MGP_SPRETEiJ_G0024493	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000088453	ENSMUSG00000026836	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0062828	MGP_PahariEiJ_G0025023	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000072326	ENSRNOG00000005033	Rattus_norvegicus
ENSMUGP00000008165	ENSMUGG00000007397	Meriones_unguiculatus
ENSCGRP00001026329	ENSCGRG00001023684	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000019163	ENSCGRG00000013954	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015012833	ENSCGRG00015009859	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000020448	ENSMAUG00000018472	Mesocricetus_auratus
ENSMOCP00000015577	ENSMOCG00000014737	Microtus_ochrogaster
ENSPEMP00000006312	ENSPEMG00000008567	Peromyscus_maniculatus_bairdii
ENSNGAP00000003249	ENSNGAG00000003562	Nannospalax_galili
ENSJJAP00000021370	ENSJJAG00000021757	Jaculus_jaculus
ENSUPAP00010002744	ENSUPAG00010002272	Urocitellus_parryii
ENSSTOP00000004216	ENSSTOG00000004704	Ictidomys_tridecemlineatus
ENSSDAP00000007905	ENSSDAG00000007171	Spermophilus_dauricus
ENSMMMP00000025656	ENSMMMG00000022485	Marmota_marmota_marmota
ENSCCNP00000002677	ENSCCNG00000002903	Castor_canadensis
ENSDORP00000012655	ENSDORG00000013457	Dipodomys_ordii
ENSCPOP00000007891	ENSCPOG00000008791	Cavia_porcellus
ENSCAPP00000016968	ENSCAPG00000016740	Cavia_aperea
ENSODEP00000019339	ENSODEG00000014264	Octodon_degus
ENSCLAP00000006132	ENSCLAG00000004342	Chinchilla_lanigera
ENSHGLP00000008874	ENSHGLG00000006379	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009875	ENSHGLG00100007325	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022144	ENSFDAG00000007195	Fukomys_damarensis
ENSOCUP00000002109	ENSOCUG00000002439	Oryctolagus_cuniculus
ENSOPRP00000011177	ENSOPRG00000012246	Ochotona_princeps
ENSTBEP00000014686	ENSTBEG00000016888	Tupaia_belangeri
ENSP00000263640	ENSG00000115170	Homo_sapiens
ENSPPAP00000028021	ENSPPAG00000037042	Pan_paniscus
ENSPPYP00000014358	ENSPPYG00000012865	Pongo_abelii
ENSGGOP00000041319	ENSGGOG00000002934	Gorilla_gorilla
ENSPTRP00000075770	ENSPTRG00000012555	Pan_troglodytes
ENSNLEP00000001001	ENSNLEG00000000837	Nomascus_leucogenys
ENSCANP00000012942	ENSCANG00000029862	Colobus_angolensis_palliatus
ENSPTEP00000030461	ENSPTEG00000029663	Piliocolobus_tephrosceles
ENSRROP00000006466	ENSRROG00000025447	Rhinopithecus_roxellana
ENSRBIP00000007202	ENSRBIG00000027063	Rhinopithecus_bieti
ENSMFAP00000030305	ENSMFAG00000042305	Macaca_fascicularis
ENSMMUP00000024342	ENSMMUG00000018497	Macaca_mulatta
ENSMLEP00000026323	ENSMLEG00000037343	Mandrillus_leucophaeus
ENSCATP00000041825	ENSCATG00000043568	Cercocebus_atys
ENSTGEP00000011408	ENSTGEG00000009305	Theropithecus_gelada
ENSPANP00000022958	ENSPANG00000005535	Papio_anubis
ENSMNEP00000027679	ENSMNEG00000037142	Macaca_nemestrina
ENSCSAP00000012006	ENSCSAG00000015925	Chlorocebus_sabaeus
ENSCCAP00000007613	ENSCCAG00000021519	Cebus_capucinus_imitator
ENSSBOP00000017177	ENSSBOG00000025226	Saimiri_boliviensis_boliviensis
ENSCJAP00000028316	ENSCJAG00000015359	Callithrix_jacchus
ENSANAP00000039650	ENSANAG00000037191	Aotus_nancymaae
ENSTSYP00000025581	ENSTSYG00000005098	Carlito_syrichta
ENSPSMP00000016135	ENSPSMG00000011476	Prolemur_simus
ENSPCOP00000016823	ENSPCOG00000020193	Propithecus_coquereli
ENSMICP00000049716	ENSMICG00000042942	Microcebus_murinus
ENSOGAP00000010440	ENSOGAG00000011662	Otolemur_garnettii
ENSPCAP00000008131	ENSPCAG00000008717	Procavia_capensis
ENSLAFP00000019389	ENSLAFG00000006865	Loxodonta_africana
ENSETEP00000003437	ENSETEG00000004189	Echinops_telfairi
ENSCHOP00000006425	ENSCHOG00000007253	Choloepus_hoffmanni
ENSDNOP00000033658	ENSDNOG00000034270	Dasypus_novemcinctus
ENSSARP00000003072	ENSSARG00000003404	Sorex_araneus
ENSVURP00010028522	ENSVURG00010021820	Vombatus_ursinus
ENSVURP00010020511	ENSVURG00010015688	Vombatus_ursinus
ENSPCIP00000004871	ENSPCIG00000004031	Phascolarctos_cinereus
ENSMEUP00000006463	ENSMEUG00000007082	Notamacropus_eugenii
ENSSHAP00000020554	ENSSHAG00000017429	Sarcophilus_harrisii
ENSMODP00000044445	ENSMODG00000004431	Monodelphis_domestica
ENSOANP00000009796	ENSOANG00000006134	Ornithorhynchus_anatinus
ENSXETP00000011950	ENSXETG00000014709	Xenopus_tropicalis
ENSLACP00000021754	ENSLACG00000019117	Latimeria_chalumnae
ENSLACP00000011323	ENSLACG00000009962	Latimeria_chalumnae
ENSHHUP00000076438	ENSHHUG00000044741	Hucho_hucho
ENSHHUP00000062556	ENSHHUG00000036967	Hucho_hucho
ENSELUP00000019054	ENSELUG00000000787	Esox_lucius
ENSACIP00000000405	ENSACIG00000000364	Amphilophus_citrinellus
ENSPNYP00000002753	ENSPNYG00000002148	Pundamilia_nyererei
ENSFHEP00000034345	ENSFHEG00000022028	Fundulus_heteroclitus
ENSBSLP00000054240	ENSBSLG00000025454	Betta_splendens
ENSHCOP00000013792	ENSHCOG00000000475	Hippocampus_comes
ENSPNAP00000010149	ENSPNAG00000015639	Pygocentrus_nattereri
ENSAMXP00000011123	ENSAMXG00000010830	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000008138	ENSIPUG00000005574	Ictalurus_punctatus
ENSEEEP00000043426	ENSEEEG00000020526	Electrophorus_electricus
ENSDCDP00000052279	ENSDCDG00000031555	Denticeps_clupeoides
ENSSFOP00015024870	ENSSFOG00015015976	Scleropages_formosus
ENSSFOP00015036487	ENSSFOG00015023204	Scleropages_formosus
ENSPKIP00000017017	ENSPKIG00000003095	Paramormyrops_kingsleyae
ENSLOCP00000007079	ENSLOCG00000005862	Lepisosteus_oculatus
ENSECRP00000011178	ENSECRG00000007343	Erpetoichthys_calabaricus
ENSCMIP00000019645	ENSCMIG00000009127	Callorhinchus_milii
