ENSPMAP00000007059	ENSPMAG00000006409	Petromyzon_marinus
ENSIPUP00000030858	ENSIPUG00000020823	Ictalurus_punctatus
ENSCMIP00000033004	ENSCMIG00000014114	Callorhinchus_milii
ENSCMIP00000030779	ENSCMIG00000013235	Callorhinchus_milii
ENSDCDP00000010168	ENSDCDG00000005050	Denticeps_clupeoides
ENSCHAP00000028416	ENSCHAG00000013667	Clupea_harengus
ENSIPUP00000015650	ENSIPUG00000010621	Ictalurus_punctatus
ENSEEEP00000011836	ENSEEEG00000005961	Electrophorus_electricus
ENSAMXP00000055105	ENSAMXG00000034456	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005020496	ENSAMXG00005010609	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000019255	ENSPNAG00000025836	Pygocentrus_nattereri
ENSDARP00000037056	ENSDARG00000027082	Danio_rerio
ENSHHUP00000038319	ENSHHUG00000023940	Hucho_hucho
ENSELUP00000033736	ENSELUG00000012058	Esox_lucius
ENSHHUP00000082204	ENSHHUG00000047765	Hucho_hucho
ENSHHUP00000023305	ENSHHUG00000014533	Hucho_hucho
ENSAPEP00000002460	ENSAPEG00000001785	Amphiprion_percula
ENSAOCP00000018426	ENSAOCG00000023622	Amphiprion_ocellaris
ENSAPOP00000034827	ENSAPOG00000024381	Acanthochromis_polyacanthus
ENSSPAP00000013166	ENSSPAG00000009985	Stegastes_partitus
ENSMZEP00005006537	ENSMZEG00005005042	Maylandia_zebra
ENSACLP00000029717	ENSACLG00000020128	Astatotilapia_calliptera
ENSPNYP00000010563	ENSPNYG00000008008	Pundamilia_nyererei
ENSHBUP00000017589	ENSHBUG00000019655	Haplochromis_burtoni
ENSNBRP00000007924	ENSNBRG00000006168	Neolamprologus_brichardi
ENSONIP00000003806	ENSONIG00000003040	Oreochromis_niloticus
ENSACIP00000009946	ENSACIG00000007797	Amphilophus_citrinellus
ENSGWIP00000019489	ENSGWIG00000010657	Gouania_willdenowi
ENSPRNP00000020375	ENSPRNG00000010630	Parambassis_ranga
ENSPFOP00000017997	ENSPFOG00000017886	Poecilia_formosa
ENSPMEP00000021623	ENSPMEG00000001925	Poecilia_mexicana
ENSPLAP00000027542	ENSPLAG00000016226	Poecilia_latipinna
ENSPREP00000006665	ENSPREG00000004612	Poecilia_reticulata
