ENSXETP00000033488	ENSXETG00000016083	Xenopus_tropicalis
ENSLACP00000021112	ENSLACG00000018549	Latimeria_chalumnae
ENSZALP00000001834	ENSZALG00000002214	Zonotrichia_albicollis
ENSCCEP00000006017	ENSCCEG00000006527	Cyanistes_caeruleus
ENSCPUP00000021516	ENSCPUG00000014663	Calidris_pugnax
ENSNMEP00000009775	ENSNMEG00000009388	Numida_meleagris
ENSMGAP00000007491	ENSMGAG00000007351	Meleagris_gallopavo
ENSSCAP00000004116	ENSSCAG00000003381	Serinus_canaria
ENSMVIP00005016535	ENSMVIG00005011876	Manacus_vitellinus
ENSPMJP00000007786	ENSPMJG00000006409	Parus_major
ENSABRP00000025898	ENSABRG00000021706	Anser_brachyrhynchus
ENSMUNP00000000295	ENSMUNG00000000311	Melopsittacus_undulatus
ENSLCOP00000019980	ENSLCOG00000014160	Lepidothrix_coronata
ENSNPEP00000018114	ENSNPEG00000013488	Nothoprocta_perdicaria
ENSGALP00000003955	ENSGALG00000002515	Gallus_gallus
ENSCJPP00005009213	ENSCJPG00005008130	Coturnix_japonica
ENSLSDP00000003964	ENSLSDG00000003082	Lonchura_striata_domestica
ENSTGUP00000006176	ENSTGUG00000006000	Taeniopygia_guttata
ENSFALP00000001753	ENSFALG00000001680	Ficedula_albicollis
ENSJHYP00000007190	ENSJHYG00000005772	Junco_hyemalis
ENSCPGP00000010149	ENSCPGG00000007223	Calidris_pygmaea
ENSAOWP00000007166	ENSAOWG00000004928	Apteryx_owenii
ENSAHAP00000011581	ENSAHAG00000008365	Apteryx_haastii
ENSARWP00000012198	ENSARWG00000008429	Apteryx_rowi
ENSDNVP00000017581	ENSDNVG00000012295	Dromaius_novaehollandiae
ENSCPRP00005010854	ENSCPRG00005007752	Crocodylus_porosus
ENSGAGP00000012203	ENSGAGG00000009396	Gopherus_agassizii
ENSCABP00000006036	ENSCABG00000004548	Chelonoidis_abingdonii
ENSCPBP00000029692	ENSCPBG00000020916	Chrysemys_picta_bellii
ENSPSIP00000010167	ENSPSIG00000009166	Pelodiscus_sinensis
ENSACAP00000007044	ENSACAG00000007188	Anolis_carolinensis
ENSPVIP00000025477	ENSPVIG00000019070	Pogona_vitticeps
ENSNSUP00000001655	ENSNSUG00000001420	Notechis_scutatus
ENSSMRP00000025830	ENSSMRG00000019947	Salvator_merianae
ENSSPUP00000022960	ENSSPUG00000017622	Sphenodon_punctatus
ENSPCOP00000029021	ENSPCOG00000027190	Propithecus_coquereli
ENSPSMP00000025256	ENSPSMG00000017754	Prolemur_simus
ENSMICP00000023871	ENSMICG00000000544	Microcebus_murinus
ENSOGAP00000006030	ENSOGAG00000006739	Otolemur_garnettii
ENSPEMP00000007121	ENSPEMG00000009157	Peromyscus_maniculatus_bairdii
ENSNGAP00000003462	ENSNGAG00000003989	Nannospalax_galili
ENSMOCP00000026802	ENSMOCG00000022489	Microtus_ochrogaster
ENSCGRP00015016669	ENSCGRG00015012815	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001481	ENSMAUG00000001109	Mesocricetus_auratus
ENSRNOP00000013443	ENSRNOG00000009862	Rattus_norvegicus
MGP_SPRETEiJ_P0052569	MGP_SPRETEiJ_G0024264	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000028177	ENSMUSG00000026833	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0050541	MGP_CAROLIEiJ_G0023347	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0061563	MGP_PahariEiJ_G0024804	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000005899	ENSMUGG00000005438	Meriones_unguiculatus
ENSCGRP00001024328	ENSCGRG00001022283	Cricetulus_griseus_CHOK1GS_HDv1
ENSJJAP00000023490	ENSJJAG00000023242	Jaculus_jaculus
ENSSTOP00000022304	ENSSTOG00000021737	Ictidomys_tridecemlineatus
ENSSDAP00000010127	ENSSDAG00000009217	Spermophilus_dauricus
ENSMMMP00000014400	ENSMMMG00000012832	Marmota_marmota_marmota
ENSUPAP00010010438	ENSUPAG00010008438	Urocitellus_parryii
ENSCCNP00000027826	ENSCCNG00000026867	Castor_canadensis
ENSDORP00000009106	ENSDORG00000009691	Dipodomys_ordii
ENSCLAP00000000028	ENSCLAG00000000053	Chinchilla_lanigera
ENSODEP00000022011	ENSODEG00000016174	Octodon_degus
ENSCAPP00000005402	ENSCAPG00000007746	Cavia_aperea
ENSCPOP00000016507	ENSCPOG00000025461	Cavia_porcellus
ENSHGLP00000015896	ENSHGLG00000011354	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000000379	ENSHGLG00000000353	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008068	ENSHGLG00100006001	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001473	ENSFDAG00000011441	Fukomys_damarensis
ENSBIXP00000028521	ENSBIXG00000009732	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045638	ENSBIXG00005001647	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000008196	ENSCHIG00000011459	Capra_hircus
ENSTTRP00000002265	ENSTTRG00000002419	Tursiops_truncatus
ENSCAFP00020031841	ENSCAFG00020024815	Canis_lupus_dingo
ENSEASP00005015332	ENSEASG00005010702	Equus_asinus_asinus
ENSUAMP00000019597	ENSUAMG00000015501	Ursus_americanus
ENSSSCP00000024900	ENSSSCG00000029715	Sus_scrofa_strain_reference
ENSECAP00000023804	ENSECAG00000016957	Equus_caballus
ENSCCAP00000002106	ENSCCAG00000012661	Cebus_capucinus_imitator
ENSCJAP00000061819	ENSCJAG00000038194	Callithrix_jacchus
ENSCATP00000037018	ENSCATG00000041273	Cercocebus_atys
ENSMNEP00000013728	ENSMNEG00000031065	Macaca_nemestrina
ENSPANP00000025531	ENSPANG00000034285	Papio_anubis
ENSRBIP00000043697	ENSRBIG00000045004	Rhinopithecus_bieti
ENSRROP00000024883	ENSRROG00000036214	Rhinopithecus_roxellana
ENSPTRP00000042581	ENSPTRG00000021532	Pan_troglodytes
ENSP00000360858	ENSG00000130558	Homo_sapiens
ENSPPYP00000022153	ENSPPYG00000019752	Pongo_abelii
ENSOPRP00000012208	ENSOPRG00000013394	Ochotona_princeps
ENSDNOP00000033445	ENSDNOG00000037730	Dasypus_novemcinctus
ENSPCIP00000042877	ENSPCIG00000013143	Phascolarctos_cinereus
ENSVURP00010009136	ENSVURG00010007068	Vombatus_ursinus
ENSMEUP00000002276	ENSMEUG00000002483	Notamacropus_eugenii
ENSMODP00000016542	ENSMODG00000013220	Monodelphis_domestica
ENSSHAP00000020940	ENSSHAG00000017758	Sarcophilus_harrisii
ENSOANP00000006176	ENSOANG00000003901	Ornithorhynchus_anatinus
ENSMLEP00000012669	ENSMLEG00000030495	Mandrillus_leucophaeus
ENSCSAP00000011702	ENSCSAG00000015615	Chlorocebus_sabaeus
ENSTGEP00000011836	ENSTGEG00000009635	Theropithecus_gelada
ENSCANP00000009374	ENSCANG00000028075	Colobus_angolensis_palliatus
ENSPPAP00000031176	ENSPPAG00000038505	Pan_paniscus
ENSSBOP00000005362	ENSSBOG00000019458	Saimiri_boliviensis_boliviensis
ENSNLEP00000032674	ENSNLEG00000008773	Nomascus_leucogenys
ENSTSYP00000030435	ENSTSYG00000029112	Carlito_syrichta
ENSTBEP00000002572	ENSTBEG00000002987	Tupaia_belangeri
ENSUMAP00000032845	ENSUMAG00000023660	Ursus_maritimus
ENSAMEP00000011232	ENSAMEG00000010661	Ailuropoda_melanoleuca
ENSCAFP00000040209	ENSCAFG00000032227	Canis_lupus_familiaris
ENSPTIP00000010078	ENSPTIG00000010959	Panthera_tigris_altaica
ENSPVAP00000002284	ENSPVAG00000002418	Pteropus_vampyrus
ENSMLUP00000006296	ENSMLUG00000006895	Myotis_lucifugus
ENSMFAP00000009040	ENSMFAG00000000981	Macaca_fascicularis
ENSGGOP00000015809	ENSGGOG00000016209	Gorilla_gorilla
ENSANAP00000038652	ENSANAG00000036728	Aotus_nancymaae
ENSCJAP00000065950	ENSCJAG00000046348	Callithrix_jacchus
