ENSCABP00000003897	ENSCABG00000002945	Chelonoidis_abingdonii	ENSCABT00000004231
ENSSDUP00000020813	ENSSDUG00000015150	Seriola_dumerili
ENSCJPP00005006712	ENSCJPG00005006221	Coturnix_japonica
ENSMODP00000026891	ENSMODG00000021523	Monodelphis_domestica
ENSGALP00000073947	ENSGALG00000017558	Gallus_gallus
ENSACAP00000011891	ENSACAG00000012155	Anolis_carolinensis	ENSACAT00000012135
ENSPNAP00000035322	ENSPNAG00000003895	Pygocentrus_nattereri
ENSNSUP00000021209	ENSNSUG00000015405	Notechis_scutatus	ENSNSUT00000022554
ENSNSUP00000021208	ENSNSUG00000015404	Notechis_scutatus	ENSNSUT00000022553
ENSTNIP00000008638	ENSTNIG00000005911	Tetraodon_nigroviridis
ENSCPRP00005017399	ENSCPRG00005012124	Crocodylus_porosus
ENSAPEP00000015787	ENSAPEG00000011239	Amphiprion_percula
ENSDCDP00000048478	ENSDCDG00000030009	Denticeps_clupeoides
ENSBSLP00000010910	ENSBSLG00000005765	Betta_splendens
ENSIPUP00000022327	ENSIPUG00000015136	Ictalurus_punctatus
ENSPVIP00000023431	ENSPVIG00000017713	Pogona_vitticeps	ENSPVIT00000028989
ENSGAGP00000023747	ENSGAGG00000017385	Gopherus_agassizii	ENSGAGT00000027046
ENSTRUP00000048351	ENSTRUG00000020075	Takifugu_rubripes
ENSHCOP00000007473	ENSHCOG00000009509	Hippocampus_comes
ENSGMOP00000000508	ENSGMOG00000000527	Gadus_morhua
ENSOMEP00000018408	ENSOMEG00000020121	Oryzias_melastigma
ENSCPUP00000007859	ENSCPUG00000005679	Calidris_pugnax
ENSPCIP00000019282	ENSPCIG00000014737	Phascolarctos_cinereus
ENSPREP00000024705	ENSPREG00000016660	Poecilia_reticulata
ENSPLAP00000017975	ENSPLAG00000022530	Poecilia_latipinna
ENSCSEP00000018682	ENSCSEG00000011974	Cynoglossus_semilaevis
ENSCPBP00000009014	ENSCPBG00000006978	Chrysemys_picta_bellii
ENSMALP00000019180	ENSMALG00000013398	Monopterus_albus
ENSSMAP00000001879	ENSSMAG00000001173	Scophthalmus_maximus
ENSBIXP00005028385	ENSBIXG00005008022	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLCAP00010024696	ENSLCAG00010011552	Lates_calcarifer
ENSLCRP00005012787	ENSLCRG00005005597	Larimichthys_crocea
ENSCMIP00000036686	ENSCMIG00000015498	Callorhinchus_milii
ENSPRNP00000003029	ENSPRNG00000001864	Parambassis_ranga
ENSELUP00000026539	ENSELUG00000002475	Esox_lucius
ENSCVAP00000017902	ENSCVAG00000021080	Cyprinodon_variegatus
ENSNMEP00000004686	ENSNMEG00000005035	Numida_meleagris
ENSMMOP00000003895	ENSMMOG00000003116	Mola_mola
ENSGAFP00000002537	ENSGAFG00000001729	Gambusia_affinis
ENSSHAP00000020010	ENSSHAG00000016975	Sarcophilus_harrisii
ENSPMGP00000010206	ENSPMGG00000008460	Periophthalmus_magnuspinnatus
ENSSPAP00000020271	ENSSPAG00000015293	Stegastes_partitus
ENSAMXP00000028561	ENSAMXG00000039988	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLACP00000003452	ENSLACG00000003080	Latimeria_chalumnae
ENSSMRP00000017178	ENSSMRG00000013383	Salvator_merianae	ENSSMRT00000020114
ENSSLDP00000002203	ENSSLDG00000001798	Seriola_lalandi_dorsalis
ENSCHAP00000051875	ENSCHAG00000023714	Clupea_harengus
ENSBIXP00000035981	ENSBIXG00000019336	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSORLP00015033279	ENSORLG00015018567	Oryzias_latipes_ASM223469v1
ENSPKIP00000034042	ENSPKIG00000013520	Paramormyrops_kingsleyae
ENSXMAP00000039948	ENSXMAG00000010061	Xiphophorus_maculatus
ENSAHAP00000000358	ENSAHAG00000000348	Apteryx_haastii
ENSMZEP00005004644	ENSMZEG00005003605	Maylandia_zebra
ENSCGOP00000038009	ENSCGOG00000017450	Cottoperca_gobio
ENSSPUP00000011307	ENSSPUG00000008644	Sphenodon_punctatus
ENSDNVP00000025753	ENSDNVG00000017921	Dromaius_novaehollandiae
ENSCPGP00000005586	ENSCPGG00000004033	Calidris_pygmaea
ENSHBUP00000009708	ENSHBUG00000011287	Haplochromis_burtoni
ENSLOCP00000015375	ENSLOCG00000012491	Lepisosteus_oculatus
ENSFHEP00000022603	ENSFHEG00000003080	Fundulus_heteroclitus
ENSKMAP00000014848	ENSKMAG00000011126	Kryptolebias_marmoratus
ENSAPOP00000008731	ENSAPOG00000010918	Acanthochromis_polyacanthus
ENSEEEP00000030852	ENSEEEG00000014760	Electrophorus_electricus
ENSARWP00000009596	ENSARWG00000006701	Apteryx_rowi
ENSPSIP00000003464	ENSPSIG00000003305	Pelodiscus_sinensis
ENSXETP00000018844	ENSXETG00000001563	Xenopus_tropicalis
ENSPNYP00000021385	ENSPNYG00000016152	Pundamilia_nyererei
ENSATEP00000019185	ENSATEG00000013334	Anabas_testudineus
ENSAOWP00000007700	ENSAOWG00000005287	Apteryx_owenii
ENSLBEP00000001827	ENSLBEG00000001439	Labrus_bergylta
ENSAOCP00000009439	ENSAOCG00000013587	Amphiprion_ocellaris
