ENSANAP00000038643	ENSANAG00000036762	Aotus_nancymaae
ENSMODP00000004639	ENSMODG00000003791	Monodelphis_domestica
ENSLACP00000008111	ENSLACG00000007181	Latimeria_chalumnae
ENSPKIP00000018599	ENSPKIG00000004104	Paramormyrops_kingsleyae
ENSCAPP00000015708	ENSCAPG00000015778	Cavia_aperea
ENSGAGP00000022892	ENSGAGG00000016784	Gopherus_agassizii
ENSODEP00000006646	ENSODEG00000004967	Octodon_degus
ENSOGAP00000014072	ENSOGAG00000015706	Otolemur_garnettii
ENSTGEP00000034540	ENSTGEG00000027548	Theropithecus_gelada
ENSCABP00000018158	ENSCABG00000013483	Chelonoidis_abingdonii
ENSMMUP00000073169	ENSMMUG00000057600	Macaca_mulatta
ENSRROP00000017720	ENSRROG00000032958	Rhinopithecus_roxellana
ENSTBEP00000005113	ENSTBEG00000005960	Tupaia_belangeri
ENSHGLP00000004334	ENSHGLG00000003169	Heterocephalus_glaber_HetGla_female_1.0
ENSCJAP00000014798	ENSCJAG00000007995	Callithrix_jacchus
ENSPVIP00000001925	ENSPVIG00000001684	Pogona_vitticeps
ENSMNEP00000036372	ENSMNEG00000041317	Macaca_nemestrina
ENSCMIP00000010416	ENSCMIG00000005501	Callorhinchus_milii
ENSSMRP00000011445	ENSSMRG00000008991	Salvator_merianae
ENSSFOP00015004527	ENSSFOG00015002964	Scleropages_formosus
ENSETEP00000007206	ENSETEG00000008864	Echinops_telfairi
ENSLOCP00000006152	ENSLOCG00000005107	Lepisosteus_oculatus
ENSCHOP00000003641	ENSCHOG00000004114	Choloepus_hoffmanni
ENSJJAP00000023657	ENSJJAG00000023365	Jaculus_jaculus
ENSOARP00000011377	ENSOARG00000010603	Ovis_aries
ENSCANP00000003700	ENSCANG00000013117	Colobus_angolensis_palliatus
ENSACAP00000003030	ENSACAG00000003136	Anolis_carolinensis
ENSPEMP00000009070	ENSPEMG00000010489	Peromyscus_maniculatus_bairdii
ENSPTRP00000007571	ENSPTRG00000004428	Pan_troglodytes
MGP_SPRETEiJ_P0090875	MGP_SPRETEiJ_G0033111	Mus_spretus_strain_SPRET/EiJ
ENSCSAP00000015663	ENSCSAG00000002377	Chlorocebus_sabaeus
ENSNVIP00000026746	ENSNVIG00000020680	Neovison_vison
ENSSARP00000010354	ENSSARG00000011442	Sorex_araneus
ENSSHAP00000017851	ENSSHAG00000015155	Sarcophilus_harrisii
ENSCCAP00000034225	ENSCCAG00000035089	Cebus_capucinus_imitator
ENSCGRP00000015489	ENSCGRG00000011242	Cricetulus_griseus_CriGri_1.0
