ENSCPGP00000022184	ENSCPGG00000015417	Calidris_pygmaea
ENSCPUP00000000160	ENSCPUG00000000146	Calidris_pugnax
ENSMUNP00000007125	ENSMUNG00000005715	Melopsittacus_undulatus
ENSFALP00000008872	ENSFALG00000008509	Ficedula_albicollis
ENSPMJP00000009580	ENSPMJG00000007649	Parus_major
ENSTGUP00000014498	ENSTGUG00000014109	Taeniopygia_guttata
ENSTGUP00000000582	ENSTGUG00000000575	Taeniopygia_guttata
ENSZALP00000012559	ENSZALG00000010523	Zonotrichia_albicollis
ENSCCEP00000006963	ENSCCEG00000007399	Cyanistes_caeruleus
ENSMGAP00000004660	ENSMGAG00000004829	Meleagris_gallopavo
ENSGALP00000050032	ENSGALG00000032567	Gallus_gallus
ENSAPLP00000029952	ENSAPLG00000023164	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000015378	ENSAOWG00000010478	Apteryx_owenii
ENSCPRP00005019355	ENSCPRG00005013506	Crocodylus_porosus
ENSGAGP00000021740	ENSGAGG00000015955	Gopherus_agassizii
ENSPSIP00000018752	ENSPSIG00000016666	Pelodiscus_sinensis
ENSPCAP00000007592	ENSPCAG00000008171	Procavia_capensis
ENSETEP00000004947	ENSETEG00000006096	Echinops_telfairi
ENSTBEP00000003311	ENSTBEG00000003832	Tupaia_belangeri
ENSTSYP00000011535	ENSTSYG00000012577	Carlito_syrichta
ENSHGLP00000006032	ENSHGLG00000004409	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100023692	ENSHGLG00100017409	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018536	ENSFDAG00000009756	Fukomys_damarensis
ENSCAPP00000017544	ENSCAPG00000017181	Cavia_aperea
ENSCPOP00000008254	ENSCPOG00000007875	Cavia_porcellus
ENSCLAP00000015063	ENSCLAG00000010382	Chinchilla_lanigera
ENSODEP00000007920	ENSODEG00000005901	Octodon_degus
ENSSDAP00000019659	ENSSDAG00000017917	Spermophilus_dauricus
ENSUPAP00010016338	ENSUPAG00010013044	Urocitellus_parryii
ENSMMMP00000021478	ENSMMMG00000018915	Marmota_marmota_marmota
ENSSTOP00000010577	ENSSTOG00000011797	Ictidomys_tridecemlineatus
ENSMUSP00000069247	ENSMUSG00000055095	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000028507	ENSMSIG00000023972	Mus_spicilegus
MGP_SPRETEiJ_P0048572	MGP_SPRETEiJ_G0023149	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0046647	MGP_CAROLIEiJ_G0022239	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0039235	MGP_PahariEiJ_G0018972	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000065400	ENSRNOG00000046265	Rattus_norvegicus
ENSRNOP00000017489	ENSRNOG00000013073	Rattus_norvegicus
ENSRNOP00000066660	ENSRNOG00000048570	Rattus_norvegicus
ENSMUGP00000030826	ENSMUGG00000025632	Meriones_unguiculatus
ENSPEMP00000013421	ENSPEMG00000013473	Peromyscus_maniculatus_bairdii
ENSMOCP00000026139	ENSMOCG00000022042	Microtus_ochrogaster
ENSCGRP00001003760	ENSCGRG00001004645	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000000095	ENSCGRG00000000113	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015005469	ENSCGRG00015004288	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019430	ENSMAUG00000017716	Mesocricetus_auratus
ENSNGAP00000018088	ENSNGAG00000018323	Nannospalax_galili
ENSJJAP00000004862	ENSJJAG00000009856	Jaculus_jaculus
ENSCCNP00000022225	ENSCCNG00000021892	Castor_canadensis
ENSDORP00000005436	ENSDORG00000005808	Dipodomys_ordii
ENSOCUP00000007603	ENSOCUG00000008806	Oryctolagus_cuniculus
ENSOPRP00000013843	ENSOPRG00000015164	Ochotona_princeps
ENSPSMP00000019894	ENSPSMG00000014048	Prolemur_simus
ENSPCOP00000004084	ENSPCOG00000012126	Propithecus_coquereli
ENSMICP00000048669	ENSMICG00000047754	Microcebus_murinus
ENSCCAP00000017641	ENSCCAG00000026645	Cebus_capucinus_imitator
ENSCJAP00000062259	ENSCJAG00000048610	Callithrix_jacchus
ENSSBOP00000027786	ENSSBOG00000030299	Saimiri_boliviensis_boliviensis
ENSANAP00000039514	ENSANAG00000037160	Aotus_nancymaae
ENSCANP00000018314	ENSCANG00000032617	Colobus_angolensis_palliatus
ENSPTEP00000021416	ENSPTEG00000022469	Piliocolobus_tephrosceles
ENSRROP00000005924	ENSRROG00000024044	Rhinopithecus_roxellana
ENSRBIP00000027333	ENSRBIG00000037531	Rhinopithecus_bieti
ENSMLEP00000014956	ENSMLEG00000031640	Mandrillus_leucophaeus
ENSCATP00000012173	ENSCATG00000030265	Cercocebus_atys
ENSPANP00000002229	ENSPANG00000007464	Papio_anubis
ENSTGEP00000035609	ENSTGEG00000028341	Theropithecus_gelada
ENSMNEP00000034976	ENSMNEG00000040646	Macaca_nemestrina
ENSMMUP00000072072	ENSMMUG00000057086	Macaca_mulatta
ENSMFAP00000036113	ENSMFAG00000034416	Macaca_fascicularis
ENSCSAP00000008117	ENSCSAG00000011920	Chlorocebus_sabaeus
ENSPTRP00000029712	ENSPTRG00000017386	Pan_troglodytes
ENSPPAP00000028358	ENSPPAG00000037222	Pan_paniscus
ENSGGOP00000000157	ENSGGOG00000000159	Gorilla_gorilla
ENSP00000481309	ENSG00000178172	Homo_sapiens
ENSPPYP00000017813	ENSPPYG00000015923	Pongo_abelii
ENSNLEP00000012272	ENSNLEG00000010064	Nomascus_leucogenys
ENSMLUP00000015343	ENSMLUG00000016837	Myotis_lucifugus
ENSPVAP00000014838	ENSPVAG00000015732	Pteropus_vampyrus
