ENSTRUP00000007196	ENSTRUG00000003082	Takifugu_rubripes
ENSMMOP00000011354	ENSMMOG00000008740	Mola_mola
ENSGACP00000002772	ENSGACG00000002136	Gasterosteus_aculeatus
ENSHCOP00000018735	ENSHCOG00000003526	Hippocampus_comes
ENSXMAP00000007955	ENSXMAG00000007937	Xiphophorus_maculatus
ENSXCOP00000007651	ENSXCOG00000005887	Xiphophorus_couchianus
ENSGAFP00000007098	ENSGAFG00000004832	Gambusia_affinis
ENSPREP00000030014	ENSPREG00000020328	Poecilia_reticulata
ENSPFOP00000012701	ENSPFOG00000012703	Poecilia_formosa
ENSFHEP00000007068	ENSFHEG00000000203	Fundulus_heteroclitus
ENSORLP00020025157	ENSORLG00020006963	Oryzias_latipes_ASM223471v1
ENSORLP00015002585	ENSORLG00015003266	Oryzias_latipes_ASM223469v1
ENSORLP00000038678	ENSORLG00000026616	Oryzias_latipes_ASM223467v1
ENSOMEP00000026395	ENSOMEG00000008184	Oryzias_melastigma
ENSPMGP00000015432	ENSPMGG00000012657	Periophthalmus_magnuspinnatus
ENSCSEP00000030500	ENSCSEG00000019533	Cynoglossus_semilaevis
ENSACLP00000007621	ENSACLG00000005172	Astatotilapia_calliptera
ENSHBUP00000025734	ENSHBUG00000007895	Haplochromis_burtoni
ENSMZEP00005020768	ENSMZEG00005015585	Maylandia_zebra
ENSNBRP00000025436	ENSNBRG00000019447	Neolamprologus_brichardi
ENSONIP00000009634	ENSONIG00000007645	Oreochromis_niloticus
ENSACIP00000002022	ENSACIG00000001646	Amphilophus_citrinellus
ENSGWIP00000018556	ENSGWIG00000010239	Gouania_willdenowi
ENSKMAP00000002615	ENSKMAG00000002011	Kryptolebias_marmoratus
ENSSMAP00000008784	ENSSMAG00000005429	Scophthalmus_maximus
ENSMALP00000028622	ENSMALG00000019823	Monopterus_albus
ENSSLDP00000025170	ENSSLDG00000019598	Seriola_lalandi_dorsalis
ENSSDUP00000031367	ENSSDUG00000022556	Seriola_dumerili
ENSLCAP00010017513	ENSLCAG00010008317	Lates_calcarifer
ENSATEP00000008003	ENSATEG00000005625	Anabas_testudineus
ENSBSLP00000026358	ENSBSLG00000013116	Betta_splendens
ENSMAMP00000033065	ENSMAMG00000022250	Mastacembelus_armatus
ENSPRNP00000010870	ENSPRNG00000006192	Parambassis_ranga
ENSAOCP00000011798	ENSAOCG00000016155	Amphiprion_ocellaris
ENSAPEP00000031438	ENSAPEG00000022327	Amphiprion_percula
