ENSFALP00000011514	ENSFALG00000011035	Ficedula_albicollis
ENSMUNP00000022077	ENSMUNG00000016616	Melopsittacus_undulatus
ENSSCAP00000019390	ENSSCAG00000014004	Serinus_canaria
ENSLSDP00000011856	ENSLSDG00000008696	Lonchura_striata_domestica
ENSCCEP00000010966	ENSCCEG00000010795	Cyanistes_caeruleus
ENSDNVP00000019320	ENSDNVG00000013537	Dromaius_novaehollandiae
ENSOANP00000019643	ENSOANG00000012413	Ornithorhynchus_anatinus
ENSMGAP00000001109	ENSMGAG00000001636	Meleagris_gallopavo
ENSABRP00000027728	ENSABRG00000023066	Anser_brachyrhynchus
ENSLACP00000002974	ENSLACG00000002660	Latimeria_chalumnae
ENSTGUP00000006888	ENSTGUG00000006703	Taeniopygia_guttata
ENSGALP00000039492	ENSGALG00000023934	Gallus_gallus	ENSGALT00000040293
ENSJHYP00000005827	ENSJHYG00000004729	Junco_hyemalis
