ENSSBOP00000014216	ENSSBOG00000023875	Saimiri_boliviensis_boliviensis
ENSCCAP00000018689	ENSCCAG00000027194	Cebus_capucinus_imitator
ENSCSAP00000018808	ENSCSAG00000019298	Chlorocebus_sabaeus
ENSTGEP00000037314	ENSTGEG00000029679	Theropithecus_gelada
ENSPTEP00000011065	ENSPTEG00000012497	Piliocolobus_tephrosceles
ENSRROP00000001327	ENSRROG00000005323	Rhinopithecus_roxellana
ENSPTRP00000067373	ENSPTRG00000049163	Pan_troglodytes
ENSPPAP00000003864	ENSPPAG00000016263	Pan_paniscus
ENSGGOP00000020431	ENSGGOG00000022252	Gorilla_gorilla
ENSPPYP00000018639	ENSPPYG00000016662	Pongo_abelii
ENSNLEP00000022874	ENSNLEG00000019017	Nomascus_leucogenys
