ENSPANP00000020516	ENSPANG00000021992	Papio_anubis
ENSPVIP00000027393	ENSPVIG00000020360	Pogona_vitticeps
ENSMLEP00000028634	ENSMLEG00000038539	Mandrillus_leucophaeus
ENSDORP00000001128	ENSDORG00000001205	Dipodomys_ordii
ENSVURP00010008566	ENSVURG00010006646	Vombatus_ursinus
ENSMAUP00000014789	ENSMAUG00000014452	Mesocricetus_auratus
ENSFDAP00000015646	ENSFDAG00000003653	Fukomys_damarensis
ENSCATP00000026895	ENSCATG00000036848	Cercocebus_atys
ENSSHAP00000019995	ENSSHAG00000016962	Sarcophilus_harrisii
ENSMLUP00000009903	ENSMLUG00000010865	Myotis_lucifugus
ENSSMRP00000028282	ENSSMRG00000021746	Salvator_merianae
ENSNMEP00000006234	ENSNMEG00000006418	Numida_meleagris
ENSCCAP00000025816	ENSCCAG00000030704	Cebus_capucinus_imitator
ENSACAP00000013840	ENSACAG00000014090	Anolis_carolinensis
ENSCGRP00001019870	ENSCGRG00001019187	Cricetulus_griseus_CHOK1GS_HDv1
ENSNLEP00000000773	ENSNLEG00000000662	Nomascus_leucogenys
ENSJJAP00000003808	ENSJJAG00000007631	Jaculus_jaculus
ENSAOWP00000000912	ENSAOWG00000000675	Apteryx_owenii
ENSETEP00000006511	ENSETEG00000008014	Echinops_telfairi
ENSPCIP00000003679	ENSPCIG00000003010	Phascolarctos_cinereus
ENSBMUP00000001922	ENSBMUG00000001549	Bos_mutus
ENSSSCP00000045896	ENSSSCG00000036532	Sus_scrofa_strain_reference
ENSCGRP00015021304	ENSCGRG00015016245	Cricetulus_griseus_CriGri-PICR
ENSSBOP00000031840	ENSSBOG00000032124	Saimiri_boliviensis_boliviensis
ENSPMJP00000002401	ENSPMJG00000001982	Parus_major
ENSPMAP00000003376	ENSPMAG00000003102	Petromyzon_marinus
ENSAPLP00000010032	ENSAPLG00000010308	Anas_platyrhynchos_platyrhynchos
ENSCCNP00000003430	ENSCCNG00000003667	Castor_canadensis
ENSCSAP00000015381	ENSCSAG00000002663	Chlorocebus_sabaeus
ENSBIXP00000005295	ENSBIXG00000007627	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMVIP00005015346	ENSMVIG00005011045	Manacus_vitellinus
ENSMGAP00000005113	ENSMGAG00000005219	Meleagris_gallopavo
ENSDNVP00000024536	ENSDNVG00000017043	Dromaius_novaehollandiae
ENSBBBP00000014881	ENSBBBG00000022672	Bison_bison_bison
ENSGGOP00000013239	ENSGGOG00000013571	Gorilla_gorilla
MGP_CAROLIEiJ_P0029594	MGP_CAROLIEiJ_G0017069	Mus_caroli_strain_CAROLI_EIJ
ENSMFAP00000002837	ENSMFAG00000037526	Macaca_fascicularis
ENSPCOP00000025053	ENSPCOG00000024744	Propithecus_coquereli
ENSPPAP00000030225	ENSPPAG00000038111	Pan_paniscus
ENSSARP00000010608	ENSSARG00000011754	Sorex_araneus
ENSMUGP00000010802	ENSMUGG00000009483	Meriones_unguiculatus
ENSBTAP00000061282	ENSBTAG00000024983	Bos_taurus
ENSLCOP00000007237	ENSLCOG00000005323	Lepidothrix_coronata
ENSCAPP00000015446	ENSCAPG00000015570	Cavia_aperea
ENSUPAP00010008969	ENSUPAG00010007241	Urocitellus_parryii
ENSCJPP00005002173	ENSCJPG00005002329	Coturnix_japonica
ENSNVIP00000005833	ENSNVIG00000004681	Neovison_vison
ENSMNEP00000035613	ENSMNEG00000040968	Macaca_nemestrina
ENSMUSP00000091471	ENSMUSG00000070336	Mus_musculus_strain_reference_(CL57BL6)
ENSEEUP00000000506	ENSEEUG00000000576	Erinaceus_europaeus
ENSTSYP00000001558	ENSTSYG00000001690	Carlito_syrichta
ENSPTEP00000019182	ENSPTEG00000020546	Piliocolobus_tephrosceles
ENSEASP00005002433	ENSEASG00005001902	Equus_asinus_asinus
ENSCPGP00000012113	ENSCPGG00000008628	Calidris_pygmaea
ENSCPUP00000009728	ENSCPUG00000006904	Calidris_pugnax
ENSPPYP00000009550	ENSPPYG00000008499	Pongo_abelii
ENSCMIP00000025221	ENSCMIG00000011084	Callorhinchus_milii
ENSTTRP00000006321	ENSTTRG00000006678	Tursiops_truncatus
ENSFALP00000008245	ENSFALG00000007898	Ficedula_albicollis
ENSOGAP00000013479	ENSOGAG00000015054	Otolemur_garnettii
ENSBIXP00005000066	ENSBIXG00005030724	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSUAMP00000002788	ENSUAMG00000002537	Ursus_americanus
