ENSVURP00010009916	ENSVURG00010007670	Vombatus_ursinus	ENSVURT00010011242
ENSMEUP00000013232	ENSMEUG00000014497	Notamacropus_eugenii	ENSMEUT00000014539
ENSMODP00000038977	ENSMODG00000029372	Monodelphis_domestica	ENSMODT00000042086
ENSPCIP00000041026	ENSPCIG00000030016	Phascolarctos_cinereus	ENSPCIT00000050548
ENSVURP00010014220	ENSVURG00010010926	Vombatus_ursinus	ENSVURT00010016197
ENSPCAP00000000441	ENSPCAG00000000488	Procavia_capensis	ENSPCAT00000000471
ENSLAFP00000012422	ENSLAFG00000014836	Loxodonta_africana	ENSLAFT00000014834
ENSETEP00000000447	ENSETEG00000000561	Echinops_telfairi	ENSETET00000000561
ENSUMAP00000020047	ENSUMAG00000014548	Ursus_maritimus
ENSNVIP00000002817	ENSNVIG00000002230	Neovison_vison
ENSCAFP00000039927	ENSCAFG00000031410	Canis_lupus_familiaris
ENSCAFP00020023447	ENSCAFG00020018470	Canis_lupus_dingo
ENSVVUP00000041716	ENSVVUG00000029692	Vulpes_vulpes
ENSPPRP00000018132	ENSPPRG00000009889	Panthera_pardus
ENSPTIP00000011986	ENSPTIG00000012223	Panthera_tigris_altaica
ENSFCAP00000028126	ENSFCAG00000037476	Felis_catus
ENSNVIP00000024753	ENSNVIG00000019175	Neovison_vison
ENSSARP00000002353	ENSSARG00000002605	Sorex_araneus
ENSMLUP00000000258	ENSMLUG00000000286	Myotis_lucifugus
ENSPVAP00000001241	ENSPVAG00000001321	Pteropus_vampyrus
ENSECAP00000034429	ENSECAG00000039023	Equus_caballus
ENSEASP00005005212	ENSEASG00005003898	Equus_asinus_asinus
ENSOARP00000018826	ENSOARG00000017542	Ovis_aries
ENSCHIP00000031499	ENSCHIG00000025828	Capra_hircus
ENSBIXP00000040233	ENSBIXG00000024278	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005002120	ENSBIXG00005005788	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000054687	ENSBTAG00000046956	Bos_taurus
ENSBMUP00000004997	ENSBMUG00000003915	Bos_mutus
ENSBBBP00000016795	ENSBBBG00000025007	Bison_bison_bison
ENSTTRP00000003660	ENSTTRG00000003893	Tursiops_truncatus
ENSSSCP00000043362	ENSSSCG00000005039	Sus_scrofa_strain_reference
ENSVPAP00000011370	ENSVPAG00000012229	Vicugna_pacos
ENSUAMP00000022262	ENSUAMG00000017506	Ursus_americanus
ENSUAMP00000022261	ENSUAMG00000017504	Ursus_americanus
ENSMICP00000027304	ENSMICG00000037859	Microcebus_murinus
ENSODEP00000025771	ENSODEG00000019081	Octodon_degus
ENSODEP00000013938	ENSODEG00000010301	Octodon_degus
ENSODEP00000017042	ENSODEG00000012558	Octodon_degus
ENSODEP00000020244	ENSODEG00000014928	Octodon_degus
ENSCPOP00000032702	ENSCPOG00000035253	Cavia_porcellus
ENSCAPP00000018198	ENSCAPG00000017663	Cavia_aperea
ENSCLAP00000013268	ENSCLAG00000009165	Chinchilla_lanigera
ENSMOCP00000024662	ENSMOCG00000021013	Microtus_ochrogaster
ENSODEP00000015494	ENSODEG00000011431	Octodon_degus
ENSFDAP00000001088	ENSFDAG00000011161	Fukomys_damarensis
MGP_SPRETEiJ_P0038024	MGP_SPRETEiJ_G0020039	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0036310	MGP_CAROLIEiJ_G0019151	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0084416	MGP_PahariEiJ_G0030168	Mus_pahari_strain_PAHARI_EIJ
ENSHGLP00100021791	ENSHGLG00100016039	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013754	ENSHGLG00000009818	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100002203	ENSHGLG00100001720	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008301	ENSFDAG00000016596	Fukomys_damarensis
ENSHGLP00100027563	ENSHGLG00100020665	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006152	ENSHGLG00000004493	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006455	ENSFDAG00000015209	Fukomys_damarensis
ENSHGLP00100009537	ENSHGLG00100007069	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016616	ENSHGLG00000011883	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000013483	ENSHGLG00000009639	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019750	ENSHGLG00100014562	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006440	ENSHGLG00000004706	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003451	ENSFDAG00000006290	Fukomys_damarensis
ENSCLAP00000016844	ENSCLAG00000011557	Chinchilla_lanigera
ENSMUSP00000094153	ENSMUSG00000071748	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000153854	ENSMUSG00000053205	Mus_musculus_strain_reference_(CL57BL6)
