ENSIPUP00000011988	ENSIPUG00000008163	Ictalurus_punctatus
ENSEEEP00000026547	ENSEEEG00000012844	Electrophorus_electricus
ENSAMXP00000029567	ENSAMXG00000041663	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005033968	ENSAMXG00005016383	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031115	ENSPNAG00000003520	Pygocentrus_nattereri
ENSDARP00000113797	ENSDARG00000062374	Danio_rerio
ENSCHAP00000009071	ENSCHAG00000005399	Clupea_harengus
ENSDCDP00000019932	ENSDCDG00000015937	Denticeps_clupeoides
ENSMMOP00000021777	ENSMMOG00000016554	Mola_mola
ENSCSEP00000029226	ENSCSEG00000018718	Cynoglossus_semilaevis
ENSHCOP00000028208	ENSHCOG00000020683	Hippocampus_comes
ENSAOCP00000008355	ENSAOCG00000012343	Amphiprion_ocellaris
ENSAPEP00000011814	ENSAPEG00000008438	Amphiprion_percula
ENSAPOP00000013259	ENSAPOG00000016038	Acanthochromis_polyacanthus
ENSSPAP00000021862	ENSSPAG00000016516	Stegastes_partitus
ENSXMAP00000036331	ENSXMAG00000023792	Xiphophorus_maculatus
ENSXCOP00000026014	ENSXCOG00000019442	Xiphophorus_couchianus
ENSGAFP00000019650	ENSGAFG00000013280	Gambusia_affinis
ENSPFOP00000009960	ENSPFOG00000009984	Poecilia_formosa
ENSPMEP00000014987	ENSPMEG00000017453	Poecilia_mexicana
ENSPLAP00000025575	ENSPLAG00000012683	Poecilia_latipinna
ENSPREP00000011899	ENSPREG00000008082	Poecilia_reticulata
ENSCVAP00000006301	ENSCVAG00000007812	Cyprinodon_variegatus
ENSKMAP00000007090	ENSKMAG00000005354	Kryptolebias_marmoratus
ENSORLP00000014188	ENSORLG00000011328	Oryzias_latipes_ASM223467v1
ENSORLP00020025496	ENSORLG00020007474	Oryzias_latipes_ASM223471v1
ENSORLP00015012399	ENSORLG00015013245	Oryzias_latipes_ASM223469v1
ENSOMEP00000027982	ENSOMEG00000010765	Oryzias_melastigma
ENSGWIP00000004309	ENSGWIG00000002308	Gouania_willdenowi
ENSACLP00000031868	ENSACLG00000021615	Astatotilapia_calliptera
ENSHBUP00000029252	ENSHBUG00000013531	Haplochromis_burtoni
ENSMZEP00005021915	ENSMZEG00005016430	Maylandia_zebra
ENSPNYP00000002433	ENSPNYG00000001936	Pundamilia_nyererei
ENSONIP00000016072	ENSONIG00000012767	Oreochromis_niloticus
ENSNBRP00000003831	ENSNBRG00000003056	Neolamprologus_brichardi
ENSACIP00000007985	ENSACIG00000006238	Amphilophus_citrinellus
ENSPRNP00000054739	ENSPRNG00000025718	Parambassis_ranga
ENSMAMP00000029037	ENSMAMG00000019552	Mastacembelus_armatus
ENSBSLP00000035440	ENSBSLG00000017331	Betta_splendens
ENSATEP00000032775	ENSATEG00000022575	Anabas_testudineus
ENSSDUP00000012181	ENSSDUG00000008877	Seriola_dumerili
ENSSLDP00000028973	ENSSLDG00000022376	Seriola_lalandi_dorsalis
ENSLCAP00010019510	ENSLCAG00010009207	Lates_calcarifer
ENSSMAP00000021181	ENSSMAG00000012988	Scophthalmus_maximus
ENSCGOP00000038056	ENSCGOG00000017468	Cottoperca_gobio
ENSGACP00000014202	ENSGACG00000010726	Gasterosteus_aculeatus
ENSLCRP00005031831	ENSLCRG00005012638	Larimichthys_crocea
ENSLBEP00000021999	ENSLBEG00000016902	Labrus_bergylta
ENSPMGP00000014794	ENSPMGG00000012138	Periophthalmus_magnuspinnatus
ENSTNIP00000001143	ENSTNIG00000008093	Tetraodon_nigroviridis
ENSTRUP00000040924	ENSTRUG00000016004	Takifugu_rubripes
ENSGMOP00000005205	ENSGMOG00000004924	Gadus_morhua
ENSHHUP00000008125	ENSHHUG00000004991	Hucho_hucho
ENSELUP00000015311	ENSELUG00000015268	Esox_lucius
ENSSFOP00015001096	ENSSFOG00015000816	Scleropages_formosus
ENSPKIP00000032068	ENSPKIG00000012289	Paramormyrops_kingsleyae
ENSLOCP00000011831	ENSLOCG00000009689	Lepisosteus_oculatus
ENSARWP00000013997	ENSARWG00000009692	Apteryx_rowi
ENSAPLP00000023659	ENSAPLG00000019625	Anas_platyrhynchos_platyrhynchos
ENSPVIP00000020178	ENSPVIG00000015395	Pogona_vitticeps
ENSACAP00000016631	ENSACAG00000016906	Anolis_carolinensis	ENSACAT00000016958
ENSSMRP00000004593	ENSSMRG00000003781	Salvator_merianae
ENSSPUP00000003611	ENSSPUG00000002762	Sphenodon_punctatus
ENSGAGP00000025900	ENSGAGG00000018912	Gopherus_agassizii
ENSCABP00000019168	ENSCABG00000014171	Chelonoidis_abingdonii
ENSCPBP00000023475	ENSCPBG00000016763	Chrysemys_picta_bellii
ENSPCIP00000012456	ENSPCIG00000009911	Phascolarctos_cinereus
ENSMODP00000030328	ENSMODG00000023541	Monodelphis_domestica
ENSCGRP00001003482	ENSCGRG00001004238	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000076	ENSCGRG00015000110	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000004468	ENSPEMG00000006776	Peromyscus_maniculatus_bairdii
ENSMSIP00000037952	ENSMSIG00000031623	Mus_spicilegus
MGP_CAROLIEiJ_P0077156	MGP_CAROLIEiJ_G0029106	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0080418	MGP_SPRETEiJ_G0030159	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000061079	ENSMUSG00000043432	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0045522	MGP_PahariEiJ_G0020974	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000025138	ENSRNOG00000018621	Rattus_norvegicus
ENSMUGP00000031351	ENSMUGG00000026062	Meriones_unguiculatus
ENSCCNP00000009557	ENSCCNG00000010062	Castor_canadensis
ENSUPAP00010011617	ENSUPAG00010009444	Urocitellus_parryii
ENSMMMP00000003273	ENSMMMG00000002988	Marmota_marmota_marmota
ENSPTRP00000019699	ENSPTRG00000011460	Pan_troglodytes
ENSPTRP00000070374	ENSPTRG00000050721	Pan_troglodytes
ENSP00000479355	ENSG00000275183	Homo_sapiens
ENSPPYP00000011631	ENSPPYG00000010383	Pongo_abelii
ENSNLEP00000023038	ENSNLEG00000019192	Nomascus_leucogenys
ENSRROP00000039350	ENSRROG00000043000	Rhinopithecus_roxellana
ENSRBIP00000015718	ENSRBIG00000031962	Rhinopithecus_bieti
ENSCANP00000025900	ENSCANG00000036380	Colobus_angolensis_palliatus
ENSCATP00000008823	ENSCATG00000026813	Cercocebus_atys
ENSMLEP00000004797	ENSMLEG00000021727	Mandrillus_leucophaeus
ENSMFAP00000032236	ENSMFAG00000037144	Macaca_fascicularis
ENSMNEP00000027173	ENSMNEG00000036994	Macaca_nemestrina
ENSPANP00000001966	ENSPANG00000005787	Papio_anubis
ENSCJAP00000055978	ENSCJAG00000001244	Callithrix_jacchus
ENSNVIP00000020580	ENSNVIG00000016129	Neovison_vison
ENSMPUP00000018512	ENSMPUG00000018631	Mustela_putorius_furo
ENSUAMP00000011799	ENSUAMG00000009573	Ursus_americanus
ENSPPRP00000021497	ENSPPRG00000012303	Panthera_pardus
ENSECAP00000015791	ENSECAG00000018281	Equus_caballus
ENSEASP00005031626	ENSEASG00005021529	Equus_asinus_asinus
ENSSSCP00000003545	ENSSSCG00000003269	Sus_scrofa_strain_reference
ENSTTRP00000006238	ENSTTRG00000006593	Tursiops_truncatus
ENSBIXP00005040307	ENSBIXG00005022896	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000034860	ENSBIXG00000017960	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000015528	ENSBTAG00000011693	Bos_taurus
ENSOARP00000002806	ENSOARG00000002644	Ovis_aries
ENSCHIP00000016569	ENSCHIG00000016786	Capra_hircus
ENSPCAP00000005386	ENSPCAG00000005749	Procavia_capensis
ENSLAFP00000022542	ENSLAFG00000025939	Loxodonta_africana
ENSDNOP00000003989	ENSDNOG00000005144	Dasypus_novemcinctus
ENSOANP00000008210	ENSOANG00000005166	Ornithorhynchus_anatinus
ENSXETP00000022770	ENSXETG00000005526	Xenopus_tropicalis
ENSXETP00000009184	ENSXETG00000011868	Xenopus_tropicalis
ENSLACP00000014685	ENSLACG00000012924	Latimeria_chalumnae
ENSCMIP00000000027	ENSCMIG00000000045	Callorhinchus_milii
ENSECRP00000033574	ENSECRG00000022731	Erpetoichthys_calabaricus
ENSCINP00000025121	ENSCING00000013747	Ciona_intestinalis
