ENSSMAP00000020105	ENSSMAG00000012335	Scophthalmus_maximus
ENSPLAP00000000149	ENSPLAG00000000917	Poecilia_latipinna
ENSTRUP00000009478	ENSTRUG00000003999	Takifugu_rubripes
MGP_SPRETEiJ_P0045988	MGP_SPRETEiJ_G0022337	Mus_spretus_strain_SPRET/EiJ
ENSPTRP00000030812	ENSPTRG00000018041	Pan_troglodytes
ENSPCOP00000008351	ENSPCOG00000015448	Propithecus_coquereli
ENSMSIP00000018908	ENSMSIG00000016102	Mus_spicilegus
ENSORLP00020017931	ENSORLG00020018940	Oryzias_latipes_ASM223471v1
ENSMMMP00000027767	ENSMMMG00000024238	Marmota_marmota_marmota
ENSHBUP00000000685	ENSHBUG00000000828	Haplochromis_burtoni
ENSNBRP00000027206	ENSNBRG00000020755	Neolamprologus_brichardi
ENSCCEP00000001877	ENSCCEG00000002167	Cyanistes_caeruleus	ENSCCET00000003198
ENSOPRP00000002517	ENSOPRG00000002745	Ochotona_princeps
ENSPPAP00000007023	ENSPPAG00000026096	Pan_paniscus
ENSORLP00000012553	ENSORLG00000010004	Oryzias_latipes_ASM223467v1
MGP_PahariEiJ_P0043637	MGP_PahariEiJ_G0020430	Mus_pahari_strain_PAHARI_EIJ
ENSBTAP00000022382	ENSBTAG00000010723	Bos_taurus
ENSSPAP00000030102	ENSSPAG00000022622	Stegastes_partitus
ENSMEUP00000015334	ENSMEUG00000016778	Notamacropus_eugenii
ENSODEP00000008392	ENSODEG00000006260	Octodon_degus
ENSSSCP00000001634	ENSSSCG00000001505	Sus_scrofa_strain_reference
ENSATEP00000027491	ENSATEG00000018997	Anabas_testudineus
ENSBBBP00000022572	ENSBBBG00000006997	Bison_bison_bison
ENSSLDP00000030764	ENSSLDG00000023681	Seriola_lalandi_dorsalis
ENSUAMP00000035483	ENSUAMG00000026943	Ursus_americanus
ENSPMEP00000026017	ENSPMEG00000009392	Poecilia_mexicana
ENSGACP00000024613	ENSGACG00000018616	Gasterosteus_aculeatus
ENSBBBP00000006609	ENSBBBG00000014925	Bison_bison_bison
ENSEEEP00000042345	ENSEEEG00000020005	Electrophorus_electricus
ENSECAP00000022753	ENSECAG00000026908	Equus_caballus
ENSCAFP00020025169	ENSCAFG00020019796	Canis_lupus_dingo
ENSCLAP00000015210	ENSCLAG00000010475	Chinchilla_lanigera
ENSCAFP00000001363	ENSCAFG00000000956	Canis_lupus_familiaris
ENSBMUP00000027601	ENSBMUG00000020670	Bos_mutus
ENSPVAP00000001802	ENSPVAG00000001910	Pteropus_vampyrus
ENSFCAP00000044259	ENSFCAG00000046037	Felis_catus
ENSNSUP00000006740	ENSNSUG00000005338	Notechis_scutatus	ENSNSUT00000007231
ENSCSAP00000005817	ENSCSAG00000009556	Chlorocebus_sabaeus
ENSMLEP00000018143	ENSMLEG00000033252	Mandrillus_leucophaeus
ENSDORP00000021462	ENSDORG00000029836	Dipodomys_ordii
ENSCPBP00000004994	ENSCPBG00000004026	Chrysemys_picta_bellii
ENSSFOP00015028182	ENSSFOG00015018089	Scleropages_formosus
ENSODEP00000024118	ENSODEG00000017649	Octodon_degus
ENSNGAP00000003582	ENSNGAG00000004185	Nannospalax_galili
ENSCAFP00000063627	ENSCAFG00000017742	Canis_lupus_familiaris
ENSMICP00000018768	ENSMICG00000000922	Microcebus_murinus
ENSCABP00000001118	ENSCABG00000000938	Chelonoidis_abingdonii
ENSCHIP00000023552	ENSCHIG00000021078	Capra_hircus
ENSCAFP00020002122	ENSCAFG00020001835	Canis_lupus_dingo
ENSRBIP00000002563	ENSRBIG00000012271	Rhinopithecus_bieti
ENSPREP00000032743	ENSPREG00000022202	Poecilia_reticulata
ENSCVAP00000016051	ENSCVAG00000018951	Cyprinodon_variegatus
ENSPNAP00000014610	ENSPNAG00000020541	Pygocentrus_nattereri
ENSBSLP00000015754	ENSBSLG00000008293	Betta_splendens
ENSCATP00000017713	ENSCATG00000032725	Cercocebus_atys
ENSTTRP00000004049	ENSTTRG00000004306	Tursiops_truncatus
ENSLAFP00000010839	ENSLAFG00000012967	Loxodonta_africana
ENSLACP00000009379	ENSLACG00000008272	Latimeria_chalumnae
ENSOARP00000009906	ENSOARG00000009232	Ovis_aries
ENSUMAP00000016832	ENSUMAG00000012363	Ursus_maritimus
ENSBIXP00000005325	ENSBIXG00000007022	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSUPAP00010017015	ENSUPAG00010013562	Urocitellus_parryii
ENSMAMP00000023658	ENSMAMG00000015921	Mastacembelus_armatus
ENSACLP00000034466	ENSACLG00000023348	Astatotilapia_calliptera
ENSRNOP00000075862	ENSRNOG00000000473	Rattus_norvegicus
ENSACAP00000003447	ENSACAG00000003551	Anolis_carolinensis	ENSACAT00000003533
ENSCGRP00015038205	ENSCGRG00015028562	Cricetulus_griseus_CriGri-PICR
ENSLOCP00000000541	ENSLOCG00000000454	Lepisosteus_oculatus
ENSPKIP00000022846	ENSPKIG00000006700	Paramormyrops_kingsleyae
ENSCGOP00000011795	ENSCGOG00000005838	Cottoperca_gobio
ENSOPRP00000000807	ENSOPRG00000000888	Ochotona_princeps
ENSDCDP00000012214	ENSDCDG00000007539	Denticeps_clupeoides
ENSPCAP00000005568	ENSPCAG00000006019	Procavia_capensis
ENSMFAP00000040928	ENSMFAG00000041216	Macaca_fascicularis
ENSAPEP00000012773	ENSAPEG00000009090	Amphiprion_percula
ENSPMGP00000002687	ENSPMGG00000002346	Periophthalmus_magnuspinnatus
ENSPPRP00000011188	ENSPPRG00000005109	Panthera_pardus
ENSSARP00000005727	ENSSARG00000006330	Sorex_araneus
ENSBMUP00000011564	ENSBMUG00000008885	Bos_mutus
ENSHGLP00100014797	ENSHGLG00100010956	Heterocephalus_glaber_HetGla_1.0
ENSCCAP00000018528	ENSCCAG00000027108	Cebus_capucinus_imitator
ENSOCUP00000009098	ENSOCUG00000010559	Oryctolagus_cuniculus
ENSAMXP00000037507	ENSAMXG00000041538	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSONIP00000022189	ENSONIG00000017598	Oreochromis_niloticus
ENSTSYP00000016464	ENSTSYG00000034235	Carlito_syrichta
ENSPTIP00000002395	ENSPTIG00000005409	Panthera_tigris_altaica
ENSSMRP00000000123	ENSSMRG00000000135	Salvator_merianae	ENSSMRT00000000154
ENSECRP00000000854	ENSECRG00000000570	Erpetoichthys_calabaricus
