ENSPEMP00000004955	ENSPEMG00000007340	Peromyscus_maniculatus_bairdii
ENSMOCP00000015117	ENSMOCG00000014401	Microtus_ochrogaster
ENSCGRP00001007318	ENSCGRG00001009701	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000015574	ENSCGRG00000011306	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015016946	ENSCGRG00015012969	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000013525	ENSMAUG00000013528	Mesocricetus_auratus
ENSMUSP00000019625	ENSMUSG00000055775	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000008570	ENSMSIG00000007496	Mus_spicilegus
MGP_CAROLIEiJ_P0027342	MGP_CAROLIEiJ_G0016525	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0034093	MGP_PahariEiJ_G0017655	Mus_pahari_strain_PAHARI_EIJ
MGP_SPRETEiJ_P0028718	MGP_SPRETEiJ_G0017361	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000054082	ENSRNOG00000050042	Rattus_norvegicus
ENSMUGP00000031818	ENSMUGG00000026442	Meriones_unguiculatus
ENSNGAP00000019401	ENSNGAG00000019201	Nannospalax_galili
ENSJJAP00000005282	ENSJJAG00000010170	Jaculus_jaculus
ENSUPAP00010021706	ENSUPAG00010017234	Urocitellus_parryii
ENSSTOP00000007732	ENSSTOG00000008604	Ictidomys_tridecemlineatus
ENSSDAP00000006980	ENSSDAG00000006409	Spermophilus_dauricus
ENSMMMP00000023729	ENSMMMG00000020759	Marmota_marmota_marmota
ENSDORP00000027830	ENSDORG00000028497	Dipodomys_ordii
ENSCPOP00000022231	ENSCPOG00000039186	Cavia_porcellus
ENSCAPP00000011635	ENSCAPG00000012636	Cavia_aperea
ENSCLAP00000020413	ENSCLAG00000013990	Chinchilla_lanigera
ENSODEP00000001182	ENSODEG00000000933	Octodon_degus
ENSHGLP00000015160	ENSHGLG00000010857	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017627	ENSHGLG00100012998	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000020491	ENSFDAG00000008413	Fukomys_damarensis
ENSP00000384330	ENSG00000133020	Homo_sapiens
ENSGGOP00000024473	ENSGGOG00000036439	Gorilla_gorilla
ENSPPAP00000031712	ENSPPAG00000038750	Pan_paniscus
ENSPTRP00000014939	ENSPTRG00000008768	Pan_troglodytes
ENSPPYP00000008973	ENSPPYG00000007980	Pongo_abelii
ENSNLEP00000012410	ENSNLEG00000010147	Nomascus_leucogenys
ENSPTEP00000002376	ENSPTEG00000002800	Piliocolobus_tephrosceles
ENSCANP00000008102	ENSCANG00000026410	Colobus_angolensis_palliatus
ENSRROP00000044439	ENSRROG00000045178	Rhinopithecus_roxellana
ENSRBIP00000019212	ENSRBIG00000033585	Rhinopithecus_bieti
ENSCATP00000011717	ENSCATG00000030039	Cercocebus_atys
ENSMLEP00000008320	ENSMLEG00000028263	Mandrillus_leucophaeus
ENSTGEP00000034185	ENSTGEG00000027264	Theropithecus_gelada
ENSPANP00000019698	ENSPANG00000023757	Papio_anubis
ENSMFAP00000008061	ENSMFAG00000033653	Macaca_fascicularis
ENSMNEP00000028016	ENSMNEG00000037358	Macaca_nemestrina
ENSCSAP00000006098	ENSCSAG00000010037	Chlorocebus_sabaeus
