ENSAOWP00000027877	ENSAOWG00000018783	Apteryx_owenii	ENSAOWT00000031590
ENSAHAP00000015756	ENSAHAG00000011269	Apteryx_haastii	ENSAHAT00000017441
ENSARWP00000016762	ENSARWG00000011478	Apteryx_rowi	ENSARWT00000019098
ENSDNVP00000006219	ENSDNVG00000004457	Dromaius_novaehollandiae	ENSDNVT00000007499
ENSNPEP00000019186	ENSNPEG00000014300	Nothoprocta_perdicaria
ENSCPRP00005006719	ENSCPRG00005004648	Crocodylus_porosus
ENSCABP00000028885	ENSCABG00000021214	Chelonoidis_abingdonii
ENSGAGP00000017210	ENSGAGG00000012826	Gopherus_agassizii
ENSCPBP00000021766	ENSCPBG00000015632	Chrysemys_picta_bellii
ENSPSIP00000010514	ENSPSIG00000009185	Pelodiscus_sinensis
ENSOANP00000001945	ENSOANG00000001217	Ornithorhynchus_anatinus
ENSLACP00000003395	ENSLACG00000003032	Latimeria_chalumnae
ENSAMXP00000008750	ENSAMXG00000008517	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005019296	ENSAMXG00005009014	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000022104	ENSPNAG00000004748	Pygocentrus_nattereri
ENSEEEP00000027551	ENSEEEG00000013049	Electrophorus_electricus
ENSIPUP00000029157	ENSIPUG00000019681	Ictalurus_punctatus
ENSDARP00000136067	ENSDARG00000098618	Danio_rerio
ENSDCDP00000021808	ENSDCDG00000016630	Denticeps_clupeoides
ENSCSEP00000024407	ENSCSEG00000015587	Cynoglossus_semilaevis
ENSCSEP00000018493	ENSCSEG00000011850	Cynoglossus_semilaevis
ENSGWIP00000005714	ENSGWIG00000002887	Gouania_willdenowi
ENSMAMP00000019687	ENSMAMG00000013257	Mastacembelus_armatus
ENSMALP00000015943	ENSMALG00000011150	Monopterus_albus
ENSATEP00000007952	ENSATEG00000005585	Anabas_testudineus
ENSBSLP00000014712	ENSBSLG00000007673	Betta_splendens
ENSLCAP00010060508	ENSLCAG00010028169	Lates_calcarifer
ENSSMAP00000017116	ENSSMAG00000010502	Scophthalmus_maximus
ENSSDUP00000020586	ENSSDUG00000014986	Seriola_dumerili
ENSSDUP00000020676	ENSSDUG00000015048	Seriola_dumerili
ENSSLDP00000002600	ENSSLDG00000002038	Seriola_lalandi_dorsalis
ENSCGOP00000026124	ENSCGOG00000011320	Cottoperca_gobio
ENSGACP00000012916	ENSGACG00000009777	Gasterosteus_aculeatus
ENSLCRP00005056497	ENSLCRG00005020953	Larimichthys_crocea
ENSTRUP00000027534	ENSTRUG00000010898	Takifugu_rubripes
ENSTNIP00000018470	ENSTNIG00000015403	Tetraodon_nigroviridis
ENSMMOP00000023865	ENSMMOG00000018167	Mola_mola
ENSLBEP00000018219	ENSLBEG00000014040	Labrus_bergylta
ENSPMEP00000005962	ENSPMEG00000007557	Poecilia_mexicana
ENSPLAP00000020234	ENSPLAG00000002990	Poecilia_latipinna
ENSPREP00000003270	ENSPREG00000002379	Poecilia_reticulata
ENSXMAP00000007428	ENSXMAG00000007362	Xiphophorus_maculatus
ENSXCOP00000010471	ENSXCOG00000007927	Xiphophorus_couchianus
ENSGAFP00000017779	ENSGAFG00000012032	Gambusia_affinis
ENSPFOP00000017331	ENSPFOG00000017179	Poecilia_formosa
ENSFHEP00000027451	ENSFHEG00000010917	Fundulus_heteroclitus
ENSCVAP00000010052	ENSCVAG00000012264	Cyprinodon_variegatus
ENSKMAP00000017643	ENSKMAG00000013154	Kryptolebias_marmoratus
ENSORLP00015000448	ENSORLG00015001058	Oryzias_latipes_ASM223469v1
ENSORLP00020010537	ENSORLG00020011504	Oryzias_latipes_ASM223471v1
ENSORLP00000010940	ENSORLG00000008714	Oryzias_latipes_ASM223467v1
ENSOMEP00000024190	ENSOMEG00000004693	Oryzias_melastigma
ENSACLP00000004194	ENSACLG00000002836	Astatotilapia_calliptera
ENSMZEP00005022826	ENSMZEG00005017088	Maylandia_zebra
ENSPNYP00000025093	ENSPNYG00000018945	Pundamilia_nyererei
ENSHBUP00000010934	ENSHBUG00000012512	Haplochromis_burtoni
ENSNBRP00000005315	ENSNBRG00000004147	Neolamprologus_brichardi
ENSONIP00000017232	ENSONIG00000013694	Oreochromis_niloticus
ENSACIP00000026819	ENSACIG00000020703	Amphilophus_citrinellus
ENSAOCP00000016776	ENSAOCG00000021733	Amphiprion_ocellaris
ENSAPEP00000029218	ENSAPEG00000020768	Amphiprion_percula
ENSAPOP00000027376	ENSAPOG00000011870	Acanthochromis_polyacanthus
ENSSPAP00000029144	ENSSPAG00000021925	Stegastes_partitus
ENSPRNP00000015800	ENSPRNG00000008459	Parambassis_ranga
ENSHCOP00000025398	ENSHCOG00000015506	Hippocampus_comes
ENSPMGP00000027081	ENSPMGG00000021844	Periophthalmus_magnuspinnatus
ENSGMOP00000017784	ENSGMOG00000016556	Gadus_morhua
ENSHHUP00000040710	ENSHHUG00000025133	Hucho_hucho
ENSHHUP00000032875	ENSHHUG00000020764	Hucho_hucho
ENSELUP00000010666	ENSELUG00000011164	Esox_lucius
ENSSFOP00015009118	ENSSFOG00015005949	Scleropages_formosus
ENSPKIP00000038297	ENSPKIG00000016123	Paramormyrops_kingsleyae
ENSLOCP00000007706	ENSLOCG00000006368	Lepisosteus_oculatus
ENSECRP00000010226	ENSECRG00000006823	Erpetoichthys_calabaricus
ENSPKIP00000038160	ENSPKIG00000016055	Paramormyrops_kingsleyae
ENSSFOP00015009069	ENSSFOG00015005906	Scleropages_formosus
ENSLOCP00000007669	ENSLOCG00000006336	Lepisosteus_oculatus
ENSECRP00000010150	ENSECRG00000006772	Erpetoichthys_calabaricus
ENSGAGP00000017182	ENSGAGG00000012823	Gopherus_agassizii
ENSCABP00000028878	ENSCABG00000021205	Chelonoidis_abingdonii
ENSCPBP00000021775	ENSCPBG00000015640	Chrysemys_picta_bellii
ENSPSIP00000011335	ENSPSIG00000010119	Pelodiscus_sinensis
ENSCPRP00005007429	ENSCPRG00005004888	Crocodylus_porosus
ENSCHOP00000000754	ENSCHOG00000000843	Choloepus_hoffmanni
ENSDNOP00000034121	ENSDNOG00000047527	Dasypus_novemcinctus
ENSUPAP00010005191	ENSUPAG00010004215	Urocitellus_parryii
ENSSTOP00000013691	ENSSTOG00000015281	Ictidomys_tridecemlineatus
ENSSDAP00000008635	ENSSDAG00000007865	Spermophilus_dauricus
ENSMMMP00000008309	ENSMMMG00000006028	Marmota_marmota_marmota
ENSOPRP00000014555	ENSOPRG00000015913	Ochotona_princeps
ENSPPAP00000013239	ENSPPAG00000029772	Pan_paniscus
ENSPTRP00000029272	ENSPTRG00000017096	Pan_troglodytes
ENSP00000400376	ENSG00000164308	Homo_sapiens
ENSGGOP00000011918	ENSGGOG00000012203	Gorilla_gorilla
ENSPPYP00000017500	ENSPPYG00000015651	Pongo_abelii
ENSNLEP00000017525	ENSNLEG00000014369	Nomascus_leucogenys
ENSCATP00000020595	ENSCATG00000034045	Cercocebus_atys
ENSMLEP00000005763	ENSMLEG00000024947	Mandrillus_leucophaeus
ENSPANP00000007591	ENSPANG00000006471	Papio_anubis
ENSTGEP00000008431	ENSTGEG00000006888	Theropithecus_gelada
ENSMFAP00000015757	ENSMFAG00000031043	Macaca_fascicularis
ENSMNEP00000043344	ENSMNEG00000044352	Macaca_nemestrina
ENSMMUP00000053070	ENSMMUG00000011043	Macaca_mulatta
ENSCSAP00000010420	ENSCSAG00000014285	Chlorocebus_sabaeus
ENSCANP00000009629	ENSCANG00000028223	Colobus_angolensis_palliatus
ENSPTEP00000014422	ENSPTEG00000016083	Piliocolobus_tephrosceles
ENSRROP00000027424	ENSRROG00000037497	Rhinopithecus_roxellana
ENSRBIP00000042647	ENSRBIG00000044572	Rhinopithecus_bieti
ENSCCAP00000006253	ENSCCAG00000020876	Cebus_capucinus_imitator
ENSCCAP00000009091	ENSCCAG00000022302	Cebus_capucinus_imitator
ENSSBOP00000036927	ENSSBOG00000034572	Saimiri_boliviensis_boliviensis
ENSCJAP00000017987	ENSCJAG00000009751	Callithrix_jacchus
ENSANAP00000034580	ENSANAG00000034887	Aotus_nancymaae
ENSTSYP00000002076	ENSTSYG00000002213	Carlito_syrichta
ENSPCOP00000004436	ENSPCOG00000012780	Propithecus_coquereli
ENSPCOP00000004165	ENSPCOG00000012305	Propithecus_coquereli
ENSPSMP00000011857	ENSPSMG00000008547	Prolemur_simus
ENSMICP00000015861	ENSMICG00000017413	Microcebus_murinus
ENSTBEP00000006038	ENSTBEG00000006975	Tupaia_belangeri
ENSCHIP00000018935	ENSCHIG00000018163	Capra_hircus
ENSOARP00000019245	ENSOARG00000017926	Ovis_aries
ENSBIXP00005027232	ENSBIXG00005030872	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000067643	ENSBTAG00000039275	Bos_taurus
ENSBIXP00000018586	ENSBIXG00000022403	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000027404	ENSBMUG00000020532	Bos_mutus
ENSBBBP00000013502	ENSBBBG00000005678	Bison_bison_bison
ENSTTRP00000002766	ENSTTRG00000002940	Tursiops_truncatus
ENSSSCP00000020372	ENSSSCG00000027860	Sus_scrofa_strain_reference
ENSVPAP00000001419	ENSVPAG00000001538	Vicugna_pacos
ENSECAP00000022807	ENSECAG00000024465	Equus_caballus
ENSEASP00005028319	ENSEASG00005018877	Equus_asinus_asinus
ENSPVAP00000015716	ENSPVAG00000016652	Pteropus_vampyrus
ENSMLUP00000014658	ENSMLUG00000016082	Myotis_lucifugus
ENSEEUP00000002713	ENSEEUG00000002947	Erinaceus_europaeus
ENSSARP00000010087	ENSSARG00000011139	Sorex_araneus
ENSUMAP00000008813	ENSUMAG00000006699	Ursus_maritimus
ENSUAMP00000002026	ENSUAMG00000001883	Ursus_americanus
ENSAMEP00000015320	ENSAMEG00000014503	Ailuropoda_melanoleuca
ENSNVIP00000002959	ENSNVIG00000002308	Neovison_vison
ENSMPUP00000004377	ENSMPUG00000004410	Mustela_putorius_furo
ENSCAFP00020014118	ENSCAFG00020011413	Canis_lupus_dingo
ENSCAFP00000011532	ENSCAFG00000024646	Canis_lupus_familiaris
ENSVVUP00000027510	ENSVVUG00000020208	Vulpes_vulpes
ENSLAFP00000009664	ENSLAFG00000011564	Loxodonta_africana
ENSPCAP00000004740	ENSPCAG00000005026	Procavia_capensis
ENSCMIP00000041982	ENSCMIG00000017391	Callorhinchus_milii
ENSCMIP00000042029	ENSCMIG00000017479	Callorhinchus_milii
ENSCMIP00000042091	ENSCMIG00000017493	Callorhinchus_milii
