ENSCGOP00000008810	ENSCGOG00000004559	Cottoperca_gobio
ENSLCAP00010040532	ENSLCAG00010018965	Lates_calcarifer
ENSLCRP00005040746	ENSLCRG00005015716	Larimichthys_crocea
ENSXMAP00000039923	ENSXMAG00000023055	Xiphophorus_maculatus
ENSPMEP00000012632	ENSPMEG00000014838	Poecilia_mexicana
ENSFHEP00000026660	ENSFHEG00000009630	Fundulus_heteroclitus
ENSGWIP00000030206	ENSGWIG00000015744	Gouania_willdenowi
ENSMZEP00005023103	ENSMZEG00005017305	Maylandia_zebra
ENSACLP00000005950	ENSACLG00000004007	Astatotilapia_calliptera
ENSHCOP00000006441	ENSHCOG00000008238	Hippocampus_comes	ENSHCOT00000003679
ENSOMEP00000016895	ENSOMEG00000018546	Oryzias_melastigma
ENSGAFP00000024821	ENSGAFG00000016753	Gambusia_affinis
ENSACLP00000024959	ENSACLG00000016981	Astatotilapia_calliptera
ENSPNYP00000019516	ENSPNYG00000014749	Pundamilia_nyererei
ENSMMOP00000003612	ENSMMOG00000002890	Mola_mola
ENSDORP00000019499	ENSDORG00000024721	Dipodomys_ordii
ENSMOCP00000008933	ENSMOCG00000009001	Microtus_ochrogaster
ENSVURP00010002418	ENSVURG00010001984	Vombatus_ursinus
ENSNSUP00000019134	ENSNSUG00000013971	Notechis_scutatus
