ENSACLP00000034407	ENSACLG00000023311	Astatotilapia_calliptera
ENSPNYP00000030780	ENSPNYG00000023201	Pundamilia_nyererei
ENSSPAP00000013787	ENSSPAG00000010435	Stegastes_partitus
ENSORLP00020019947	ENSORLG00020020926	Oryzias_latipes_ASM223471v1
ENSORLP00020028594	ENSORLG00020012142	Oryzias_latipes_ASM223471v1
ENSORLP00020016275	ENSORLG00020017289	Oryzias_latipes_ASM223471v1
ENSORLP00015012965	ENSORLG00015013841	Oryzias_latipes_ASM223469v1
ENSORLP00015035802	ENSORLG00015022616	Oryzias_latipes_ASM223469v1
ENSORLP00020004483	ENSORLG00020005273	Oryzias_latipes_ASM223471v1
ENSORLP00000039890	ENSORLG00000023212	Oryzias_latipes_ASM223467v1
ENSORLP00020006979	ENSORLG00020007865	Oryzias_latipes_ASM223471v1
ENSORLP00015001296	ENSORLG00015001885	Oryzias_latipes_ASM223469v1
ENSORLP00000032776	ENSORLG00000027875	Oryzias_latipes_ASM223467v1
ENSORLP00020010982	ENSORLG00020011912	Oryzias_latipes_ASM223471v1
ENSORLP00015030565	ENSORLG00015014314	Oryzias_latipes_ASM223469v1
ENSORLP00015016925	ENSORLG00015017932	Oryzias_latipes_ASM223469v1
ENSORLP00000028129	ENSORLG00000023040	Oryzias_latipes_ASM223467v1	ENSORLT00000036094
ENSORLP00000030850	ENSORLG00000027306	Oryzias_latipes_ASM223467v1	ENSORLT00000033779
ENSORLP00020017195	ENSORLG00020018216	Oryzias_latipes_ASM223471v1
ENSPFOP00000014655	ENSPFOG00000014642	Poecilia_formosa
ENSPREP00000018763	ENSPREG00000012705	Poecilia_reticulata
ENSPMEP00000007924	ENSPMEG00000009620	Poecilia_mexicana
ENSXMAP00000030446	ENSXMAG00000023649	Xiphophorus_maculatus
ENSXMAP00000021747	ENSXMAG00000027793	Xiphophorus_maculatus
ENSXMAP00000027406	ENSXMAG00000028580	Xiphophorus_maculatus
ENSXMAP00000032106	ENSXMAG00000029537	Xiphophorus_maculatus
ENSPMEP00000027488	ENSPMEG00000011908	Poecilia_mexicana
ENSXCOP00000008333	ENSXCOG00000006391	Xiphophorus_couchianus
ENSXMAP00000037514	ENSXMAG00000022173	Xiphophorus_maculatus
ENSPREP00000025987	ENSPREG00000017560	Poecilia_reticulata
ENSXCOP00000013911	ENSXCOG00000010533	Xiphophorus_couchianus
ENSPMEP00000001546	ENSPMEG00000002473	Poecilia_mexicana
ENSXMAP00000034818	ENSXMAG00000029438	Xiphophorus_maculatus
ENSXMAP00000021614	ENSXMAG00000026938	Xiphophorus_maculatus
ENSPFOP00000023949	ENSPFOG00000022928	Poecilia_formosa
ENSAMXP00000042808	ENSAMXG00000034366	Astyanax_mexicanus_Astyanax_mexicanus-2.0
