ENSIPUP00000019656	ENSIPUG00000013334	Ictalurus_punctatus	ENSIPUT00000020507
ENSCHAP00000041188	ENSCHAG00000019250	Clupea_harengus	ENSCHAT00000044594
ENSLCAP00010025682	ENSLCAG00010012009	Lates_calcarifer
ENSSMAP00000022901	ENSSMAG00000013981	Scophthalmus_maximus
ENSGACP00000004278	ENSGACG00000003266	Gasterosteus_aculeatus
ENSATEP00000013795	ENSATEG00000009635	Anabas_testudineus
ENSPRNP00000054430	ENSPRNG00000025582	Parambassis_ranga	ENSPRNT00000057408
ENSSPAP00000005185	ENSSPAG00000004032	Stegastes_partitus	ENSSPAT00000005287
ENSORLP00020012557	ENSORLG00020013474	Oryzias_latipes_ASM223471v1
ENSORLP00000011595	ENSORLG00000009248	Oryzias_latipes_ASM223467v1
ENSOMEP00000005617	ENSOMEG00000006603	Oryzias_melastigma
ENSOMEP00000025398	ENSOMEG00000006597	Oryzias_melastigma
ENSORLP00000033800	ENSORLG00000022295	Oryzias_latipes_ASM223467v1
ENSKMAP00000013188	ENSKMAG00000009905	Kryptolebias_marmoratus
ENSPNYP00000005680	ENSPNYG00000004397	Pundamilia_nyererei
ENSPNYP00000032086	ENSPNYG00000024226	Pundamilia_nyererei
ENSMZEP00005029435	ENSMZEG00005021960	Maylandia_zebra
ENSONIP00000017680	ENSONIG00000014066	Oreochromis_niloticus
ENSTRUP00000001388	ENSTRUG00000000582	Takifugu_rubripes
ENSTRUP00000052884	ENSTRUG00000021453	Takifugu_rubripes
ENSTRUP00000045236	ENSTRUG00000017651	Takifugu_rubripes
ENSTNIP00000015703	ENSTNIG00000012728	Tetraodon_nigroviridis
ENSTNIP00000015704	ENSTNIG00000012729	Tetraodon_nigroviridis
