ENSUAMP00000014343	ENSUAMG00000011532	Ursus_americanus	ENSUAMT00000016098
ENSNVIP00000000929	ENSNVIG00000000796	Neovison_vison	ENSNVIT00000001094
ENSPPRP00000011642	ENSPPRG00000005436	Panthera_pardus
ENSPTIP00000013606	ENSPTIG00000013287	Panthera_tigris_altaica
ENSFCAP00000035185	ENSFCAG00000035980	Felis_catus	ENSFCAT00000037225
ENSEASP00005008514	ENSEASG00005006121	Equus_asinus_asinus
ENSECAP00000026970	ENSECAG00000038722	Equus_caballus
ENSCCAP00000009684	ENSCCAG00000022585	Cebus_capucinus_imitator
ENSSBOP00000023743	ENSSBOG00000028386	Saimiri_boliviensis_boliviensis
ENSANAP00000005507	ENSANAG00000020850	Aotus_nancymaae
ENSMLEP00000008143	ENSMLEG00000028234	Mandrillus_leucophaeus
ENSMFAP00000011178	ENSMFAG00000013851	Macaca_fascicularis
ENSCATP00000002146	ENSCATG00000009616	Cercocebus_atys
ENSTGEP00000026866	ENSTGEG00000021657	Theropithecus_gelada
ENSPTEP00000005972	ENSPTEG00000006880	Piliocolobus_tephrosceles
