ENSBMUP00000014060	ENSBMUG00000009116	Bos_mutus
MGP_SPRETEiJ_P0073978	MGP_SPRETEiJ_G0028816	Mus_spretus_strain_SPRET/EiJ
ENSMNEP00000010878	ENSMNEG00000029369	Macaca_nemestrina
ENSAMEP00000016268	ENSAMEG00000015429	Ailuropoda_melanoleuca
ENSP00000351807	ENSG00000049540	Homo_sapiens
ENSMUGP00000002698	ENSMUGG00000002478	Meriones_unguiculatus
ENSNMEP00000013952	ENSNMEG00000012592	Numida_meleagris	ENSNMET00000021144
ENSBIXP00005002958	ENSBIXG00005009230	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
MGP_PahariEiJ_P0059244	MGP_PahariEiJ_G0024366	Mus_pahari_strain_PAHARI_EIJ
ENSCJPP00005004401	ENSCJPG00005004345	Coturnix_japonica
ENSOPRP00000014494	ENSOPRG00000015829	Ochotona_princeps
ENSUMAP00000019058	ENSUMAG00000014004	Ursus_maritimus
ENSMLUP00000021394	ENSMLUG00000000398	Myotis_lucifugus
ENSDNVP00000008361	ENSDNVG00000005940	Dromaius_novaehollandiae	ENSDNVT00000010085
ENSPANP00000023766	ENSPANG00000008675	Papio_anubis
ENSCHIP00000018772	ENSCHIG00000018073	Capra_hircus
ENSNVIP00000006072	ENSNVIG00000004873	Neovison_vison
MGP_CAROLIEiJ_P0071261	MGP_CAROLIEiJ_G0027818	Mus_caroli_strain_CAROLI_EIJ
ENSABRP00000007928	ENSABRG00000007208	Anser_brachyrhynchus	ENSABRT00000011336
ENSMUNP00000010319	ENSMUNG00000008161	Melopsittacus_undulatus	ENSMUNT00000011939
ENSMODP00000039294	ENSMODG00000028305	Monodelphis_domestica
ENSCCAP00000023625	ENSCCAG00000029476	Cebus_capucinus_imitator
ENSBBBP00000002941	ENSBBBG00000003006	Bison_bison_bison
ENSECAP00000053885	ENSECAG00000040154	Equus_caballus
ENSTBEP00000006470	ENSTBEG00000007437	Tupaia_belangeri
ENSMAUP00000019567	ENSMAUG00000017767	Mesocricetus_auratus
ENSBIXP00000026937	ENSBIXG00000029118	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRNOP00000045102	ENSRNOG00000001469	Rattus_norvegicus
ENSPEMP00000019315	ENSPEMG00000017632	Peromyscus_maniculatus_bairdii
ENSFALP00000014370	ENSFALG00000013771	Ficedula_albicollis	ENSFALT00000014430
ENSDNOP00000022406	ENSDNOG00000008577	Dasypus_novemcinctus
ENSANAP00000024855	ENSANAG00000029913	Aotus_nancymaae
ENSTGUP00000003472	ENSTGUG00000003359	Taeniopygia_guttata	ENSTGUT00000003508
ENSEASP00005023339	ENSEASG00005015891	Equus_asinus_asinus
ENSCGRP00000002488	ENSCGRG00000001819	Cricetulus_griseus_CriGri_1.0
ENSPTRP00000080940	ENSPTRG00000019283	Pan_troglodytes
ENSTTRP00000008220	ENSTTRG00000008656	Tursiops_truncatus
ENSBTAP00000069595	ENSBTAG00000019517	Bos_taurus
ENSRROP00000008596	ENSRROG00000028675	Rhinopithecus_roxellana
ENSGGOP00000050567	ENSGGOG00000037197	Gorilla_gorilla
ENSETEP00000006205	ENSETEG00000007638	Echinops_telfairi
ENSODEP00000021818	ENSODEG00000016045	Octodon_degus
ENSNGAP00000009988	ENSNGAG00000012495	Nannospalax_galili
ENSCGRP00001022901	ENSCGRG00001021282	Cricetulus_griseus_CHOK1GS_HDv1
ENSOCUP00000040886	ENSOCUG00000031506	Oryctolagus_cuniculus
ENSSSCP00000048714	ENSSSCG00000025858	Sus_scrofa_strain_reference
ENSAPLP00000025208	ENSAPLG00000027386	Anas_platyrhynchos_platyrhynchos
ENSPVIP00000009505	ENSPVIG00000007580	Pogona_vitticeps
ENSVVUP00000034357	ENSVVUG00000024830	Vulpes_vulpes
ENSMPUP00000015978	ENSMPUG00000016085	Mustela_putorius_furo
ENSPVAP00000014550	ENSPVAG00000015429	Pteropus_vampyrus
ENSPCAP00000013818	ENSPCAG00000014664	Procavia_capensis
ENSTSYP00000028714	ENSTSYG00000027436	Carlito_syrichta
ENSCCNP00000033246	ENSCCNG00000031477	Castor_canadensis
ENSMOCP00000021054	ENSMOCG00000018526	Microtus_ochrogaster
ENSDORP00000008269	ENSDORG00000008812	Dipodomys_ordii
ENSMMUP00000054544	ENSMMUG00000044533	Macaca_mulatta
ENSOANP00000030401	ENSOANG00000029241	Ornithorhynchus_anatinus
ENSPPRP00000025332	ENSPPRG00000015603	Panthera_pardus
ENSNLEP00000039667	ENSNLEG00000031822	Nomascus_leucogenys
ENSACAP00000001659	ENSACAG00000001695	Anolis_carolinensis
ENSPMJP00000025788	ENSPMJG00000018863	Parus_major	ENSPMJT00000033251
ENSZALP00000003387	ENSZALG00000003404	Zonotrichia_albicollis
ENSFCAP00000052836	ENSFCAG00000044781	Felis_catus
ENSCATP00000014735	ENSCATG00000030972	Cercocebus_atys
ENSMUSP00000015138	ENSMUSG00000029675	Mus_musculus_strain_reference_(CL57BL6)
ENSSBOP00000036744	ENSSBOG00000034365	Saimiri_boliviensis_boliviensis
ENSRBIP00000037536	ENSRBIG00000041564	Rhinopithecus_bieti
ENSJJAP00000010128	ENSJJAG00000013776	Jaculus_jaculus
ENSCANP00000033074	ENSCANG00000039514	Colobus_angolensis_palliatus
ENSMLEP00000005593	ENSMLEG00000024470	Mandrillus_leucophaeus
ENSMSIP00000020609	ENSMSIG00000017355	Mus_spicilegus
ENSCAFP00000037359	ENSCAFG00000028947	Canis_lupus_familiaris
ENSSHAP00000001267	ENSSHAG00000001131	Sarcophilus_harrisii
ENSPPAP00000037905	ENSPPAG00000041530	Pan_paniscus
ENSMICP00000042510	ENSMICG00000045863	Microcebus_murinus
