ENSPMAP00000009848	ENSPMAG00000008944	Petromyzon_marinus	ENSPMAT00000009890
ENSEBUP00000021593	ENSEBUG00000013327	Eptatretus_burgeri	ENSEBUT00000022168
ENSPKIP00000021289	ENSPKIG00000005742	Paramormyrops_kingsleyae
ENSSFOP00015023984	ENSSFOG00015015403	Scleropages_formosus
ENSMALP00000009129	ENSMALG00000006488	Monopterus_albus
ENSMAMP00000030182	ENSMAMG00000020353	Mastacembelus_armatus
ENSATEP00000030300	ENSATEG00000020896	Anabas_testudineus
ENSATEP00000030239	ENSATEG00000020861	Anabas_testudineus
ENSBSLP00000024616	ENSBSLG00000011980	Betta_splendens
ENSSLDP00000031482	ENSSLDG00000024170	Seriola_lalandi_dorsalis
ENSSDUP00000001093	ENSSDUG00000000829	Seriola_dumerili
ENSSMAP00000008046	ENSSMAG00000004947	Scophthalmus_maximus
ENSLCAP00010056639	ENSLCAG00010026435	Lates_calcarifer
ENSCGOP00000043908	ENSCGOG00000019682	Cottoperca_gobio
ENSGACP00000021346	ENSGACG00000016176	Gasterosteus_aculeatus
ENSLCRP00005047185	ENSLCRG00005017892	Larimichthys_crocea
ENSTNIP00000020838	ENSTNIG00000017688	Tetraodon_nigroviridis
ENSTRUP00000053815	ENSTRUG00000008142	Takifugu_rubripes
ENSMMOP00000001588	ENSMMOG00000001325	Mola_mola
ENSLBEP00000004147	ENSLBEG00000003198	Labrus_bergylta
ENSAOCP00000015276	ENSAOCG00000020052	Amphiprion_ocellaris
ENSAPEP00000007376	ENSAPEG00000005290	Amphiprion_percula
ENSAPOP00000033021	ENSAPOG00000021330	Acanthochromis_polyacanthus
ENSSPAP00000018022	ENSSPAG00000013598	Stegastes_partitus
ENSPRNP00000047863	ENSPRNG00000022959	Parambassis_ranga
ENSXMAP00000015079	ENSXMAG00000015039	Xiphophorus_maculatus
ENSXCOP00000016101	ENSXCOG00000012168	Xiphophorus_couchianus
ENSGAFP00000008127	ENSGAFG00000005522	Gambusia_affinis
ENSPFOP00000014583	ENSPFOG00000014469	Poecilia_formosa
ENSPMEP00000010340	ENSPMEG00000012330	Poecilia_mexicana
ENSPLAP00000026651	ENSPLAG00000014644	Poecilia_latipinna
ENSPREP00000015167	ENSPREG00000010230	Poecilia_reticulata
ENSFHEP00000027112	ENSFHEG00000010434	Fundulus_heteroclitus
ENSCVAP00000009115	ENSCVAG00000011056	Cyprinodon_variegatus
ENSKMAP00000027202	ENSKMAG00000020156	Kryptolebias_marmoratus
ENSORLP00020002631	ENSORLG00020003416	Oryzias_latipes_ASM223471v1
ENSORLP00000045199	ENSORLG00000010893	Oryzias_latipes_ASM223467v1
ENSORLP00015000970	ENSORLG00015001564	Oryzias_latipes_ASM223469v1
ENSOMEP00000008790	ENSOMEG00000010041	Oryzias_melastigma
ENSACLP00000013471	ENSACLG00000009233	Astatotilapia_calliptera
ENSMZEP00005014671	ENSMZEG00005011043	Maylandia_zebra
ENSPNYP00000022276	ENSPNYG00000016807	Pundamilia_nyererei
ENSHBUP00000032244	ENSHBUG00000018447	Haplochromis_burtoni
ENSNBRP00000005032	ENSNBRG00000003917	Neolamprologus_brichardi
ENSONIP00000021530	ENSONIG00000017076	Oreochromis_niloticus
ENSACIP00000010293	ENSACIG00000008013	Amphilophus_citrinellus
ENSGWIP00000039012	ENSGWIG00000019510	Gouania_willdenowi
ENSCSEP00000000418	ENSCSEG00000000304	Cynoglossus_semilaevis
ENSPMGP00000002258	ENSPMGG00000002001	Periophthalmus_magnuspinnatus
ENSHCOP00000024344	ENSHCOG00000013634	Hippocampus_comes
ENSGMOP00000013337	ENSGMOG00000012455	Gadus_morhua
ENSCHAP00000050501	ENSCHAG00000023154	Clupea_harengus	ENSCHAT00000054544
ENSDCDP00000019585	ENSDCDG00000015327	Denticeps_clupeoides	ENSDCDT00000027212
ENSAMXP00000003582	ENSAMXG00000003488	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000003582
ENSAMXP00005039297	ENSAMXG00005018541	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000008076	ENSPNAG00000002919	Pygocentrus_nattereri
ENSEEEP00000034610	ENSEEEG00000016463	Electrophorus_electricus	ENSEEET00000035014
ENSEEEP00000006159	ENSEEEG00000003284	Electrophorus_electricus	ENSEEET00000006248
ENSEEEP00000006170	ENSEEEG00000003288	Electrophorus_electricus	ENSEEET00000006259
ENSIPUP00000030141	ENSIPUG00000020341	Ictalurus_punctatus	ENSIPUT00000031357
ENSDARP00000082438	ENSDARG00000061591	Danio_rerio
ENSHHUP00000068170	ENSHHUG00000040194	Hucho_hucho
ENSHHUP00000068179	ENSHHUG00000040197	Hucho_hucho
ENSHHUP00000091276	ENSHHUG00000052673	Hucho_hucho
ENSELUP00000014655	ENSELUG00000014700	Esox_lucius
ENSLOCP00000019032	ENSLOCG00000015465	Lepisosteus_oculatus
ENSECRP00000025477	ENSECRG00000017214	Erpetoichthys_calabaricus
ENSMGAP00000012668	ENSMGAG00000012066	Meleagris_gallopavo
ENSGALP00000018057	ENSGALG00000011096	Gallus_gallus
ENSCJPP00005003739	ENSCJPG00005003845	Coturnix_japonica
ENSMGAP00000017435	ENSMGAG00000016503	Meleagris_gallopavo
ENSNMEP00000020557	ENSNMEG00000017636	Numida_meleagris
ENSABRP00000021148	ENSABRG00000017955	Anser_brachyrhynchus
ENSTGUP00000010327	ENSTGUG00000010005	Taeniopygia_guttata
ENSLSDP00000023287	ENSLSDG00000016367	Lonchura_striata_domestica
ENSSCAP00000004357	ENSSCAG00000003526	Serinus_canaria
ENSPMJP00000003347	ENSPMJG00000002935	Parus_major
ENSCCEP00000023096	ENSCCEG00000020756	Cyanistes_caeruleus
ENSZALP00000002552	ENSZALG00000002692	Zonotrichia_albicollis
ENSJHYP00000009537	ENSJHYG00000007528	Junco_hyemalis
ENSFALP00000003511	ENSFALG00000003373	Ficedula_albicollis
ENSMVIP00005020804	ENSMVIG00005014645	Manacus_vitellinus
ENSLCOP00000009252	ENSLCOG00000006754	Lepidothrix_coronata
ENSMUNP00000001564	ENSMUNG00000001326	Melopsittacus_undulatus
ENSCPGP00000000901	ENSCPGG00000000711	Calidris_pygmaea
ENSCPUP00000017310	ENSCPUG00000011923	Calidris_pugnax
ENSAOWP00000026442	ENSAOWG00000017825	Apteryx_owenii
ENSARWP00000011047	ENSARWG00000007671	Apteryx_rowi
ENSAHAP00000008535	ENSAHAG00000006285	Apteryx_haastii
ENSNPEP00000014130	ENSNPEG00000010572	Nothoprocta_perdicaria
ENSDNVP00000020545	ENSDNVG00000014379	Dromaius_novaehollandiae
ENSCPRP00005024745	ENSCPRG00005017194	Crocodylus_porosus
ENSCABP00000017720	ENSCABG00000013176	Chelonoidis_abingdonii
ENSGAGP00000012667	ENSGAGG00000009600	Gopherus_agassizii
ENSCPBP00000007827	ENSCPBG00000006163	Chrysemys_picta_bellii
ENSPSIP00000002802	ENSPSIG00000002723	Pelodiscus_sinensis
ENSACAP00000001116	ENSACAG00000001130	Anolis_carolinensis
ENSPVIP00000024133	ENSPVIG00000018199	Pogona_vitticeps
ENSNSUP00000003415	ENSNSUG00000002768	Notechis_scutatus
ENSSMRP00000028655	ENSSMRG00000022027	Salvator_merianae
ENSSPUP00000000056	ENSSPUG00000000023	Sphenodon_punctatus
ENSPCIP00000041114	ENSPCIG00000030067	Phascolarctos_cinereus
ENSMEUP00000010628	ENSMEUG00000011651	Notamacropus_eugenii
ENSVURP00010000988	ENSVURG00010000808	Vombatus_ursinus
ENSVURP00010001344	ENSVURG00010001074	Vombatus_ursinus
ENSSHAP00000016885	ENSSHAG00000014361	Sarcophilus_harrisii
ENSMODP00000011310	ENSMODG00000009056	Monodelphis_domestica
ENSCHOP00000005897	ENSCHOG00000006660	Choloepus_hoffmanni
ENSDNOP00000029387	ENSDNOG00000046363	Dasypus_novemcinctus
ENSLAFP00000018464	ENSLAFG00000006318	Loxodonta_africana
ENSPCAP00000006433	ENSPCAG00000006861	Procavia_capensis
ENSETEP00000013742	ENSETEG00000016931	Echinops_telfairi
ENSSARP00000006271	ENSSARG00000006915	Sorex_araneus
ENSEEUP00000007204	ENSEEUG00000007890	Erinaceus_europaeus
ENSECAP00000015476	ENSECAG00000017883	Equus_caballus
ENSEASP00005017407	ENSEASG00005011975	Equus_asinus_asinus
ENSBIXP00000006236	ENSBIXG00000012354	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005042434	ENSBIXG00005025809	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000022677	ENSBTAG00000017053	Bos_taurus
ENSBMUP00000015785	ENSBMUG00000012009	Bos_mutus
ENSBBBP00000010480	ENSBBBG00000018600	Bison_bison_bison
ENSCHIP00000028751	ENSCHIG00000024145	Capra_hircus
ENSOARP00000003274	ENSOARG00000003073	Ovis_aries
ENSTTRP00000009191	ENSTTRG00000009696	Tursiops_truncatus
ENSSSCP00000010865	ENSSSCG00000010188	Sus_scrofa_strain_reference
ENSUAMP00000014577	ENSUAMG00000011697	Ursus_americanus
ENSUMAP00000005963	ENSUMAG00000004700	Ursus_maritimus
ENSAMEP00000009664	ENSAMEG00000009196	Ailuropoda_melanoleuca
ENSNVIP00000030465	ENSNVIG00000023471	Neovison_vison
ENSMPUP00000012308	ENSMPUG00000012402	Mustela_putorius_furo
ENSCAFP00020035148	ENSCAFG00020027226	Canis_lupus_dingo
ENSCAFP00000017880	ENSCAFG00000012137	Canis_lupus_familiaris
ENSVVUP00000009005	ENSVVUG00000006678	Vulpes_vulpes
ENSPPRP00000022129	ENSPPRG00000012739	Panthera_pardus
ENSPTIP00000011801	ENSPTIG00000012102	Panthera_tigris_altaica
ENSFCAP00000007094	ENSFCAG00000007660	Felis_catus
ENSMLUP00000005684	ENSMLUG00000006211	Myotis_lucifugus
ENSMLUP00000018703	ENSMLUG00000023458	Myotis_lucifugus
ENSOCUP00000006262	ENSOCUG00000007242	Oryctolagus_cuniculus
ENSOPRP00000004577	ENSOPRG00000004983	Ochotona_princeps
ENSCCNP00000032320	ENSCCNG00000030680	Castor_canadensis
ENSDORP00000000737	ENSDORG00000000788	Dipodomys_ordii
MGP_SPRETEiJ_P0090021	MGP_SPRETEiJ_G0032818	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000075011	ENSMUSG00000031974	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000010455	ENSMSIG00000009168	Mus_spicilegus
MGP_CAROLIEiJ_P0086494	MGP_CAROLIEiJ_G0031700	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054741	MGP_PahariEiJ_G0023298	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024232	ENSRNOG00000017993	Rattus_norvegicus
ENSMUGP00000000674	ENSMUGG00000000639	Meriones_unguiculatus
ENSCGRP00015012384	ENSCGRG00015009516	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016387	ENSCGRG00000011898	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001009637	ENSCGRG00001011714	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000024490	ENSMAUG00000021327	Mesocricetus_auratus
ENSPEMP00000022668	ENSPEMG00000019961	Peromyscus_maniculatus_bairdii
ENSMOCP00000015765	ENSMOCG00000014858	Microtus_ochrogaster
ENSNGAP00000004259	ENSNGAG00000005450	Nannospalax_galili
ENSJJAP00000012486	ENSJJAG00000015506	Jaculus_jaculus
ENSCLAP00000004377	ENSCLAG00000003110	Chinchilla_lanigera
ENSODEP00000006306	ENSODEG00000004723	Octodon_degus
ENSCPOP00000023305	ENSCPOG00000010398	Cavia_porcellus
ENSCAPP00000017687	ENSCAPG00000017286	Cavia_aperea
ENSHGLP00100000422	ENSHGLG00100000356	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023242	ENSHGLG00000016571	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022792	ENSFDAG00000021098	Fukomys_damarensis
ENSUPAP00010000184	ENSUPAG00010000194	Urocitellus_parryii
ENSSTOP00000017640	ENSSTOG00000019514	Ictidomys_tridecemlineatus
ENSSDAP00000012804	ENSSDAG00000011522	Spermophilus_dauricus
ENSMMMP00000012938	ENSMMMG00000011537	Marmota_marmota_marmota
ENSMICP00000006816	ENSMICG00000007486	Microcebus_murinus
ENSPSMP00000014584	ENSPSMG00000010439	Prolemur_simus
ENSOGAP00000016671	ENSOGAG00000024155	Otolemur_garnettii
ENSOGAP00000006040	ENSOGAG00000006746	Otolemur_garnettii
ENSCCAP00000021703	ENSCCAG00000028677	Cebus_capucinus_imitator
ENSSBOP00000022405	ENSSBOG00000027736	Saimiri_boliviensis_boliviensis
ENSCJAP00000046624	ENSCJAG00000011011	Callithrix_jacchus
ENSANAP00000021508	ENSANAG00000028541	Aotus_nancymaae
ENSPPAP00000002892	ENSPPAG00000012448	Pan_paniscus
