ENSJHYP00000003697	ENSJHYG00000003046	Junco_hyemalis
ENSLSDP00000000472	ENSLSDG00000000388	Lonchura_striata_domestica
ENSCJPP00005002159	ENSCJPG00005002313	Coturnix_japonica
ENSAOWP00000003718	ENSAOWG00000002627	Apteryx_owenii
ENSDNVP00000027447	ENSDNVG00000019060	Dromaius_novaehollandiae
ENSNSUP00000025017	ENSNSUG00000018041	Notechis_scutatus	ENSNSUT00000026584
ENSMODP00000050878	ENSMODG00000042417	Monodelphis_domestica
ENSPCIP00000026394	ENSPCIG00000019784	Phascolarctos_cinereus
ENSDNOP00000021539	ENSDNOG00000032409	Dasypus_novemcinctus
ENSSPAP00000003353	ENSSPAG00000002572	Stegastes_partitus
ENSAPOP00000019557	ENSAPOG00000023005	Acanthochromis_polyacanthus
ENSPREP00000008141	ENSPREG00000005563	Poecilia_reticulata
ENSACIP00000021300	ENSACIG00000016540	Amphilophus_citrinellus
ENSSMAP00000004819	ENSSMAG00000002976	Scophthalmus_maximus
ENSMAMP00000030152	ENSMAMG00000020334	Mastacembelus_armatus
ENSBSLP00000033264	ENSBSLG00000016197	Betta_splendens
ENSPMGP00000008144	ENSPMGG00000006739	Periophthalmus_magnuspinnatus
