ENSEEUP00000002518	ENSEEUG00000002750	Erinaceus_europaeus
ENSCGRP00000017925	ENSCGRG00000013034	Cricetulus_griseus_CriGri_1.0
ENSCPOP00000000899	ENSCPOG00000001000	Cavia_porcellus
ENSAPEP00000009275	ENSAPEG00000006637	Amphiprion_percula
ENSMUSP00000033070	ENSMUSG00000030801	Mus_musculus_strain_reference_(CL57BL6)
ENSDCDP00000037485	ENSDCDG00000024164	Denticeps_clupeoides
ENSMMUP00000073474	ENSMMUG00000002030	Macaca_mulatta
ENSBIXP00000001593	ENSBIXG00000008135	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSACAP00000006585	ENSACAG00000006708	Anolis_carolinensis
MGP_CAROLIEiJ_P0082569	MGP_CAROLIEiJ_G0030530	Mus_caroli_strain_CAROLI_EIJ
ENSMLEP00000007282	ENSMLEG00000027653	Mandrillus_leucophaeus
ENSECRP00000014616	ENSECRG00000009747	Erpetoichthys_calabaricus
ENSEEEP00000028665	ENSEEEG00000013771	Electrophorus_electricus
ENSVURP00010023006	ENSVURG00010017632	Vombatus_ursinus
FBpp0070794	FBgn0014340	Drosophila_melanogaster	FBtr0070829
ENSUPAP00010024782	ENSUPAG00010019632	Urocitellus_parryii
ENSPPYP00000008256	ENSPPYG00000007308	Pongo_abelii
ENSOGAP00000012952	ENSOGAG00000014452	Otolemur_garnettii
ENSTSYP00000018277	ENSTSYG00000035587	Carlito_syrichta
ENSELUP00000042072	ENSELUG00000023184	Esox_lucius
ENSLSDP00000003748	ENSLSDG00000002892	Lonchura_striata_domestica
ENSCLAP00000024701	ENSCLAG00000016958	Chinchilla_lanigera
ENSCJPP00005001968	ENSCJPG00005002073	Coturnix_japonica
ENSMFAP00000014560	ENSMFAG00000030391	Macaca_fascicularis
ENSXCOP00000018954	ENSXCOG00000014255	Xiphophorus_couchianus
ENSBBBP00000021984	ENSBBBG00000003445	Bison_bison_bison
ENSP00000406037	ENSG00000103510	Homo_sapiens
ENSSFOP00015010238	ENSSFOG00015006636	Scleropages_formosus
ENSCVAP00000028111	ENSCVAG00000014961	Cyprinodon_variegatus
ENSEASP00005016011	ENSEASG00005011119	Equus_asinus_asinus
ENSAMXP00005036288	ENSAMXG00005017343	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
