ENSXETP00000032950	ENSXETG00000016354	Xenopus_tropicalis	ENSXETT00000036076
ENSXETP00000010496	ENSXETG00000010736	Xenopus_tropicalis	ENSXETT00000022593
ENSAOWP00000000527	ENSAOWG00000000422	Apteryx_owenii
ENSAHAP00000018021	ENSAHAG00000012763	Apteryx_haastii
ENSARWP00000001126	ENSARWG00000000913	Apteryx_rowi
ENSDNVP00000005318	ENSDNVG00000003820	Dromaius_novaehollandiae
ENSNPEP00000005576	ENSNPEG00000004199	Nothoprocta_perdicaria
ENSZALP00000013182	ENSZALG00000010998	Zonotrichia_albicollis
ENSSCAP00000001211	ENSSCAG00000000984	Serinus_canaria
ENSLSDP00000024270	ENSLSDG00000017036	Lonchura_striata_domestica
ENSTGUP00000000815	ENSTGUG00000000793	Taeniopygia_guttata
ENSFALP00000013381	ENSFALG00000012793	Ficedula_albicollis
ENSCCEP00000009403	ENSCCEG00000009536	Cyanistes_caeruleus
ENSPMJP00000011654	ENSPMJG00000009006	Parus_major
ENSMVIP00005028124	ENSMVIG00005019579	Manacus_vitellinus
ENSLCOP00000006790	ENSLCOG00000005032	Lepidothrix_coronata
ENSMUNP00000017201	ENSMUNG00000013220	Melopsittacus_undulatus
ENSCPGP00000007986	ENSCPGG00000005695	Calidris_pygmaea
ENSCPUP00000008644	ENSCPUG00000006204	Calidris_pugnax
ENSAPLP00000029030	ENSAPLG00000007359	Anas_platyrhynchos_platyrhynchos
ENSABRP00000021947	ENSABRG00000018583	Anser_brachyrhynchus
ENSCJPP00005008809	ENSCJPG00005007826	Coturnix_japonica
ENSGALP00000032184	ENSGALG00000015148	Gallus_gallus
ENSMGAP00000005882	ENSMGAG00000005893	Meleagris_gallopavo
ENSNMEP00000018665	ENSNMEG00000016192	Numida_meleagris
ENSCPRP00005008834	ENSCPRG00005006317	Crocodylus_porosus
ENSACAP00000011838	ENSACAG00000011929	Anolis_carolinensis
ENSPVIP00000006565	ENSPVIG00000005311	Pogona_vitticeps
ENSNSUP00000024561	ENSNSUG00000017744	Notechis_scutatus
ENSSMRP00000024495	ENSSMRG00000018962	Salvator_merianae
ENSSMRP00000017412	ENSSMRG00000013563	Salvator_merianae
ENSSPUP00000018978	ENSSPUG00000014611	Sphenodon_punctatus
ENSCABP00000023819	ENSCABG00000017367	Chelonoidis_abingdonii
ENSGAGP00000003011	ENSGAGG00000002406	Gopherus_agassizii
ENSCPBP00000028443	ENSCPBG00000020089	Chrysemys_picta_bellii
ENSPSIP00000008251	ENSPSIG00000007481	Pelodiscus_sinensis
ENSPCAP00000011951	ENSPCAG00000012786	Procavia_capensis
ENSETEP00000003943	ENSETEG00000004826	Echinops_telfairi
ENSETEP00000014869	ENSETEG00000018299	Echinops_telfairi
ENSLAFP00000007681	ENSLAFG00000009163	Loxodonta_africana
ENSDORP00000011152	ENSDORG00000011861	Dipodomys_ordii
ENSCCNP00000031548	ENSCCNG00000030036	Castor_canadensis
MGP_SPRETEiJ_P0050358	MGP_SPRETEiJ_G0023728	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000025561	ENSMUSG00000024659	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000013179	ENSMSIG00000011423	Mus_spicilegus
MGP_CAROLIEiJ_P0048364	MGP_CAROLIEiJ_G0022809	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021339	MGP_PahariEiJ_G0014303	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000023664	ENSRNOG00000017469	Rattus_norvegicus
ENSMUGP00000027939	ENSMUGG00000023221	Meriones_unguiculatus
ENSCGRP00015005312	ENSCGRG00015004176	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001021229	ENSCGRG00001020144	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007912	ENSCGRG00000005770	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008505	ENSMAUG00000009898	Mesocricetus_auratus
ENSMOCP00000015300	ENSMOCG00000014540	Microtus_ochrogaster
ENSPEMP00000014780	ENSPEMG00000014478	Peromyscus_maniculatus_bairdii
ENSNGAP00000022861	ENSNGAG00000021595	Nannospalax_galili
ENSNGAP00000005102	ENSNGAG00000007103	Nannospalax_galili
ENSNGAP00000001157	ENSNGAG00000000860	Nannospalax_galili
ENSJJAP00000012767	ENSJJAG00000015687	Jaculus_jaculus
ENSCLAP00000002203	ENSCLAG00000001590	Chinchilla_lanigera
ENSCLAP00000014141	ENSCLAG00000009763	Chinchilla_lanigera
