FBpp0082540	FBgn0038319	Drosophila_melanogaster	FBtr0083084
B0205.11.1	WBGene00015025	Caenorhabditis_elegans_strain_N2	B0205.11.1
ENSACAP00000008748	ENSACAG00000008908	Anolis_carolinensis
ENSPVIP00000029176	ENSPVIG00000021538	Pogona_vitticeps
ENSNSUP00000021237	ENSNSUG00000015425	Notechis_scutatus
ENSSMRP00000027591	ENSSMRG00000021274	Salvator_merianae
ENSAOWP00000015714	ENSAOWG00000010691	Apteryx_owenii
ENSARWP00000006758	ENSARWG00000004753	Apteryx_rowi
ENSAHAP00000013164	ENSAHAG00000009473	Apteryx_haastii
ENSDNVP00000008420	ENSDNVG00000005985	Dromaius_novaehollandiae
ENSNPEP00000006699	ENSNPEG00000005050	Nothoprocta_perdicaria
ENSSCAP00000001130	ENSSCAG00000000950	Serinus_canaria
ENSLSDP00000011916	ENSLSDG00000008744	Lonchura_striata_domestica
ENSMVIP00005023207	ENSMVIG00005016281	Manacus_vitellinus
ENSMVIP00005002443	ENSMVIG00005001931	Manacus_vitellinus
ENSGALP00000055550	ENSGALG00000042941	Gallus_gallus
ENSMGAP00000002972	ENSMGAG00000003256	Meleagris_gallopavo
ENSCJPP00005000240	ENSCJPG00005000319	Coturnix_japonica
ENSNMEP00000007247	ENSNMEG00000007312	Numida_meleagris
ENSCPGP00000003283	ENSCPGG00000002395	Calidris_pygmaea
ENSCABP00000011882	ENSCABG00000008778	Chelonoidis_abingdonii
ENSGAGP00000027037	ENSGAGG00000019667	Gopherus_agassizii
ENSCPBP00000011623	ENSCPBG00000008844	Chrysemys_picta_bellii
ENSPSIP00000007908	ENSPSIG00000007207	Pelodiscus_sinensis
ENSSPUP00000003163	ENSSPUG00000002439	Sphenodon_punctatus
ENSPCIP00000028389	ENSPCIG00000021194	Phascolarctos_cinereus
ENSPCIP00000031725	ENSPCIG00000023550	Phascolarctos_cinereus
ENSVURP00010018481	ENSVURG00010014084	Vombatus_ursinus
ENSVURP00010022742	ENSVURG00010017427	Vombatus_ursinus
ENSMEUP00000005584	ENSMEUG00000006109	Notamacropus_eugenii
ENSMODP00000023583	ENSMODG00000046753	Monodelphis_domestica
ENSSHAP00000018624	ENSSHAG00000015810	Sarcophilus_harrisii
ENSOCUP00000001189	ENSOCUG00000001383	Oryctolagus_cuniculus
ENSOCUP00000049536	ENSOCUG00000026853	Oryctolagus_cuniculus
ENSOPRP00000014641	ENSOPRG00000016025	Ochotona_princeps
ENSPTRP00000002210	ENSPTRG00000001295	Pan_troglodytes
ENSPPAP00000003842	ENSPPAG00000016172	Pan_paniscus
ENSGGOP00000001870	ENSGGOG00000001902	Gorilla_gorilla
ENSP00000357823	ENSG00000143436	Homo_sapiens
ENSPPYP00000001001	ENSPPYG00000000857	Pongo_abelii
ENSNLEP00000012521	ENSNLEG00000010275	Nomascus_leucogenys
ENSRROP00000013787	ENSRROG00000031111	Rhinopithecus_roxellana
ENSRBIP00000026103	ENSRBIG00000036937	Rhinopithecus_bieti
ENSCANP00000027708	ENSCANG00000037263	Colobus_angolensis_palliatus
ENSCATP00000042623	ENSCATG00000043909	Cercocebus_atys
ENSPANP00000007885	ENSPANG00000008737	Papio_anubis
ENSMLEP00000038350	ENSMLEG00000043239	Mandrillus_leucophaeus
ENSMFAP00000009358	ENSMFAG00000000874	Macaca_fascicularis
ENSMMUP00000039039	ENSMMUG00000009094	Macaca_mulatta
ENSMNEP00000004420	ENSMNEG00000020504	Macaca_nemestrina
ENSTGEP00000021423	ENSTGEG00000017279	Theropithecus_gelada
ENSPTEP00000028459	ENSPTEG00000028108	Piliocolobus_tephrosceles
ENSCSAP00000016214	ENSCSAG00000001816	Chlorocebus_sabaeus
