ENSPPAP00000014493	ENSPPAG00000030412	Pan_paniscus	ENSPPAT00000037179
ENSPTRP00000019069	ENSPTRG00000011109	Pan_troglodytes	ENSPTRT00000020644
ENSP00000400878	ENSG00000263002	Homo_sapiens	ENST00000426739
ENSGGOP00000031900	ENSGGOG00000043986	Gorilla_gorilla
ENSPPYP00000024487	ENSPPYG00000029812	Pongo_abelii
ENSNLEP00000002281	ENSNLEG00000001910	Nomascus_leucogenys
ENSPANP00000023441	ENSPANG00000030897	Papio_anubis
ENSTGEP00000021396	ENSTGEG00000017258	Theropithecus_gelada
ENSMFAP00000008910	ENSMFAG00000001056	Macaca_fascicularis
ENSMNEP00000015120	ENSMNEG00000031698	Macaca_nemestrina
ENSMLEP00000032639	ENSMLEG00000040534	Mandrillus_leucophaeus
ENSCATP00000026474	ENSCATG00000036642	Cercocebus_atys
ENSCSAP00000014716	ENSCSAG00000003333	Chlorocebus_sabaeus
ENSRBIP00000006483	ENSRBIG00000026634	Rhinopithecus_bieti
ENSRROP00000031506	ENSRROG00000039450	Rhinopithecus_roxellana
ENSCANP00000019805	ENSCANG00000033344	Colobus_angolensis_palliatus
ENSPTEP00000033717	ENSPTEG00000032127	Piliocolobus_tephrosceles
ENSCCAP00000030515	ENSCCAG00000033303	Cebus_capucinus_imitator
ENSSBOP00000012318	ENSSBOG00000022973	Saimiri_boliviensis_boliviensis
ENSCJAP00000024452	ENSCJAG00000038929	Callithrix_jacchus
ENSANAP00000027438	ENSANAG00000031567	Aotus_nancymaae
ENSTSYP00000003562	ENSTSYG00000003915	Carlito_syrichta
ENSPSMP00000015794	ENSPSMG00000011237	Prolemur_simus
ENSPCOP00000022115	ENSPCOG00000023134	Propithecus_coquereli
ENSMICP00000050057	ENSMICG00000044820	Microcebus_murinus
ENSOPRP00000008759	ENSOPRG00000009576	Ochotona_princeps
ENSTBEP00000002059	ENSTBEG00000002398	Tupaia_belangeri
ENSNVIP00000032081	ENSNVIG00000024693	Neovison_vison
ENSMPUP00000006446	ENSMPUG00000006501	Mustela_putorius_furo
ENSUMAP00000031984	ENSUMAG00000023058	Ursus_maritimus
ENSCAFP00000039845	ENSCAFG00000030057	Canis_lupus_familiaris
ENSCAFP00020016320	ENSCAFG00020013089	Canis_lupus_dingo
ENSPTIP00000015904	ENSPTIG00000014852	Panthera_tigris_altaica
ENSPPRP00000024043	ENSPPRG00000014300	Panthera_pardus
ENSFCAP00000049062	ENSFCAG00000047182	Felis_catus
ENSUAMP00000017271	ENSUAMG00000013694	Ursus_americanus
ENSFCAP00000045984	ENSFCAG00000042152	Felis_catus
ENSEASP00005019786	ENSEASG00005013627	Equus_asinus_asinus
ENSOARP00000009659	ENSOARG00000008999	Ovis_aries
ENSCHIP00000032564	ENSCHIG00000026492	Capra_hircus
ENSBMUP00000024185	ENSBMUG00000018164	Bos_mutus
ENSBTAP00000052336	ENSBTAG00000049610	Bos_taurus
ENSBBBP00000008239	ENSBBBG00000016245	Bison_bison_bison
ENSTTRP00000003438	ENSTTRG00000003667	Tursiops_truncatus
ENSPVAP00000014686	ENSPVAG00000015576	Pteropus_vampyrus
ENSCCNP00000000257	ENSCCNG00000000316	Castor_canadensis
ENSDNOP00000018855	ENSDNOG00000034624	Dasypus_novemcinctus	ENSDNOT00000046979
ENSCHOP00000002963	ENSCHOG00000003349	Choloepus_hoffmanni	ENSCHOT00000003361
ENSPCAP00000011675	ENSPCAG00000012543	Procavia_capensis
