ENSCCEP00000013851	ENSCCEG00000013125	Cyanistes_caeruleus
ENSSCAP00000006560	ENSSCAG00000005125	Serinus_canaria
ENSAPLP00000031367	ENSAPLG00000027307	Anas_platyrhynchos_platyrhynchos
ENSNPEP00000013493	ENSNPEG00000010090	Nothoprocta_perdicaria
ENSBBBP00000025355	ENSBBBG00000020501	Bison_bison_bison
ENSCCNP00000024505	ENSCCNG00000023980	Castor_canadensis
ENSXETP00000023140	ENSXETG00000005306	Xenopus_tropicalis
ENSNSUP00000026256	ENSNSUG00000018863	Notechis_scutatus
ENSPVIP00000022237	ENSPVIG00000016811	Pogona_vitticeps
ENSSMRP00000007451	ENSSMRG00000005887	Salvator_merianae
ENSSPUP00000020083	ENSSPUG00000015431	Sphenodon_punctatus
ENSGAGP00000005852	ENSGAGG00000004761	Gopherus_agassizii
ENSCABP00000019693	ENSCABG00000014543	Chelonoidis_abingdonii
ENSCPBP00000014217	ENSCPBG00000010594	Chrysemys_picta_bellii
ENSPSIP00000014040	ENSPSIG00000012554	Pelodiscus_sinensis
ENSCPRP00005024853	ENSCPRG00005017231	Crocodylus_porosus
ENSPCIP00000047111	ENSPCIG00000035781	Phascolarctos_cinereus
ENSVURP00010017035	ENSVURG00010013032	Vombatus_ursinus
ENSMEUP00000005001	ENSMEUG00000005473	Notamacropus_eugenii
ENSSHAP00000011870	ENSSHAG00000010189	Sarcophilus_harrisii
ENSMODP00000003937	ENSMODG00000003233	Monodelphis_domestica
ENSBIXP00000023766	ENSBIXG00000005413	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005042034	ENSBIXG00005004300	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000011217	ENSBTAG00000008510	Bos_taurus
ENSBMUP00000005204	ENSBMUG00000004080	Bos_mutus
ENSOARP00000013021	ENSOARG00000012143	Ovis_aries
ENSCHIP00000016649	ENSCHIG00000016833	Capra_hircus
ENSEEUP00000011598	ENSEEUG00000012732	Erinaceus_europaeus
ENSSARP00000004555	ENSSARG00000005007	Sorex_araneus
ENSOCUP00000048132	ENSOCUG00000011408	Oryctolagus_cuniculus
ENSOPRP00000007842	ENSOPRG00000008578	Ochotona_princeps
ENSPPAP00000023530	ENSPPAG00000034938	Pan_paniscus
ENSPTRP00000000406	ENSPTRG00000000225	Pan_troglodytes
ENSP00000364742	ENSG00000037637	Homo_sapiens
ENSGGOP00000014233	ENSGGOG00000014592	Gorilla_gorilla
ENSPPYP00000002116	ENSPPYG00000001822	Pongo_abelii
ENSNLEP00000024452	ENSNLEG00000007825	Nomascus_leucogenys
ENSMLEP00000031312	ENSMLEG00000039851	Mandrillus_leucophaeus
ENSCATP00000010326	ENSCATG00000029422	Cercocebus_atys
ENSMFAP00000034506	ENSMFAG00000003747	Macaca_fascicularis
ENSMNEP00000007693	ENSMNEG00000028416	Macaca_nemestrina
ENSMMUP00000075707	ENSMMUG00000012733	Macaca_mulatta
ENSTGEP00000029457	ENSTGEG00000023694	Theropithecus_gelada
ENSPANP00000011709	ENSPANG00000011833	Papio_anubis
ENSCSAP00000017154	ENSCSAG00000000852	Chlorocebus_sabaeus
ENSPTEP00000036649	ENSPTEG00000034400	Piliocolobus_tephrosceles
ENSCANP00000010112	ENSCANG00000028470	Colobus_angolensis_palliatus
ENSRROP00000008092	ENSRROG00000028431	Rhinopithecus_roxellana
ENSRBIP00000019431	ENSRBIG00000033707	Rhinopithecus_bieti
ENSCCAP00000008216	ENSCCAG00000021847	Cebus_capucinus_imitator
ENSSBOP00000013834	ENSSBOG00000023683	Saimiri_boliviensis_boliviensis
ENSCJAP00000015320	ENSCJAG00000008276	Callithrix_jacchus
ENSANAP00000008556	ENSANAG00000022274	Aotus_nancymaae
ENSTSYP00000013111	ENSTSYG00000014273	Carlito_syrichta
ENSPCOP00000025744	ENSPCOG00000025130	Propithecus_coquereli
ENSMICP00000040788	ENSMICG00000042418	Microcebus_murinus
ENSPSMP00000009256	ENSPSMG00000006783	Prolemur_simus
ENSOGAP00000004556	ENSOGAG00000005095	Otolemur_garnettii
ENSTBEP00000012031	ENSTBEG00000013878	Tupaia_belangeri
ENSUPAP00010022623	ENSUPAG00010017950	Urocitellus_parryii
ENSMMMP00000024421	ENSMMMG00000021370	Marmota_marmota_marmota
ENSSDAP00000016402	ENSSDAG00000014825	Spermophilus_dauricus
ENSSTOP00000023027	ENSSTOG00000019820	Ictidomys_tridecemlineatus
ENSHGLP00100021570	ENSHGLG00100015876	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000015009	ENSHGLG00000010747	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000013957	ENSFDAG00000000930	Fukomys_damarensis
ENSODEP00000018855	ENSODEG00000013901	Octodon_degus
ENSODEP00000021439	ENSODEG00000015779	Octodon_degus
ENSCLAP00000003070	ENSCLAG00000002198	Chinchilla_lanigera
ENSCPOP00000021533	ENSCPOG00000004481	Cavia_porcellus
ENSCAPP00000003779	ENSCAPG00000006460	Cavia_aperea
ENSMSIP00000016182	ENSMSIG00000013920	Mus_spicilegus
ENSMUSP00000030757	ENSMUSG00000028920	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0068118	MGP_SPRETEiJ_G0027715	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0065563	MGP_CAROLIEiJ_G0026735	Mus_caroli_strain_CAROLI_EIJ
