ENSCGOP00000020205	ENSCGOG00000009756	Cottoperca_gobio
ENSPPRP00000025851	ENSPPRG00000016238	Panthera_pardus
ENSCAFP00000030487	ENSCAFG00000013643	Canis_lupus_familiaris
ENSCAPP00000009567	ENSCAPG00000011010	Cavia_aperea
ENSMFAP00000005247	ENSMFAG00000002295	Macaca_fascicularis
ENSDNOP00000001384	ENSDNOG00000001790	Dasypus_novemcinctus
ENSMALP00000019847	ENSMALG00000013851	Monopterus_albus
ENSOARP00000021140	ENSOARG00000019683	Ovis_aries
ENSHCOP00000005820	ENSHCOG00000007521	Hippocampus_comes
ENSPMJP00000023864	ENSPMJG00000017581	Parus_major
ENSMLEP00000017083	ENSMLEG00000032741	Mandrillus_leucophaeus
ENSCPRP00005022675	ENSCPRG00005015805	Crocodylus_porosus
ENSMMMP00000013589	ENSMMMG00000012112	Marmota_marmota_marmota
ENSSPAP00000024277	ENSSPAG00000018309	Stegastes_partitus
ENSAMEP00000003805	ENSAMEG00000003598	Ailuropoda_melanoleuca
ENSEASP00005007479	ENSEASG00005005467	Equus_asinus_asinus
ENSTGEP00000004785	ENSTGEG00000003999	Theropithecus_gelada
ENSZALP00000019082	ENSZALG00000015199	Zonotrichia_albicollis
ENSCAFP00020010464	ENSCAFG00020008500	Canis_lupus_dingo
ENSCPOP00000000171	ENSCPOG00000000194	Cavia_porcellus
ENSATEP00000033410	ENSATEG00000023028	Anabas_testudineus
ENSPANP00000007180	ENSPANG00000023529	Papio_anubis
ENSMNEP00000027665	ENSMNEG00000037237	Macaca_nemestrina
ENSSPAP00000006913	ENSSPAG00000005315	Stegastes_partitus
ENSCGRP00000007862	ENSCGRG00000005734	Cricetulus_griseus_CriGri_1.0
ENSPTRP00000054092	ENSPTRG00000001108	Pan_troglodytes
ENSPNYP00000022231	ENSPNYG00000016787	Pundamilia_nyererei
ENSCHIP00000004954	ENSCHIG00000009091	Capra_hircus
ENSACIP00000003018	ENSACIG00000002416	Amphilophus_citrinellus
ENSFALP00000000697	ENSFALG00000000672	Ficedula_albicollis
ENSXMAP00000008141	ENSXMAG00000008113	Xiphophorus_maculatus
ENSCANP00000033680	ENSCANG00000040502	Colobus_angolensis_palliatus
ENSACAP00000017652	ENSACAG00000017925	Anolis_carolinensis
ENSNPEP00000010510	ENSNPEG00000007895	Nothoprocta_perdicaria
ENSGGOP00000003551	ENSGGOG00000003613	Gorilla_gorilla
ENSBTAP00000018985	ENSBTAG00000014291	Bos_taurus
ENSLCRP00005013184	ENSLCRG00005005735	Larimichthys_crocea
ENSNVIP00000001871	ENSNVIG00000001502	Neovison_vison
ENSCMIP00000031705	ENSCMIG00000013583	Callorhinchus_milii
ENSOGAP00000012597	ENSOGAG00000014065	Otolemur_garnettii
ENSLAFP00000016267	ENSLAFG00000022115	Loxodonta_africana
ENSEEEP00000003913	ENSEEEG00000002086	Electrophorus_electricus
ENSPTIP00000023468	ENSPTIG00000019917	Panthera_tigris_altaica
ENSAPOP00000001706	ENSAPOG00000003045	Acanthochromis_polyacanthus
ENSIPUP00000006906	ENSIPUG00000004785	Ictalurus_punctatus
ENSCSAP00000016438	ENSCSAG00000001587	Chlorocebus_sabaeus
ENSDARP00000046003	ENSDARG00000032234	Danio_rerio
MGP_PahariEiJ_P0070683	MGP_PahariEiJ_G0026915	Mus_pahari_strain_PAHARI_EIJ
ENSANAP00000029710	ENSANAG00000032630	Aotus_nancymaae
ENSAOWP00000013515	ENSAOWG00000009234	Apteryx_owenii
ENSMODP00000001433	ENSMODG00000001196	Monodelphis_domestica
ENSODEP00000011835	ENSODEG00000008783	Octodon_degus
MGP_SPRETEiJ_P0062111	MGP_SPRETEiJ_G0026419	Mus_spretus_strain_SPRET/EiJ
ENSGMOP00000007206	ENSGMOG00000006778	Gadus_morhua
ENSCGRP00001010598	ENSCGRG00001012445	Cricetulus_griseus_CHOK1GS_HDv1
ENSAMXP00005037771	ENSAMXG00005017939	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLCOP00000010804	ENSLCOG00000007854	Lepidothrix_coronata
ENSJHYP00000022514	ENSJHYG00000016982	Junco_hyemalis
ENSAMXP00000032808	ENSAMXG00000038011	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000049642
ENSSPUP00000017194	ENSSPUG00000013308	Sphenodon_punctatus
ENSNSUP00000019016	ENSNSUG00000013874	Notechis_scutatus
ENSNGAP00000015037	ENSNGAG00000016171	Nannospalax_galili
ENSOCUP00000016397	ENSOCUG00000000266	Oryctolagus_cuniculus
ENSABRP00000009536	ENSABRG00000008544	Anser_brachyrhynchus
ENSPRNP00000037763	ENSPRNG00000018785	Parambassis_ranga
MGP_CAROLIEiJ_P0059727	MGP_CAROLIEiJ_G0025470	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000019349	ENSRNOG00000014385	Rattus_norvegicus
ENSPEMP00000035011	ENSPEMG00000026096	Peromyscus_maniculatus_bairdii
ENSPSIP00000003858	ENSPSIG00000003656	Pelodiscus_sinensis
ENSCCAP00000025707	ENSCCAG00000030621	Cebus_capucinus_imitator
ENSBMUP00000002746	ENSBMUG00000002152	Bos_mutus
ENSNMEP00000014052	ENSNMEG00000012667	Numida_meleagris
ENSRBIP00000006973	ENSRBIG00000027268	Rhinopithecus_bieti
ENSBIXP00005035484	ENSBIXG00005016642	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSDCDP00000043153	ENSDCDG00000027631	Denticeps_clupeoides
ENSSMAP00000008140	ENSSMAG00000005032	Scophthalmus_maximus
ENSEEUP00000012913	ENSEEUG00000014174	Erinaceus_europaeus
