ENSCCNP00000028109	ENSCCNG00000027115	Castor_canadensis	ENSCCNT00000035529
ENSDORP00000000873	ENSDORG00000000932	Dipodomys_ordii	ENSDORT00000000932
ENSMSIP00000036571	ENSMSIG00000030452	Mus_spicilegus
ENSMUSP00000061834	ENSMUSG00000044551	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000058240
MGP_SPRETEiJ_P0039006	MGP_SPRETEiJ_G0020367	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0037272	MGP_CAROLIEiJ_G0019475	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085368	MGP_PahariEiJ_G0030492	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011277	ENSRNOG00000008351	Rattus_norvegicus
ENSMUGP00000012109	ENSMUGG00000010574	Meriones_unguiculatus
ENSCGRP00015009373	ENSCGRG00015007188	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000005315	ENSCGRG00000003887	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001024185	ENSCGRG00001022180	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000025426	ENSMAUG00000021973	Mesocricetus_auratus
ENSPEMP00000018023	ENSPEMG00000016741	Peromyscus_maniculatus_bairdii
ENSMOCP00000022567	ENSMOCG00000019565	Microtus_ochrogaster
ENSNGAP00000007044	ENSNGAG00000010379	Nannospalax_galili
ENSJJAP00000001821	ENSJJAG00000002660	Jaculus_jaculus
ENSCPOP00000026383	ENSCPOG00000039428	Cavia_porcellus
ENSCAPP00000017162	ENSCAPG00000016889	Cavia_aperea
ENSCLAP00000020707	ENSCLAG00000014186	Chinchilla_lanigera
ENSODEP00000008877	ENSODEG00000006637	Octodon_degus
ENSHGLP00000014313	ENSHGLG00000010238	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024654	ENSHGLG00100018106	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019648	ENSFDAG00000009031	Fukomys_damarensis
ENSUPAP00010022155	ENSUPAG00010017613	Urocitellus_parryii
ENSMMMP00000015894	ENSMMMG00000014146	Marmota_marmota_marmota
ENSSTOP00000020546	ENSSTOG00000021866	Ictidomys_tridecemlineatus
ENSSDAP00000006275	ENSSDAG00000005804	Spermophilus_dauricus
ENSOCUP00000011377	ENSOCUG00000013217	Oryctolagus_cuniculus
ENSOPRP00000012091	ENSOPRG00000013255	Ochotona_princeps
ENSPTRP00000066016	ENSPTRG00000048957	Pan_troglodytes
ENSPPAP00000021625	ENSPPAG00000034019	Pan_paniscus
ENSP00000289989	ENSG00000241852	Homo_sapiens
ENSP00000399696	ENSG00000248235	Homo_sapiens
ENSGGOP00000002384	ENSGGOG00000002421	Gorilla_gorilla
ENSRROP00000022307	ENSRROG00000035024	Rhinopithecus_roxellana
ENSRBIP00000008646	ENSRBIG00000028204	Rhinopithecus_bieti
ENSPTEP00000027008	ENSPTEG00000026946	Piliocolobus_tephrosceles
ENSPANP00000003026	ENSPANG00000026225	Papio_anubis
ENSTGEP00000000547	ENSTGEG00000000545	Theropithecus_gelada
ENSMFAP00000022332	ENSMFAG00000040671	Macaca_fascicularis
ENSMNEP00000027381	ENSMNEG00000037089	Macaca_nemestrina
ENSCATP00000035647	ENSCATG00000040676	Cercocebus_atys
ENSCSAP00000012422	ENSCSAG00000016376	Chlorocebus_sabaeus
ENSCANP00000009793	ENSCANG00000028297	Colobus_angolensis_palliatus
ENSMLEP00000028079	ENSMLEG00000038249	Mandrillus_leucophaeus
ENSSBOP00000002643	ENSSBOG00000013565	Saimiri_boliviensis_boliviensis
ENSCJAP00000037591	ENSCJAG00000020218	Callithrix_jacchus
ENSCCAP00000037828	ENSCCAG00000036764	Cebus_capucinus_imitator
ENSANAP00000017915	ENSANAG00000026815	Aotus_nancymaae
ENSTSYP00000031779	ENSTSYG00000034032	Carlito_syrichta
ENSPSMP00000008880	ENSPSMG00000006508	Prolemur_simus
ENSPCOP00000015671	ENSPCOG00000019584	Propithecus_coquereli
ENSMICP00000049866	ENSMICG00000017355	Microcebus_murinus
ENSOGAP00000020096	ENSOGAG00000032875	Otolemur_garnettii
ENSBIXP00000041024	ENSBIXG00000025194	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005023752	ENSBIXG00005026447	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000054421	ENSBTAG00000005466	Bos_taurus
ENSBMUP00000018444	ENSBMUG00000013958	Bos_mutus
ENSBBBP00000020557	ENSBBBG00000009114	Bison_bison_bison
ENSOARP00000010991	ENSOARG00000010250	Ovis_aries
ENSTTRP00000012098	ENSTTRG00000012751	Tursiops_truncatus
ENSSSCP00000010277	ENSSSCG00000009627	Sus_scrofa_strain_reference
ENSUAMP00000032654	ENSUAMG00000024918	Ursus_americanus
ENSUMAP00000006055	ENSUMAG00000004784	Ursus_maritimus
ENSAMEP00000003236	ENSAMEG00000003077	Ailuropoda_melanoleuca
ENSMPUP00000003486	ENSMPUG00000003516	Mustela_putorius_furo
ENSNVIP00000030502	ENSNVIG00000023502	Neovison_vison
ENSCAFP00020016108	ENSCAFG00020012932	Canis_lupus_dingo
ENSCAFP00000013695	ENSCAFG00000009307	Canis_lupus_familiaris
ENSVVUP00000006657	ENSVVUG00000005160	Vulpes_vulpes
ENSPTIP00000017511	ENSPTIG00000015907	Panthera_tigris_altaica
ENSPPRP00000021203	ENSPPRG00000012102	Panthera_pardus
ENSFCAP00000023696	ENSFCAG00000024843	Felis_catus
ENSPVAP00000005850	ENSPVAG00000006186	Pteropus_vampyrus
ENSMLUP00000017091	ENSMLUG00000026541	Myotis_lucifugus
ENSEASP00005027618	ENSEASG00005018796	Equus_asinus_asinus
ENSECAP00000018056	ENSECAG00000020618	Equus_caballus
ENSEEUP00000005146	ENSEEUG00000005634	Erinaceus_europaeus
ENSDNOP00000015168	ENSDNOG00000019559	Dasypus_novemcinctus
ENSLAFP00000015470	ENSLAFG00000018457	Loxodonta_africana
ENSPCAP00000006845	ENSPCAG00000007324	Procavia_capensis
ENSETEP00000010914	ENSETEG00000013461	Echinops_telfairi
ENSVURP00010019526	ENSVURG00010014889	Vombatus_ursinus
ENSSHAP00000021973	ENSSHAG00000018598	Sarcophilus_harrisii
ENSMODP00000011672	ENSMODG00000009341	Monodelphis_domestica
