ENSMVIP00005018493	ENSMVIG00005013143	Manacus_vitellinus
ENSLCOP00000001307	ENSLCOG00000001086	Lepidothrix_coronata
ENSCCEP00000017441	ENSCCEG00000016149	Cyanistes_caeruleus
ENSPMJP00000026698	ENSPMJG00000019483	Parus_major
ENSFALP00000014744	ENSFALG00000014128	Ficedula_albicollis
ENSSCAP00000020228	ENSSCAG00000014575	Serinus_canaria
ENSZALP00000008711	ENSZALG00000007561	Zonotrichia_albicollis
ENSTGUP00000007299	ENSTGUG00000007098	Taeniopygia_guttata
ENSLSDP00000016574	ENSLSDG00000011927	Lonchura_striata_domestica
ENSJHYP00000005357	ENSJHYG00000004377	Junco_hyemalis
ENSCPUP00000004180	ENSCPUG00000003122	Calidris_pugnax
ENSCPGP00000015754	ENSCPGG00000011090	Calidris_pygmaea
ENSMUNP00000011510	ENSMUNG00000009061	Melopsittacus_undulatus
ENSCJPP00005010380	ENSCJPG00005009048	Coturnix_japonica
ENSGALP00000067773	ENSGALG00000053697	Gallus_gallus
ENSNMEP00000025066	ENSNMEG00000021263	Numida_meleagris
ENSABRP00000021343	ENSABRG00000018150	Anser_brachyrhynchus
ENSAOWP00000015006	ENSAOWG00000010231	Apteryx_owenii	ENSAOWT00000017025
ENSAHAP00000018512	ENSAHAG00000013125	Apteryx_haastii	ENSAHAT00000020459
ENSARWP00000001706	ENSARWG00000001356	Apteryx_rowi	ENSARWT00000002022
ENSDNVP00000002536	ENSDNVG00000001824	Dromaius_novaehollandiae	ENSDNVT00000003046
ENSNPEP00000018332	ENSNPEG00000013657	Nothoprocta_perdicaria
ENSCPRP00005024910	ENSCPRG00005017283	Crocodylus_porosus
ENSCABP00000016904	ENSCABG00000012546	Chelonoidis_abingdonii
ENSGAGP00000026895	ENSGAGG00000019585	Gopherus_agassizii
ENSCPBP00000003250	ENSCPBG00000002635	Chrysemys_picta_bellii
ENSPSIP00000008980	ENSPSIG00000008194	Pelodiscus_sinensis
ENSPVIP00000030440	ENSPVIG00000022405	Pogona_vitticeps
ENSACAP00000012996	ENSACAG00000013249	Anolis_carolinensis
ENSNSUP00000020858	ENSNSUG00000015168	Notechis_scutatus
ENSNSUP00000021135	ENSNSUG00000015351	Notechis_scutatus
ENSSMRP00000023744	ENSSMRG00000018425	Salvator_merianae
ENSAMEP00000019873	ENSAMEG00000018822	Ailuropoda_melanoleuca
ENSUAMP00000001361	ENSUAMG00000001299	Ursus_americanus
ENSNVIP00000021567	ENSNVIG00000016869	Neovison_vison
ENSMPUP00000018464	ENSMPUG00000018582	Mustela_putorius_furo
ENSCAFP00000007927	ENSCAFG00000005314	Canis_lupus_familiaris
ENSCAFP00020022345	ENSCAFG00020017652	Canis_lupus_dingo
ENSVVUP00000011772	ENSVVUG00000008670	Vulpes_vulpes
ENSPPRP00000027054	ENSPPRG00000018226	Panthera_pardus
ENSSSCP00000057336	ENSSSCG00000024697	Sus_scrofa_strain_reference
ENSTTRP00000007647	ENSTTRG00000008090	Tursiops_truncatus
ENSBIXP00005028609	ENSBIXG00005000152	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000022902	ENSBIXG00000002104	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000028077	ENSBTAG00000021082	Bos_taurus
ENSBMUP00000022948	ENSBMUG00000017240	Bos_mutus
ENSBBBP00000000469	ENSBBBG00000007963	Bison_bison_bison
ENSCHIP00000006639	ENSCHIG00000010430	Capra_hircus
ENSEEUP00000004453	ENSEEUG00000004915	Erinaceus_europaeus
ENSMLUP00000019929	ENSMLUG00000012571	Myotis_lucifugus
ENSOCUP00000004435	ENSOCUG00000005122	Oryctolagus_cuniculus
ENSOPRP00000014690	ENSOPRG00000016089	Ochotona_princeps
ENSCLAP00000004569	ENSCLAG00000003252	Chinchilla_lanigera
ENSODEP00000025547	ENSODEG00000018817	Octodon_degus
ENSCPOP00000031784	ENSCPOG00000039580	Cavia_porcellus
