ENSPSIP00000009262	ENSPSIG00000008265	Pelodiscus_sinensis
ENSTGUP00000008163	ENSTGUG00000007913	Taeniopygia_guttata
ENSPMJP00000000982	ENSPMJG00000000804	Parus_major
ENSCCNP00000014434	ENSCCNG00000014906	Castor_canadensis
ENSPVIP00000033444	ENSPVIG00000024436	Pogona_vitticeps
ENSTGUP00000008169	ENSTGUG00000007932	Taeniopygia_guttata
ENSKMAP00000027999	ENSKMAG00000020749	Kryptolebias_marmoratus
ENSCSEP00000003128	ENSCSEG00000002053	Cynoglossus_semilaevis
ENSEBUP00000000268	ENSEBUG00000000481	Eptatretus_burgeri
ENSMALP00000023250	ENSMALG00000016216	Monopterus_albus
ENSHHUP00000004303	ENSHHUG00000002657	Hucho_hucho
ENSSPUP00000016568	ENSSPUG00000012800	Sphenodon_punctatus
ENSHBUP00000004163	ENSHBUG00000005450	Haplochromis_burtoni
ENSLSDP00000024564	ENSLSDG00000017228	Lonchura_striata_domestica
ENSLCOP00000021303	ENSLCOG00000015059	Lepidothrix_coronata
ENSCPBP00000010075	ENSCPBG00000007752	Chrysemys_picta_bellii
ENSNBRP00000016178	ENSNBRG00000012490	Neolamprologus_brichardi
ENSACIP00000004188	ENSACIG00000003308	Amphilophus_citrinellus
ENSACLP00000027219	ENSACLG00000018509	Astatotilapia_calliptera
ENSANAP00000004152	ENSANAG00000020038	Aotus_nancymaae
ENSGMOP00000000530	ENSGMOG00000000502	Gadus_morhua
ENSCGRP00000007607	ENSCGRG00000005538	Cricetulus_griseus_CriGri_1.0
ENSLCOP00000021302	ENSLCOG00000015058	Lepidothrix_coronata
ENSPCIP00000011360	ENSPCIG00000009125	Phascolarctos_cinereus
ENSPNAP00000026890	ENSPNAG00000006641	Pygocentrus_nattereri
ENSELUP00000010807	ENSELUG00000011261	Esox_lucius
ENSCPGP00000000764	ENSCPGG00000000608	Calidris_pygmaea
ENSGWIP00000028309	ENSGWIG00000014777	Gouania_willdenowi
ENSPRNP00000017750	ENSPRNG00000009393	Parambassis_ranga
ENSNVIP00000015346	ENSNVIG00000011991	Neovison_vison
ENSOMEP00000007578	ENSOMEG00000008755	Oryzias_melastigma
ENSMICP00000004515	ENSMICG00000004948	Microcebus_murinus
ENSHGLP00000012485	ENSHGLG00000008920	Heterocephalus_glaber_HetGla_female_1.0
ENSBIXP00005010049	ENSBIXG00005005585	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSDORP00000020178	ENSDORG00000026491	Dipodomys_ordii
ENSCABP00000004703	ENSCABG00000003546	Chelonoidis_abingdonii
ENSNMEP00000027504	ENSNMEG00000023020	Numida_meleagris
ENSORLP00020009446	ENSORLG00020010340	Oryzias_latipes_ASM223471v1
ENSVVUP00000006286	ENSVVUG00000004892	Vulpes_vulpes	ENSVVUT00000008398
ENSGWIP00000033151	ENSGWIG00000017036	Gouania_willdenowi
ENSSTOP00000017317	ENSSTOG00000020125	Ictidomys_tridecemlineatus
ENSAOCP00000031886	ENSAOCG00000023835	Amphiprion_ocellaris
ENSPKIP00000008173	ENSPKIG00000023783	Paramormyrops_kingsleyae
ENSCPUP00000027436	ENSCPUG00000018471	Calidris_pugnax
ENSSDUP00000017111	ENSSDUG00000012459	Seriola_dumerili
ENSPTEP00000019224	ENSPTEG00000020571	Piliocolobus_tephrosceles
ENSJJAP00000025105	ENSJJAG00000024384	Jaculus_jaculus
ENSONIP00000018938	ENSONIG00000015044	Oreochromis_niloticus
MGP_CAROLIEiJ_P0080535	MGP_CAROLIEiJ_G0029941	Mus_caroli_strain_CAROLI_EIJ
ENSPPRP00000000848	ENSPPRG00000024555	Panthera_pardus
ENSMUNP00000003584	ENSMUNG00000003049	Melopsittacus_undulatus
ENSRNOP00000016289	ENSRNOG00000011680	Rattus_norvegicus
ENSTNIP00000003009	ENSTNIG00000001192	Tetraodon_nigroviridis
ENSORLP00000026134	ENSORLG00000027199	Oryzias_latipes_ASM223467v1
ENSTSYP00000018982	ENSTSYG00000030559	Carlito_syrichta
ENSPPAP00000027529	ENSPPAG00000036833	Pan_paniscus
ENSPREP00000025011	ENSPREG00000016882	Poecilia_reticulata
ENSMEUP00000007177	ENSMEUG00000007845	Notamacropus_eugenii
MGP_SPRETEiJ_P0083889	MGP_SPRETEiJ_G0031044	Mus_spretus_strain_SPRET/EiJ
ENSDNOP00000024560	ENSDNOG00000034180	Dasypus_novemcinctus
ENSLOCP00000015799	ENSLOCG00000012837	Lepisosteus_oculatus
ENSPLAP00000022232	ENSPLAG00000006591	Poecilia_latipinna
ENSMVIP00005020289	ENSMVIG00005014346	Manacus_vitellinus
ENSODEP00000022596	ENSODEG00000016584	Octodon_degus
ENSXCOP00000012318	ENSXCOG00000009312	Xiphophorus_couchianus
ENSHHUP00000034999	ENSHHUG00000022046	Hucho_hucho
ENSHHUP00000045326	ENSHHUG00000027675	Hucho_hucho
ENSCANP00000005520	ENSCANG00000018531	Colobus_angolensis_palliatus
ENSCGRP00001022195	ENSCGRG00001020797	Cricetulus_griseus_CHOK1GS_HDv1
ENSUAMP00000033378	ENSUAMG00000025444	Ursus_americanus
ENSBSLP00000026947	ENSBSLG00000013538	Betta_splendens
ENSTSYP00000010538	ENSTSYG00000011483	Carlito_syrichta
ENSPTIP00000003011	ENSPTIG00000005873	Panthera_tigris_altaica
ENSAPOP00000001948	ENSAPOG00000003323	Acanthochromis_polyacanthus
ENSSPAP00000003626	ENSSPAG00000002816	Stegastes_partitus
ENSPPYP00000007627	ENSPPYG00000006720	Pongo_abelii
ENSIPUP00000034719	ENSIPUG00000023329	Ictalurus_punctatus
ENSMFAP00000017873	ENSMFAG00000032017	Macaca_fascicularis
ENSAMXP00000020444	ENSAMXG00000019844	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBIXP00000007678	ENSBIXG00000013619	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000067095	ENSBTAG00000049620	Bos_taurus
ENSSHAP00000004445	ENSSHAG00000003910	Sarcophilus_harrisii
ENSNPEP00000003414	ENSNPEG00000002586	Nothoprocta_perdicaria
ENSAPEP00000000366	ENSAPEG00000000267	Amphiprion_percula
ENSPTRP00000012595	ENSPTRG00000007369	Pan_troglodytes
ENSPVIP00000033445	ENSPVIG00000024437	Pogona_vitticeps
ENSPNAP00000018084	ENSPNAG00000006048	Pygocentrus_nattereri
ENSGAFP00000022183	ENSGAFG00000014978	Gambusia_affinis
ENSAOCP00000022974	ENSAOCG00000008751	Amphiprion_ocellaris
ENSSBOP00000023741	ENSSBOG00000028334	Saimiri_boliviensis_boliviensis
ENSPCIP00000002068	ENSPCIG00000001651	Phascolarctos_cinereus
ENSPNYP00000003696	ENSPNYG00000002876	Pundamilia_nyererei
ENSFHEP00000018538	ENSFHEG00000020395	Fundulus_heteroclitus
ENSNBRP00000006928	ENSNBRG00000005422	Neolamprologus_brichardi
ENSSARP00000005496	ENSSARG00000006024	Sorex_araneus
ENSLCRP00005024926	ENSLCRG00005009989	Larimichthys_crocea
ENSPRNP00000017747	ENSPRNG00000009390	Parambassis_ranga
ENSBBBP00000002179	ENSBBBG00000011313	Bison_bison_bison
ENSSDAP00000005512	ENSSDAG00000005159	Spermophilus_dauricus
ENSFDAP00000018622	ENSFDAG00000009685	Fukomys_damarensis
ENSUAMP00000033376	ENSUAMG00000025441	Ursus_americanus
ENSTBEP00000007302	ENSTBEG00000008414	Tupaia_belangeri
ENSPKIP00000003672	ENSPKIG00000021077	Paramormyrops_kingsleyae
ENSPTIP00000003154	ENSPTIG00000005995	Panthera_tigris_altaica
ENSMMOP00000020246	ENSMMOG00000015386	Mola_mola
ENSBSLP00000035191	ENSBSLG00000017211	Betta_splendens
ENSFHEP00000015922	ENSFHEG00000017570	Fundulus_heteroclitus
ENSHHUP00000046353	ENSHHUG00000028224	Hucho_hucho
ENSCPOP00000013968	ENSCPOG00000015489	Cavia_porcellus
ENSOGAP00000006305	ENSOGAG00000007041	Otolemur_garnettii
ENSCAFP00020019928	ENSCAFG00020015824	Canis_lupus_dingo
ENSCHAP00000037325	ENSCHAG00000017581	Clupea_harengus
ENSSLDP00000014090	ENSSLDG00000011191	Seriola_lalandi_dorsalis
ENSCAPP00000018288	ENSCAPG00000017733	Cavia_aperea
ENSMSIP00000020186	ENSMSIG00000017106	Mus_spicilegus
ENSAOWP00000005314	ENSAOWG00000003646	Apteryx_owenii
ENSBTAP00000068681	ENSBTAG00000010963	Bos_taurus
ENSGAFP00000006570	ENSGAFG00000004475	Gambusia_affinis
ENSHHUP00000032186	ENSHHUG00000020427	Hucho_hucho
ENSCMIP00000007323	ENSCMIG00000004034	Callorhinchus_milii
ENSPLAP00000000622	ENSPLAG00000001480	Poecilia_latipinna
ENSGAGP00000017040	ENSGAGG00000012725	Gopherus_agassizii
ENSRROP00000030980	ENSRROG00000039200	Rhinopithecus_roxellana
ENSCATP00000014572	ENSCATG00000031308	Cercocebus_atys
ENSECRP00000003403	ENSECRG00000002332	Erpetoichthys_calabaricus
ENSPSMP00000003792	ENSPSMG00000003051	Prolemur_simus
ENSSPAP00000027518	ENSSPAG00000020725	Stegastes_partitus
ENSOANP00000031780	ENSOANG00000031237	Ornithorhynchus_anatinus
ENSSFOP00015025756	ENSSFOG00015016522	Scleropages_formosus
ENSDARP00000122362	ENSDARG00000078387	Danio_rerio
ENSUPAP00010017487	ENSUPAG00010013919	Urocitellus_parryii
ENSLCRP00005050406	ENSLCRG00005018995	Larimichthys_crocea
ENSMALP00000004754	ENSMALG00000003442	Monopterus_albus
ENSORLP00015015486	ENSORLG00015016391	Oryzias_latipes_ASM223469v1
ENSPMEP00000009783	ENSPMEG00000011657	Poecilia_mexicana
ENSTNIP00000003866	ENSTNIG00000006698	Tetraodon_nigroviridis
ENSVVUP00000006303	ENSVVUG00000004898	Vulpes_vulpes
ENSGWIP00000038034	ENSGWIG00000019493	Gouania_willdenowi
ENSCAFP00000020395	ENSCAFG00000013833	Canis_lupus_familiaris
ENSNLEP00000025509	ENSNLEG00000001263	Nomascus_leucogenys
ENSPPRP00000026997	ENSPPRG00000018133	Panthera_pardus
ENSGAFP00000006581	ENSGAFG00000004487	Gambusia_affinis
ENSEEEP00000029229	ENSEEEG00000014008	Electrophorus_electricus
ENSACLP00000001429	ENSACLG00000001020	Astatotilapia_calliptera
ENSDNVP00000006726	ENSDNVG00000004823	Dromaius_novaehollandiae
ENSDCDP00000059669	ENSDCDG00000034419	Denticeps_clupeoides
ENSMMMP00000021051	ENSMMMG00000018569	Marmota_marmota_marmota
ENSGACP00000016467	ENSGACG00000012452	Gasterosteus_aculeatus
ENSMMOP00000004544	ENSMMOG00000003621	Mola_mola
ENSABRP00000000283	ENSABRG00000000330	Anser_brachyrhynchus
ENSSMAP00000025545	ENSSMAG00000015612	Scophthalmus_maximus
