ENSORLP00000035772	ENSORLG00000028110	Oryzias_latipes_ASM223467v1	ENSORLT00000037532
ENSORLP00015032225	ENSORLG00015016929	Oryzias_latipes_ASM223469v1
ENSOMEP00000018373	ENSOMEG00000020082	Oryzias_melastigma
ENSLACP00000004097	ENSLACG00000003640	Latimeria_chalumnae
ENSLACP00000007304	ENSLACG00000006477	Latimeria_chalumnae
ENSLACP00000015333	ENSLACG00000013498	Latimeria_chalumnae
ENSLACP00000005837	ENSLACG00000005185	Latimeria_chalumnae
ENSLACP00000005050	ENSLACG00000004491	Latimeria_chalumnae
ENSLACP00000000975	ENSLACG00000000872	Latimeria_chalumnae
ENSLACP00000007265	ENSLACG00000006444	Latimeria_chalumnae
ENSLACP00000005216	ENSLACG00000004634	Latimeria_chalumnae
ENSLACP00000004565	ENSLACG00000004063	Latimeria_chalumnae
ENSLACP00000005601	ENSLACG00000004980	Latimeria_chalumnae
ENSLACP00000013699	ENSLACG00000012056	Latimeria_chalumnae
ENSLACP00000016786	ENSLACG00000014784	Latimeria_chalumnae
ENSLOCP00000013004	ENSLOCG00000010619	Lepisosteus_oculatus
ENSCSAVP00000012098	ENSCSAVG00000007113	Ciona_savignyi
