ENSEASP00005021675	ENSEASG00005014817	Equus_asinus_asinus
ENSECAP00000023985	ENSECAG00000037191	Equus_caballus
ENSCAFP00000057232	ENSCAFG00000043285	Canis_lupus_familiaris
ENSVVUP00000006715	ENSVVUG00000005194	Vulpes_vulpes
ENSUMAP00000022271	ENSUMAG00000016301	Ursus_maritimus
ENSOARP00000022601	ENSOARG00000021030	Ovis_aries
ENSCHIP00000008105	ENSCHIG00000011394	Capra_hircus
ENSBIXP00005031833	ENSBIXG00005012273	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000032670	ENSBIXG00000015321	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000072592	ENSBTAG00000054870	Bos_taurus
ENSBMUP00000018373	ENSBMUG00000013906	Bos_mutus
ENSSSCP00000071686	ENSSSCG00000039880	Sus_scrofa_strain_reference
