MGP_SPRETEiJ_P0077886	MGP_SPRETEiJ_G0029639	Mus_spretus_strain_SPRET/EiJ
ENSCSAP00000018333	ENSCSAG00000018813	Chlorocebus_sabaeus
ENSGAGP00000004217	ENSGAGG00000003499	Gopherus_agassizii
ENSCJPP00005017047	ENSCJPG00005013954	Coturnix_japonica
ENSMOCP00000009375	ENSMOCG00000009527	Microtus_ochrogaster
ENSSTOP00000019288	ENSSTOG00000026698	Ictidomys_tridecemlineatus
ENSJHYP00000001103	ENSJHYG00000000971	Junco_hyemalis
ENSCAFP00020005918	ENSCAFG00020004815	Canis_lupus_dingo
ENSECAP00000027628	ENSECAG00000033935	Equus_caballus
ENSSDAP00000005218	ENSSDAG00000004879	Spermophilus_dauricus
ENSPCIP00000000191	ENSPCIG00000000133	Phascolarctos_cinereus	ENSPCIT00000000266
ENSTGEP00000013695	ENSTGEG00000011114	Theropithecus_gelada
ENSNGAP00000007337	ENSNGAG00000010629	Nannospalax_galili
MGP_PahariEiJ_P0051037	MGP_PahariEiJ_G0022365	Mus_pahari_strain_PAHARI_EIJ
ENSOPRP00000012120	ENSOPRG00000013297	Ochotona_princeps
ENSABRP00000010617	ENSABRG00000009559	Anser_brachyrhynchus
ENSPSMP00000001789	ENSPSMG00000001350	Prolemur_simus
ENSZALP00000021525	ENSZALG00000016851	Zonotrichia_albicollis
ENSUMAP00000020356	ENSUMAG00000014901	Ursus_maritimus
ENSNVIP00000023442	ENSNVIG00000018251	Neovison_vison
ENSCCEP00000024758	ENSCCEG00000021968	Cyanistes_caeruleus
ENSNPEP00000007729	ENSNPEG00000005793	Nothoprocta_perdicaria
ENSOGAP00000012619	ENSOGAG00000014090	Otolemur_garnettii
ENSCJAP00000055419	ENSCJAG00000046212	Callithrix_jacchus
ENSVURP00010021621	ENSVURG00010016573	Vombatus_ursinus	ENSVURT00010024620
ENSFCAP00000001611	ENSFCAG00000001739	Felis_catus
ENSSMRP00000000208	ENSSMRG00000000213	Salvator_merianae
ENSCCNP00000030686	ENSCCNG00000029335	Castor_canadensis
ENSLSDP00000013690	ENSLSDG00000009924	Lonchura_striata_domestica
ENSPPRP00000019737	ENSPPRG00000011004	Panthera_pardus
ENSBIXP00005004680	ENSBIXG00005010579	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSODEP00000025616	ENSODEG00000018895	Octodon_degus
ENSPPYP00000015027	ENSPPYG00000013435	Pongo_abelii
ENSEASP00005009521	ENSEASG00005006791	Equus_asinus_asinus
ENSCPGP00000008668	ENSCPGG00000006152	Calidris_pygmaea
ENSP00000417418	ENSG00000179407	Homo_sapiens
ENSSHAP00000018810	ENSSHAG00000015964	Sarcophilus_harrisii	ENSSHAT00000018965
ENSBIXP00000002525	ENSBIXG00000008992	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSAMEP00000019995	ENSAMEG00000018919	Ailuropoda_melanoleuca
ENSAOWP00000022429	ENSAOWG00000015147	Apteryx_owenii
ENSPTIP00000007681	ENSPTIG00000009261	Panthera_tigris_altaica
ENSPSIP00000000350	ENSPSIG00000000348	Pelodiscus_sinensis
ENSSSCP00000072947	ENSSSCG00000047127	Sus_scrofa_strain_reference
ENSSCAP00000005914	ENSSCAG00000004665	Serinus_canaria
ENSPPAP00000001665	ENSPPAG00000007556	Pan_paniscus
ENSEEUP00000005235	ENSEEUG00000005779	Erinaceus_europaeus
ENSPVIP00000025436	ENSPVIG00000019045	Pogona_vitticeps
ENSAHAP00000008227	ENSAHAG00000006103	Apteryx_haastii
ENSMNEP00000002549	ENSMNEG00000011913	Macaca_nemestrina
ENSNLEP00000023137	ENSNLEG00000019296	Nomascus_leucogenys
ENSRBIP00000001115	ENSRBIG00000005878	Rhinopithecus_bieti
ENSGGOP00000035601	ENSGGOG00000038485	Gorilla_gorilla
MGP_CAROLIEiJ_P0074898	MGP_CAROLIEiJ_G0028626	Mus_caroli_strain_CAROLI_EIJ
ENSMLUP00000001656	ENSMLUG00000001820	Myotis_lucifugus
ENSACAP00000005667	ENSACAG00000005807	Anolis_carolinensis
ENSBTAP00000008122	ENSBTAG00000006179	Bos_taurus
ENSSMRP00000000196	ENSSMRG00000000203	Salvator_merianae
ENSMICP00000004791	ENSMICG00000005257	Microcebus_murinus
ENSFDAP00000007191	ENSFDAG00000015762	Fukomys_damarensis
ENSRNOP00000049331	ENSRNOG00000034088	Rattus_norvegicus
ENSCLAP00000009678	ENSCLAG00000006709	Chinchilla_lanigera
ENSCPBP00000019946	ENSCPBG00000014352	Chrysemys_picta_bellii
ENSUAMP00000021961	ENSUAMG00000017285	Ursus_americanus
ENSMFAP00000014314	ENSMFAG00000030291	Macaca_fascicularis
ENSCPOP00000022496	ENSCPOG00000030959	Cavia_porcellus
ENSVVUP00000025049	ENSVVUG00000018364	Vulpes_vulpes
ENSRROP00000002217	ENSRROG00000009062	Rhinopithecus_roxellana
ENSFALP00000015266	ENSFALG00000014651	Ficedula_albicollis
ENSMAUP00000008220	ENSMAUG00000009689	Mesocricetus_auratus
ENSJJAP00000011238	ENSJJAG00000014628	Jaculus_jaculus
ENSNMEP00000022126	ENSNMEG00000018933	Numida_meleagris
ENSMUGP00000010029	ENSMUGG00000008895	Meriones_unguiculatus
ENSOANP00000010706	ENSOANG00000006706	Ornithorhynchus_anatinus
ENSMPUP00000017229	ENSMPUG00000017339	Mustela_putorius_furo
ENSMMMP00000024548	ENSMMMG00000021483	Marmota_marmota_marmota
ENSOARP00000019898	ENSOARG00000018535	Ovis_aries
ENSCPUP00000025081	ENSCPUG00000016974	Calidris_pugnax
ENSBMUP00000034512	ENSBMUG00000025686	Bos_mutus
ENSPTEP00000007869	ENSPTEG00000008946	Piliocolobus_tephrosceles
ENSUPAP00010006027	ENSUPAG00010004873	Urocitellus_parryii
ENSMLEP00000003375	ENSMLEG00000014589	Mandrillus_leucophaeus
ENSCAPP00000004191	ENSCAPG00000006780	Cavia_aperea
ENSMUSP00000056592	ENSMUSG00000048206	Mus_musculus_strain_reference_(CL57BL6)
ENSCGRP00001013648	ENSCGRG00001014725	Cricetulus_griseus_CHOK1GS_HDv1
ENSTBEP00000006234	ENSTBEG00000007238	Tupaia_belangeri
ENSPTRP00000051083	ENSPTRG00000030133	Pan_troglodytes
ENSDNOP00000025456	ENSDNOG00000041626	Dasypus_novemcinctus
ENSDNVP00000004511	ENSDNVG00000003197	Dromaius_novaehollandiae
ENSCGRP00015013271	ENSCGRG00015010179	Cricetulus_griseus_CriGri-PICR
ENSDORP00000023401	ENSDORG00000024345	Dipodomys_ordii
ENSOCUP00000038602	ENSOCUG00000026352	Oryctolagus_cuniculus
ENSCANP00000002080	ENSCANG00000007668	Colobus_angolensis_palliatus
ENSARWP00000012250	ENSARWG00000008474	Apteryx_rowi
ENSARWP00000012251	ENSARWG00000008476	Apteryx_rowi
ENSPANP00000008982	ENSPANG00000001041	Papio_anubis
ENSMSIP00000015737	ENSMSIG00000013500	Mus_spicilegus
ENSCGRP00000026295	ENSCGRG00000019353	Cricetulus_griseus_CriGri_1.0
ENSPCAP00000006623	ENSPCAG00000007127	Procavia_capensis
ENSPEMP00000007553	ENSPEMG00000009473	Peromyscus_maniculatus_bairdii
ENSCATP00000000119	ENSCATG00000000460	Cercocebus_atys
ENSMUNP00000009461	ENSMUNG00000007466	Melopsittacus_undulatus
ENSCHIP00000019851	ENSCHIG00000018722	Capra_hircus
ENSCABP00000006791	ENSCABG00000005141	Chelonoidis_abingdonii
