ENSLBEP00000009954	ENSLBEG00000007713	Labrus_bergylta
ENSNVIP00000001919	ENSNVIG00000001558	Neovison_vison
ENSARWP00000008705	ENSARWG00000006099	Apteryx_rowi
ENSPKIP00000018593	ENSPKIG00000004114	Paramormyrops_kingsleyae
MGP_SPRETEiJ_P0023713	MGP_SPRETEiJ_G0016019	Mus_spretus_strain_SPRET/EiJ
ENSORLP00015034764	ENSORLG00015020879	Oryzias_latipes_ASM223469v1
ENSDORP00000006822	ENSDORG00000007277	Dipodomys_ordii
ENSCJAP00000077480	ENSCJAG00000053376	Callithrix_jacchus
ENSDNVP00000026113	ENSDNVG00000018162	Dromaius_novaehollandiae
ENSSMAP00000010378	ENSSMAG00000006386	Scophthalmus_maximus
ENSNMEP00000026167	ENSNMEG00000022090	Numida_meleagris
ENSBMUP00000012744	ENSBMUG00000009728	Bos_mutus
ENSMMUP00000020135	ENSMMUG00000015355	Macaca_mulatta
ENSKMAP00000028554	ENSKMAG00000021174	Kryptolebias_marmoratus
ENSGWIP00000050026	ENSGWIG00000024363	Gouania_willdenowi
ENSMVIP00005025461	ENSMVIG00005017796	Manacus_vitellinus	ENSMVIT00005028636
ENSMMOP00000010027	ENSMMOG00000007749	Mola_mola
ENSECRP00000003612	ENSECRG00000002476	Erpetoichthys_calabaricus
ENSSPAP00000030401	ENSSPAG00000022827	Stegastes_partitus
ENSMEUP00000000457	ENSMEUG00000000496	Notamacropus_eugenii
ENSBIXP00000032882	ENSBIXG00000006709	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPFOP00000030468	ENSPFOG00000018537	Poecilia_formosa
ENSECAP00000017651	ENSECAG00000020203	Equus_caballus
ENSCANP00000008934	ENSCANG00000027867	Colobus_angolensis_palliatus
ENSRBIP00000030193	ENSRBIG00000038972	Rhinopithecus_bieti
ENSSMAP00000014647	ENSSMAG00000008937	Scophthalmus_maximus
ENSHGLP00100026414	ENSHGLG00100019366	Heterocephalus_glaber_HetGla_1.0
ENSATEP00000035456	ENSATEG00000024363	Anabas_testudineus
ENSPMGP00000026583	ENSPMGG00000021433	Periophthalmus_magnuspinnatus
ENSDARP00000058577	ENSDARG00000070081	Danio_rerio
ENSACAP00000022122	ENSACAG00000028428	Anolis_carolinensis	ENSACAT00000029539
ENSGMOP00000007791	ENSGMOG00000007254	Gadus_morhua
ENSACLP00000029012	ENSACLG00000019603	Astatotilapia_calliptera
ENSSDAP00000026691	ENSSDAG00000024219	Spermophilus_dauricus
ENSHHUP00000074838	ENSHHUG00000043868	Hucho_hucho
ENSGMOP00000019222	ENSGMOG00000017883	Gadus_morhua
ENSIPUP00000025954	ENSIPUG00000017585	Ictalurus_punctatus
ENSMLUP00000003791	ENSMLUG00000004163	Myotis_lucifugus
ENSTGUP00000012128	ENSTGUG00000011771	Taeniopygia_guttata
ENSCPRP00005007156	ENSCPRG00005005075	Crocodylus_porosus
ENSAPLP00000001075	ENSAPLG00000001466	Anas_platyrhynchos_platyrhynchos
ENSMMMP00000018856	ENSMMMG00000016695	Marmota_marmota_marmota
ENSGAFP00000008091	ENSGAFG00000005504	Gambusia_affinis
ENSCGRP00015013906	ENSCGRG00015010665	Cricetulus_griseus_CriGri-PICR
ENSCPGP00000017345	ENSCPGG00000012176	Calidris_pygmaea
ENSMZEP00005007399	ENSMZEG00005005669	Maylandia_zebra
ENSSDUP00000017110	ENSSDUG00000012488	Seriola_dumerili
ENSCGRP00000023860	ENSCGRG00000017286	Cricetulus_griseus_CriGri_1.0
ENSJJAP00000008460	ENSJJAG00000012622	Jaculus_jaculus
ENSABRP00000009184	ENSABRG00000008218	Anser_brachyrhynchus
ENSLCAP00010036933	ENSLCAG00010017293	Lates_calcarifer
ENSONIP00000009097	ENSONIG00000007215	Oreochromis_niloticus
ENSSPAP00000028891	ENSSPAG00000021718	Stegastes_partitus
ENSTTRP00000003573	ENSTTRG00000003796	Tursiops_truncatus
ENSKMAP00000024635	ENSKMAG00000018257	Kryptolebias_marmoratus
ENSCHIP00000011558	ENSCHIG00000013682	Capra_hircus
ENSGGOP00000020630	ENSGGOG00000026099	Gorilla_gorilla
ENSAOWP00000003829	ENSAOWG00000002698	Apteryx_owenii
ENSORLP00020019015	ENSORLG00020020050	Oryzias_latipes_ASM223471v1
MGP_PahariEiJ_P0056639	MGP_PahariEiJ_G0023832	Mus_pahari_strain_PAHARI_EIJ
ENSVVUP00000001049	ENSVVUG00000000909	Vulpes_vulpes
ENSPREP00000019049	ENSPREG00000012892	Poecilia_reticulata
ENSMGAP00000014005	ENSMGAG00000013258	Meleagris_gallopavo
ENSAOCP00000023814	ENSAOCG00000000635	Amphiprion_ocellaris
ENSSFOP00015007738	ENSSFOG00015005075	Scleropages_formosus
ENSPPAP00000002205	ENSPPAG00000009846	Pan_paniscus
ENSFALP00000012007	ENSFALG00000011505	Ficedula_albicollis
ENSPMGP00000012715	ENSPMGG00000010455	Periophthalmus_magnuspinnatus
ENSPMEP00000032484	ENSPMEG00000020396	Poecilia_mexicana
ENSBBBP00000001484	ENSBBBG00000010583	Bison_bison_bison
ENSMALP00000031196	ENSMALG00000021541	Monopterus_albus
ENSAOCP00000029685	ENSAOCG00000020155	Amphiprion_ocellaris
ENSGAGP00000018030	ENSGAGG00000013368	Gopherus_agassizii
ENSPLAP00000028479	ENSPLAG00000017901	Poecilia_latipinna
ENSUPAP00010025657	ENSUPAG00010020279	Urocitellus_parryii
ENSCMIP00000026523	ENSCMIG00000011618	Callorhinchus_milii
ENSCCEP00000016037	ENSCCEG00000015077	Cyanistes_caeruleus	ENSCCET00000024858
ENSETEP00000004965	ENSETEG00000006117	Echinops_telfairi
ENSZALP00000020532	ENSZALG00000016134	Zonotrichia_albicollis
ENSPSIP00000012260	ENSPSIG00000011064	Pelodiscus_sinensis
ENSAMXP00005027536	ENSAMXG00005013810	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPMEP00000010538	ENSPMEG00000012505	Poecilia_mexicana
ENSGAFP00000000198	ENSGAFG00000000145	Gambusia_affinis
ENSMLEP00000030428	ENSMLEG00000039411	Mandrillus_leucophaeus
ENSEEEP00000052514	ENSEEEG00000024597	Electrophorus_electricus
ENSMAMP00000035830	ENSMAMG00000024065	Mastacembelus_armatus
ENSPVAP00000002748	ENSPVAG00000002913	Pteropus_vampyrus
ENSAPOP00000026745	ENSAPOG00000010844	Acanthochromis_polyacanthus
ENSGALP00000048902	ENSGALG00000042607	Gallus_gallus
ENSCHOP00000004084	ENSCHOG00000004624	Choloepus_hoffmanni
ENSCPBP00000026085	ENSCPBG00000018515	Chrysemys_picta_bellii
ENSCAFP00020027975	ENSCAFG00020021945	Canis_lupus_dingo
ENSAPOP00000002241	ENSAPOG00000003664	Acanthochromis_polyacanthus
ENSTNIP00000013869	ENSTNIG00000010939	Tetraodon_nigroviridis
ENSPMEP00000016451	ENSPMEG00000019126	Poecilia_mexicana
ENSPCOP00000012603	ENSPCOG00000017894	Propithecus_coquereli
ENSSARP00000002083	ENSSARG00000002315	Sorex_araneus
ENSPTRP00000031716	ENSPTRG00000018578	Pan_troglodytes
ENSOPRP00000007229	ENSOPRG00000007901	Ochotona_princeps
ENSCVAP00000017640	ENSCVAG00000020749	Cyprinodon_variegatus
ENSPLAP00000005312	ENSPLAG00000007191	Poecilia_latipinna
ENSFDAP00000010904	ENSFDAG00000018540	Fukomys_damarensis
ENSCAFP00000001500	ENSCAFG00000001067	Canis_lupus_familiaris
ENSXMAP00000035503	ENSXMAG00000021354	Xiphophorus_maculatus
ENSBSLP00000051980	ENSBSLG00000024607	Betta_splendens
ENSFCAP00000008488	ENSFCAG00000009155	Felis_catus
ENSBTAP00000010680	ENSBTAG00000008121	Bos_taurus
ENSCSEP00000014149	ENSCSEG00000009102	Cynoglossus_semilaevis
ENSPCAP00000007444	ENSPCAG00000007972	Procavia_capensis
ENSOMEP00000017120	ENSOMEG00000018816	Oryzias_melastigma
ENSATEP00000003715	ENSATEG00000002580	Anabas_testudineus
ENSCPOP00000031654	ENSCPOG00000036879	Cavia_porcellus
ENSHHUP00000065122	ENSHHUG00000038460	Hucho_hucho
ENSMMOP00000020027	ENSMMOG00000015213	Mola_mola
ENSBIXP00005007138	ENSBIXG00005000344	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTRUP00000009202	ENSTRUG00000003904	Takifugu_rubripes
ENSAMXP00000031363	ENSAMXG00000031703	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSOARP00000008291	ENSOARG00000007731	Ovis_aries
ENSCSEP00000030393	ENSCSEG00000019462	Cynoglossus_semilaevis
ENSNSUP00000005814	ENSNSUG00000004686	Notechis_scutatus	ENSNSUT00000006262
ENSMAMP00000022426	ENSMAMG00000015083	Mastacembelus_armatus
