ENSLSDP00000016665	ENSLSDG00000011996	Lonchura_striata_domestica
ENSTGUP00000005020	ENSTGUG00000004851	Taeniopygia_guttata
ENSSCAP00000008529	ENSSCAG00000006357	Serinus_canaria
ENSCCEP00000004961	ENSCCEG00000005449	Cyanistes_caeruleus
ENSPMJP00000025967	ENSPMJG00000018992	Parus_major
ENSFALP00000010138	ENSFALG00000009721	Ficedula_albicollis
ENSZALP00000011520	ENSZALG00000009715	Zonotrichia_albicollis
ENSJHYP00000011940	ENSJHYG00000009318	Junco_hyemalis
ENSMVIP00005014458	ENSMVIG00005010453	Manacus_vitellinus
ENSLCOP00000008727	ENSLCOG00000006369	Lepidothrix_coronata
ENSCPGP00000001451	ENSCPGG00000001127	Calidris_pygmaea
ENSCPUP00000006437	ENSCPUG00000004691	Calidris_pugnax
ENSMUNP00000000239	ENSMUNG00000000220	Melopsittacus_undulatus
ENSABRP00000004051	ENSABRG00000002564	Anser_brachyrhynchus
ENSAPLP00000007372	ENSAPLG00000007713	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005011540	ENSCJPG00005009918	Coturnix_japonica
ENSMGAP00000003978	ENSMGAG00000004173	Meleagris_gallopavo
ENSGALP00000003417	ENSGALG00000002186	Gallus_gallus
ENSNMEP00000017808	ENSNMEG00000015095	Numida_meleagris
ENSAHAP00000009634	ENSAHAG00000006915	Apteryx_haastii
ENSAOWP00000006373	ENSAOWG00000004384	Apteryx_owenii
ENSARWP00000007301	ENSARWG00000005119	Apteryx_rowi
ENSDNVP00000010726	ENSDNVG00000007585	Dromaius_novaehollandiae
ENSNPEP00000015119	ENSNPEG00000011280	Nothoprocta_perdicaria
ENSCPRP00005007768	ENSCPRG00005005522	Crocodylus_porosus
ENSPVIP00000013335	ENSPVIG00000010337	Pogona_vitticeps
ENSNSUP00000012442	ENSNSUG00000009326	Notechis_scutatus
ENSSMRP00000004566	ENSSMRG00000003760	Salvator_merianae
ENSACAP00000017165	ENSACAG00000017437	Anolis_carolinensis
ENSSPUP00000007594	ENSSPUG00000005839	Sphenodon_punctatus
ENSGAGP00000004337	ENSGAGG00000003602	Gopherus_agassizii
ENSCABP00000003171	ENSCABG00000002434	Chelonoidis_abingdonii
ENSCPBP00000040547	ENSCPBG00000027851	Chrysemys_picta_bellii
ENSPSIP00000015409	ENSPSIG00000013775	Pelodiscus_sinensis
ENSOCUP00000015976	ENSOCUG00000026443	Oryctolagus_cuniculus
ENSOPRP00000010801	ENSOPRG00000011826	Ochotona_princeps
ENSTBEP00000009591	ENSTBEG00000011069	Tupaia_belangeri
ENSCPOP00000011807	ENSCPOG00000013117	Cavia_porcellus
ENSCAPP00000011543	ENSCAPG00000012556	Cavia_aperea
ENSCLAP00000019285	ENSCLAG00000013212	Chinchilla_lanigera
ENSODEP00000018523	ENSODEG00000013654	Octodon_degus
ENSHGLP00100018180	ENSHGLG00100013397	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000002823	ENSHGLG00000002117	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000067	ENSFDAG00000010431	Fukomys_damarensis
ENSUPAP00010007461	ENSUPAG00010005972	Urocitellus_parryii
ENSSDAP00000009195	ENSSDAG00000008371	Spermophilus_dauricus
ENSSTOP00000005543	ENSSTOG00000006194	Ictidomys_tridecemlineatus
ENSMSIP00000006390	ENSMSIG00000005522	Mus_spicilegus
MGP_SPRETEiJ_P0030191	MGP_SPRETEiJ_G0017705	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000018989	ENSMUSG00000018845	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0028781	MGP_CAROLIEiJ_G0016861	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0035513	MGP_PahariEiJ_G0017998	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068065	ENSRNOG00000009466	Rattus_norvegicus
ENSMUGP00000011140	ENSMUGG00000009715	Meriones_unguiculatus
ENSCGRP00001024543	ENSCGRG00001022400	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015016087	ENSCGRG00015012301	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000018330	ENSCGRG00000013340	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010534	ENSMAUG00000011322	Mesocricetus_auratus
ENSPEMP00000006923	ENSPEMG00000008983	Peromyscus_maniculatus_bairdii
ENSMOCP00000018145	ENSMOCG00000016526	Microtus_ochrogaster
ENSNGAP00000000320	ENSNGAG00000000238	Nannospalax_galili
ENSJJAP00000016118	ENSJJAG00000018066	Jaculus_jaculus
ENSCCNP00000028947	ENSCCNG00000027806	Castor_canadensis
ENSDORP00000000798	ENSDORG00000000847	Dipodomys_ordii
