FBpp0310225	FBgn0262734	Drosophila_melanogaster	FBtr0343632
FBpp0085061	FBgn0039797	Drosophila_melanogaster	FBtr0085699
H05C05.1c.1	WBGene00019157	Caenorhabditis_elegans_strain_N2	H05C05.1c.1
ENSGAGP00000034299	ENSGAGG00000024376	Gopherus_agassizii
ENSCABP00000014369	ENSCABG00000010732	Chelonoidis_abingdonii
ENSCPBP00000040283	ENSCPBG00000027695	Chrysemys_picta_bellii
ENSPSIP00000016281	ENSPSIG00000014490	Pelodiscus_sinensis
ENSCPRP00005009862	ENSCPRG00005007039	Crocodylus_porosus
ENSACAP00000000589	ENSACAG00000000612	Anolis_carolinensis
ENSPVIP00000005452	ENSPVIG00000004416	Pogona_vitticeps
ENSNSUP00000010561	ENSNSUG00000008016	Notechis_scutatus
ENSSMRP00000017876	ENSSMRG00000013939	Salvator_merianae
ENSSPUP00000008252	ENSSPUG00000006402	Sphenodon_punctatus
ENSAOWP00000026617	ENSAOWG00000017949	Apteryx_owenii	ENSAOWT00000030158
ENSAHAP00000007735	ENSAHAG00000005766	Apteryx_haastii
ENSARWP00000008770	ENSARWG00000006134	Apteryx_rowi	ENSARWT00000010008
ENSDNVP00000008932	ENSDNVG00000006363	Dromaius_novaehollandiae	ENSDNVT00000010770
ENSCPGP00000027098	ENSCPGG00000018670	Calidris_pygmaea
ENSMUNP00000003701	ENSMUNG00000003138	Melopsittacus_undulatus
ENSMGAP00000002135	ENSMGAG00000002508	Meleagris_gallopavo
ENSCJPP00005010145	ENSCJPG00005008884	Coturnix_japonica
ENSGALP00000001997	ENSGALG00000001313	Gallus_gallus
ENSABRP00000010135	ENSABRG00000009068	Anser_brachyrhynchus
ENSCPUP00000009547	ENSCPUG00000006791	Calidris_pugnax
ENSNMEP00000014398	ENSNMEG00000012955	Numida_meleagris
ENSLSDP00000016070	ENSLSDG00000011579	Lonchura_striata_domestica
ENSTGUP00000004026	ENSTGUG00000003901	Taeniopygia_guttata
ENSLCOP00000008341	ENSLCOG00000006120	Lepidothrix_coronata
ENSMVIP00005013085	ENSMVIG00005009492	Manacus_vitellinus
ENSFALP00000007462	ENSFALG00000007155	Ficedula_albicollis
ENSPMJP00000025879	ENSPMJG00000018934	Parus_major
ENSCCEP00000003159	ENSCCEG00000003562	Cyanistes_caeruleus
ENSMVIP00005010647	ENSMVIG00005007834	Manacus_vitellinus
ENSZALP00000021016	ENSZALG00000016506	Zonotrichia_albicollis
ENSJHYP00000019769	ENSJHYG00000015020	Junco_hyemalis
ENSAPLP00000008874	ENSAPLG00000009166	Anas_platyrhynchos_platyrhynchos
ENSSCAP00000005942	ENSSCAG00000004657	Serinus_canaria
ENSNPEP00000003740	ENSNPEG00000002865	Nothoprocta_perdicaria
ENSVURP00010005297	ENSVURG00010004157	Vombatus_ursinus
ENSPCIP00000022726	ENSPCIG00000017251	Phascolarctos_cinereus
ENSMEUP00000000235	ENSMEUG00000000254	Notamacropus_eugenii
ENSSHAP00000000121	ENSSHAG00000000106	Sarcophilus_harrisii
ENSMODP00000052336	ENSMODG00000013851	Monodelphis_domestica
ENSPSMP00000028425	ENSPSMG00000019769	Prolemur_simus
ENSPSMP00000002681	ENSPSMG00000002136	Prolemur_simus
