ENSCLAP00000024749	ENSCLAG00000016991	Chinchilla_lanigera	ENSCLAT00000024989
ENSODEP00000015487	ENSODEG00000011427	Octodon_degus	ENSODET00000015687
ENSCAPP00000005687	ENSCAPG00000007956	Cavia_aperea	ENSCAPT00000009273
ENSCPOP00000024921	ENSCPOG00000035136	Cavia_porcellus	ENSCPOT00000034567
ENSHGLP00000010173	ENSHGLG00000007299	Heterocephalus_glaber_HetGla_female_1.0
ENSDORP00000018697	ENSDORG00000025983	Dipodomys_ordii
ENSCGRP00000017487	ENSCGRG00000012722	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015036301	ENSCGRG00015027210	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009270	ENSCGRG00001011407	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000031427	ENSPEMG00000016095	Peromyscus_maniculatus_bairdii
ENSMUSP00000066906	ENSMUSG00000051956	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018019	ENSMSIG00000015355	Mus_spicilegus
MGP_SPRETEiJ_P0075649	MGP_SPRETEiJ_G0029137	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0072807	MGP_CAROLIEiJ_G0028137	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048930	MGP_PahariEiJ_G0021893	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000008551	ENSMUGG00000007711	Meriones_unguiculatus
ENSJJAP00000002838	ENSJJAG00000005201	Jaculus_jaculus
ENSOPRP00000005791	ENSOPRG00000006323	Ochotona_princeps
ENSTBEP00000001210	ENSTBEG00000001417	Tupaia_belangeri
ENSP00000344489	ENSG00000188050	Homo_sapiens
ENSCSAP00000018642	ENSCSAG00000019132	Chlorocebus_sabaeus
ENSOGAP00000002392	ENSOGAG00000002671	Otolemur_garnettii
ENSBBBP00000004304	ENSBBBG00000013234	Bison_bison_bison
ENSOARP00000001157	ENSOARG00000001118	Ovis_aries
ENSTTRP00000012485	ENSTTRG00000013157	Tursiops_truncatus
ENSVPAP00000002772	ENSVPAG00000003000	Vicugna_pacos
ENSUAMP00000021368	ENSUAMG00000016781	Ursus_americanus
ENSAMEP00000020748	ENSAMEG00000019699	Ailuropoda_melanoleuca
ENSVVUP00000016052	ENSVVUG00000011814	Vulpes_vulpes
ENSCAFP00020000124	ENSCAFG00020000122	Canis_lupus_dingo
ENSPVAP00000010859	ENSPVAG00000011520	Pteropus_vampyrus
ENSMLUP00000004642	ENSMLUG00000005094	Myotis_lucifugus
ENSDNOP00000017614	ENSDNOG00000019521	Dasypus_novemcinctus
ENSETEP00000013054	ENSETEG00000016094	Echinops_telfairi
ENSVURP00010031188	ENSVURG00010023853	Vombatus_ursinus
ENSPCIP00000033416	ENSPCIG00000024797	Phascolarctos_cinereus
ENSSHAP00000010405	ENSSHAG00000008983	Sarcophilus_harrisii
