ENSMICP00000021992	ENSMICG00000026374	Microcebus_murinus	ENSMICT00000030940
ENSPSMP00000033479	ENSPSMG00000023086	Prolemur_simus	ENSPSMT00000038572
ENSOGAP00000020995	ENSOGAG00000031013	Otolemur_garnettii	ENSOGAT00000031929
ENSPTRP00000080855	ENSPTRG00000049411	Pan_troglodytes	ENSPTRT00000097228
ENSPPAP00000003230	ENSPPAG00000013631	Pan_paniscus	ENSPPAT00000014920
ENSP00000469474	ENSG00000267909	Homo_sapiens	ENST00000599174
ENSPPYP00000006759	ENSPPYG00000005943	Pongo_abelii	ENSPPYT00000007024
ENSNLEP00000040701	ENSNLEG00000031552	Nomascus_leucogenys	ENSNLET00000038024
ENSTGEP00000024539	ENSTGEG00000019823	Theropithecus_gelada	ENSTGET00000029248
ENSCATP00000001922	ENSCATG00000008772	Cercocebus_atys	ENSCATT00000009658
ENSPANP00000022003	ENSPANG00000017912	Papio_anubis	ENSPANT00000023232
ENSMMUP00000064070	ENSMMUG00000058118	Macaca_mulatta	ENSMMUT00000098607
ENSMNEP00000002547	ENSMNEG00000011906	Macaca_nemestrina	ENSMNET00000012936
ENSMFAP00000045128	ENSMFAG00000000299	Macaca_fascicularis	ENSMFAT00000019429
ENSCSAP00000019069	ENSCSAG00000019570	Chlorocebus_sabaeus	ENSCSAT00000019660
ENSPTEP00000035529	ENSPTEG00000033508	Piliocolobus_tephrosceles	ENSPTET00000048325
ENSCANP00000010761	ENSCANG00000028793	Colobus_angolensis_palliatus
ENSRROP00000009680	ENSRROG00000029266	Rhinopithecus_roxellana
ENSRBIP00000025353	ENSRBIG00000036565	Rhinopithecus_bieti
ENSCCAP00000001690	ENSCCAG00000010782	Cebus_capucinus_imitator
ENSCJAP00000055817	ENSCJAG00000044147	Callithrix_jacchus
ENSANAP00000003376	ENSANAG00000019635	Aotus_nancymaae
ENSSBOP00000039759	ENSSBOG00000035890	Saimiri_boliviensis_boliviensis
ENSCCNP00000019225	ENSCCNG00000019368	Castor_canadensis
ENSDORP00000026691	ENSDORG00000026769	Dipodomys_ordii
ENSMSIP00000018919	ENSMSIG00000016119	Mus_spicilegus
MGP_SPRETEiJ_P0034179	MGP_SPRETEiJ_G0018746	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000072982	ENSMUSG00000062961	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0032670	MGP_CAROLIEiJ_G0017901	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0082780	MGP_PahariEiJ_G0029657	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000045958	ENSRNOG00000033973	Rattus_norvegicus
ENSMUGP00000028824	ENSMUGG00000023885	Meriones_unguiculatus
ENSCGRP00001008554	ENSCGRG00001010824	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015037521	ENSCGRG00015028118	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000015180	ENSMAUG00000014718	Mesocricetus_auratus
ENSPEMP00000037078	ENSPEMG00000024387	Peromyscus_maniculatus_bairdii
ENSMOCP00000011625	ENSMOCG00000011888	Microtus_ochrogaster
ENSNGAP00000006674	ENSNGAG00000009965	Nannospalax_galili
ENSJJAP00000002243	ENSJJAG00000003759	Jaculus_jaculus
ENSHGLP00000013560	ENSHGLG00000009696	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005881	ENSHGLG00100004440	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000031213	ENSCPOG00000034151	Cavia_porcellus
ENSSTOP00000019537	ENSSTOG00000021494	Ictidomys_tridecemlineatus
ENSUPAP00010015651	ENSUPAG00010012538	Urocitellus_parryii
ENSCHIP00000008194	ENSCHIG00000011458	Capra_hircus
ENSOARP00000022771	ENSOARG00000021186	Ovis_aries
ENSBIXP00005045660	ENSBIXG00005001674	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000020452	ENSBIXG00000004736	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000054829	ENSBTAG00000047101	Bos_taurus
ENSSSCP00000002508	ENSSSCG00000002310	Sus_scrofa_strain_reference
ENSECAP00000039748	ENSECAG00000030358	Equus_caballus
ENSEASP00005024452	ENSEASG00005016610	Equus_asinus_asinus
ENSUAMP00000004468	ENSUAMG00000004100	Ursus_americanus
ENSAMEP00000015332	ENSAMEG00000014558	Ailuropoda_melanoleuca
ENSMPUP00000019525	ENSMPUG00000019653	Mustela_putorius_furo
ENSNVIP00000012622	ENSNVIG00000010021	Neovison_vison
ENSCAFP00000024377	ENSCAFG00000016579	Canis_lupus_familiaris
ENSCAFP00020006981	ENSCAFG00020005680	Canis_lupus_dingo
ENSFCAP00000042553	ENSFCAG00000046679	Felis_catus
ENSPPRP00000017591	ENSPPRG00000009504	Panthera_pardus
ENSETEP00000014360	ENSETEG00000017681	Echinops_telfairi	ENSETET00000017679
ENSODEP00000019036	ENSODEG00000014037	Octodon_degus
ENSEEUP00000012792	ENSEEUG00000014027	Erinaceus_europaeus
ENSLAFP00000018538	ENSLAFG00000031605	Loxodonta_africana	ENSLAFT00000029788
ENSSHAP00000006303	ENSSHAG00000005490	Sarcophilus_harrisii
