ENSSSCP00000033219	ENSSSCG00000039371	Sus_scrofa_strain_reference	ENSSSCT00000045154
ENSSSCP00000068174	ENSSSCG00000048290	Sus_scrofa_strain_reference	ENSSSCT00000072591
ENSBMUP00000010569	ENSBMUG00000008162	Bos_mutus	ENSBMUT00000012276
ENSBMUP00000033602	ENSBMUG00000025083	Bos_mutus	ENSBMUT00000038673
ENSECAP00000005756	ENSECAG00000007775	Equus_caballus	ENSECAT00000007796
ENSAMEP00000019223	ENSAMEG00000018184	Ailuropoda_melanoleuca	ENSAMET00000019988
ENSAMEP00000001342	ENSAMEG00000001286	Ailuropoda_melanoleuca	ENSAMET00000001394
ENSAMEP00000005627	ENSAMEG00000005334	Ailuropoda_melanoleuca	ENSAMET00000005861
ENSMPUP00000001393	ENSMPUG00000001404	Mustela_putorius_furo
ENSHGLP00100027343	ENSHGLG00100020408	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000027582	ENSHGLG00000019615	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000027594	ENSHGLG00000019629	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100027404	ENSHGLG00100020485	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023330	ENSHGLG00000016629	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024005	ENSHGLG00100017630	Heterocephalus_glaber_HetGla_1.0
ENSCLAP00000005277	ENSCLAG00000003748	Chinchilla_lanigera
ENSCPOP00000017822	ENSCPOG00000035685	Cavia_porcellus
ENSCPOP00000018701	ENSCPOG00000034952	Cavia_porcellus
ENSCPOP00000027192	ENSCPOG00000031741	Cavia_porcellus
ENSCPOP00000033083	ENSCPOG00000033147	Cavia_porcellus
ENSCAPP00000009377	ENSCAPG00000010865	Cavia_aperea
ENSCAPP00000010365	ENSCAPG00000011653	Cavia_aperea
ENSSTOP00000019677	ENSSTOG00000015648	Ictidomys_tridecemlineatus
ENSCGRP00015030823	ENSCGRG00015023223	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001002848	ENSCGRG00001003279	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000009880	ENSMAUG00000010927	Mesocricetus_auratus
ENSMUSP00000149100	ENSMUSG00000075120	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0063826	MGP_PahariEiJ_G0025317	Mus_pahari_strain_PAHARI_EIJ
ENSMUSP00000149757	ENSMUSG00000075115	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000017454	ENSMSIG00000014897	Mus_spicilegus
MGP_CAROLIEiJ_P0052830	MGP_CAROLIEiJ_G0023873	Mus_caroli_strain_CAROLI_EIJ
MGP_CAROLIEiJ_P0052829	MGP_CAROLIEiJ_G0023872	Mus_caroli_strain_CAROLI_EIJ
MGP_CAROLIEiJ_P0052833	MGP_CAROLIEiJ_G0023876	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063830	MGP_PahariEiJ_G0025321	Mus_pahari_strain_PAHARI_EIJ
ENSMSIP00000017417	ENSMSIG00000014872	Mus_spicilegus
ENSMUSP00000150290	ENSMUSG00000075119	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0063827	MGP_PahariEiJ_G0025318	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000067244	ENSRNOG00000046684	Rattus_norvegicus
ENSRNOP00000007996	ENSRNOG00000049836	Rattus_norvegicus
ENSRNOP00000066053	ENSRNOG00000047650	Rattus_norvegicus
ENSNGAP00000002519	ENSNGAG00000002270	Nannospalax_galili
ENSDNOP00000023018	ENSDNOG00000030810	Dasypus_novemcinctus
ENSDNOP00000034333	ENSDNOG00000049145	Dasypus_novemcinctus
ENSDNOP00000024491	ENSDNOG00000035202	Dasypus_novemcinctus
ENSDNOP00000029137	ENSDNOG00000039704	Dasypus_novemcinctus
ENSMODP00000033921	ENSMODG00000024356	Monodelphis_domestica
ENSMODP00000033954	ENSMODG00000024377	Monodelphis_domestica
ENSSHAP00000004288	ENSSHAG00000003777	Sarcophilus_harrisii
ENSSHAP00000003191	ENSSHAG00000002818	Sarcophilus_harrisii
ENSMODP00000060452	ENSMODG00000050406	Monodelphis_domestica
ENSMODP00000024919	ENSMODG00000045664	Monodelphis_domestica
ENSMODP00000057494	ENSMODG00000049656	Monodelphis_domestica
ENSPCIP00000042054	ENSPCIG00000035903	Phascolarctos_cinereus
ENSVURP00010016867	ENSVURG00010012912	Vombatus_ursinus
ENSMODP00000055135	ENSMODG00000051157	Monodelphis_domestica
ENSSHAP00000002633	ENSSHAG00000002328	Sarcophilus_harrisii
ENSSHAP00000006265	ENSSHAG00000005454	Sarcophilus_harrisii
ENSMODP00000033950	ENSMODG00000024374	Monodelphis_domestica
