FBpp0078760	FBgn0031710	Drosophila_melanogaster
F08C6.3.1	WBGene00007059	Caenorhabditis_elegans_strain_N2
ENSCPUP00000010429	ENSCPUG00000007397	Calidris_pugnax	ENSCPUT00000012444
ENSCPGP00000003405	ENSCPGG00000002321	Calidris_pygmaea	ENSCPGT00000003743
ENSABRP00000000171	ENSABRG00000000124	Anser_brachyrhynchus
ENSCCEP00000001527	ENSCCEG00000001763	Cyanistes_caeruleus
ENSARWP00000002135	ENSARWG00000001637	Apteryx_rowi
ENSDNVP00000010445	ENSDNVG00000007367	Dromaius_novaehollandiae
ENSGAGP00000019434	ENSGAGG00000013940	Gopherus_agassizii
ENSCABP00000001487	ENSCABG00000000975	Chelonoidis_abingdonii
ENSCPBP00000004953	ENSCPBG00000003971	Chrysemys_picta_bellii
ENSPSIP00000006789	ENSPSIG00000006282	Pelodiscus_sinensis
ENSPVIP00000004747	ENSPVIG00000002926	Pogona_vitticeps
ENSNSUP00000003220	ENSNSUG00000001880	Notechis_scutatus
ENSACAP00000002920	ENSACAG00000002994	Anolis_carolinensis
ENSSMRP00000004487	ENSSMRG00000003699	Salvator_merianae
ENSSPUP00000022704	ENSSPUG00000017406	Sphenodon_punctatus
ENSMSIP00000014279	ENSMSIG00000012295	Mus_spicilegus
ENSMUSP00000025178	ENSMUSG00000024319	Mus_musculus_strain_reference_(CL57BL6)
ENSRNOP00000000549	ENSRNOG00000000470	Rattus_norvegicus
ENSMUGP00000021341	ENSMUGG00000017974	Meriones_unguiculatus
ENSCGRP00015038199	ENSCGRG00015028556	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000010822	ENSCGRG00000007893	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013831	ENSCGRG00001014839	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000014708	ENSMAUG00000014379	Mesocricetus_auratus
ENSMOCP00000004888	ENSMOCG00000004229	Microtus_ochrogaster
ENSNGAP00000006647	ENSNGAG00000009823	Nannospalax_galili
ENSJJAP00000020138	ENSJJAG00000020884	Jaculus_jaculus
ENSSARP00000007988	ENSSARG00000008816	Sorex_araneus
ENSBIXP00005009541	ENSBIXG00005014413	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000005310	ENSBIXG00000011531	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000003427	ENSBTAG00000002643	Bos_taurus
ENSBMUP00000011458	ENSBMUG00000008802	Bos_mutus
ENSBBBP00000006674	ENSBBBG00000003598	Bison_bison_bison
ENSOARP00000009638	ENSOARG00000008970	Ovis_aries
ENSCHIP00000027770	ENSCHIG00000023524	Capra_hircus
ENSTTRP00000004044	ENSTTRG00000004298	Tursiops_truncatus
ENSSSCP00000058359	ENSSSCG00000001501	Sus_scrofa_strain_reference
ENSVPAP00000009178	ENSVPAG00000009861	Vicugna_pacos
ENSECAP00000017563	ENSECAG00000019702	Equus_caballus
ENSEASP00005030574	ENSEASG00005020809	Equus_asinus_asinus
ENSPVAP00000001794	ENSPVAG00000001897	Pteropus_vampyrus
ENSMLUP00000006689	ENSMLUG00000007294	Myotis_lucifugus
