ENSLOCP00000002529	ENSLOCG00000002158	Lepisosteus_oculatus
ENSECRP00000017404	ENSECRG00000011613	Erpetoichthys_calabaricus
ENSPVIP00000024882	ENSPVIG00000018712	Pogona_vitticeps
ENSACAP00000004975	ENSACAG00000005023	Anolis_carolinensis
ENSNSUP00000019808	ENSNSUG00000014274	Notechis_scutatus
ENSSMRP00000015691	ENSSMRG00000011393	Salvator_merianae
ENSSPUP00000005094	ENSSPUG00000003934	Sphenodon_punctatus
ENSAOWP00000024947	ENSAOWG00000016652	Apteryx_owenii
ENSAHAP00000022169	ENSAHAG00000015323	Apteryx_haastii
ENSARWP00000001772	ENSARWG00000000727	Apteryx_rowi
ENSDNVP00000020745	ENSDNVG00000014519	Dromaius_novaehollandiae
ENSNPEP00000020566	ENSNPEG00000015276	Nothoprocta_perdicaria
ENSCPUP00000014491	ENSCPUG00000010189	Calidris_pugnax
ENSCPGP00000001084	ENSCPGG00000000837	Calidris_pygmaea
ENSMUNP00000018000	ENSMUNG00000013766	Melopsittacus_undulatus
ENSTGUP00000004158	ENSTGUG00000004038	Taeniopygia_guttata
ENSTGUP00000004148	ENSTGUG00000004019	Taeniopygia_guttata
ENSLSDP00000014138	ENSLSDG00000010226	Lonchura_striata_domestica
ENSSCAP00000015417	ENSSCAG00000011273	Serinus_canaria
ENSFALP00000003116	ENSFALG00000002992	Ficedula_albicollis
ENSTGUP00000016002	ENSTGUG00000015677	Taeniopygia_guttata
ENSCCEP00000022884	ENSCCEG00000020547	Cyanistes_caeruleus
ENSPMJP00000026315	ENSPMJG00000019220	Parus_major
ENSJHYP00000021608	ENSJHYG00000016096	Junco_hyemalis
ENSZALP00000018706	ENSZALG00000014879	Zonotrichia_albicollis
ENSLCOP00000001443	ENSLCOG00000001107	Lepidothrix_coronata
ENSMVIP00005001855	ENSMVIG00005001430	Manacus_vitellinus
ENSCPRP00005019883	ENSCPRG00005013874	Crocodylus_porosus
ENSGAGP00000034448	ENSGAGG00000024443	Gopherus_agassizii
ENSCABP00000025880	ENSCABG00000019045	Chelonoidis_abingdonii
ENSCPBP00000021997	ENSCPBG00000015757	Chrysemys_picta_bellii
ENSPSIP00000006758	ENSPSIG00000006241	Pelodiscus_sinensis
ENSCCNP00000013164	ENSCCNG00000013692	Castor_canadensis
ENSDORP00000011862	ENSDORG00000012610	Dipodomys_ordii
ENSMSIP00000014810	ENSMSIG00000012678	Mus_spicilegus
ENSMUSP00000139825	ENSMUSG00000042699	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0021467	MGP_SPRETEiJ_G0015516	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0020405	MGP_CAROLIEiJ_G0014709	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0075684	MGP_PahariEiJ_G0027945	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061368	ENSRNOG00000002735	Rattus_norvegicus
ENSMUGP00000003655	ENSMUGG00000003372	Meriones_unguiculatus
ENSPEMP00000001527	ENSPEMG00000001238	Peromyscus_maniculatus_bairdii
ENSMOCP00000022328	ENSMOCG00000019404	Microtus_ochrogaster
ENSCGRP00000015641	ENSCGRG00000011336	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022524	ENSCGRG00015017074	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001015122	ENSCGRG00001015796	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000023228	ENSMAUG00000020414	Mesocricetus_auratus
ENSNGAP00000011796	ENSNGAG00000013847	Nannospalax_galili
ENSJJAP00000002134	ENSJJAG00000003249	Jaculus_jaculus
ENSCPOP00000029169	ENSCPOG00000040669	Cavia_porcellus
ENSCAPP00000015509	ENSCAPG00000015604	Cavia_aperea
ENSCLAP00000015540	ENSCLAG00000010684	Chinchilla_lanigera
ENSHGLP00000007969	ENSHGLG00000005769	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100021226	ENSHGLG00100015628	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001449	ENSFDAG00000011454	Fukomys_damarensis
ENSODEP00000017177	ENSODEG00000012659	Octodon_degus
ENSMMMP00000017146	ENSMMMG00000015198	Marmota_marmota_marmota
ENSSDAP00000027449	ENSSDAG00000024879	Spermophilus_dauricus
ENSUPAP00010006705	ENSUPAG00010005390	Urocitellus_parryii
ENSSTOP00000014588	ENSSTOG00000016288	Ictidomys_tridecemlineatus
ENSTBEP00000012208	ENSTBEG00000014052	Tupaia_belangeri
ENSPTRP00000002937	ENSPTRG00000001759	Pan_troglodytes
ENSPPAP00000014111	ENSPPAG00000030190	Pan_paniscus
ENSP00000356520	ENSG00000135829	Homo_sapiens
ENSGGOP00000026976	ENSGGOG00000013533	Gorilla_gorilla
ENSPPYP00000000490	ENSPPYG00000000431	Pongo_abelii
ENSNLEP00000021884	ENSNLEG00000018013	Nomascus_leucogenys
ENSPANP00000017499	ENSPANG00000012826	Papio_anubis
ENSCSAP00000008730	ENSCSAG00000012549	Chlorocebus_sabaeus
ENSTGEP00000032822	ENSTGEG00000026224	Theropithecus_gelada
ENSCATP00000009379	ENSCATG00000027871	Cercocebus_atys
ENSMLEP00000031596	ENSMLEG00000039925	Mandrillus_leucophaeus
ENSMFAP00000041009	ENSMFAG00000041152	Macaca_fascicularis
ENSMMUP00000007450	ENSMMUG00000005635	Macaca_mulatta
ENSMNEP00000036213	ENSMNEG00000041195	Macaca_nemestrina
ENSRROP00000043409	ENSRROG00000044740	Rhinopithecus_roxellana
ENSRBIP00000035097	ENSRBIG00000041202	Rhinopithecus_bieti
ENSPTEP00000002473	ENSPTEG00000002908	Piliocolobus_tephrosceles
ENSCANP00000018972	ENSCANG00000032888	Colobus_angolensis_palliatus
ENSCCAP00000009746	ENSCCAG00000022597	Cebus_capucinus_imitator
ENSSBOP00000019233	ENSSBOG00000026174	Saimiri_boliviensis_boliviensis
ENSCJAP00000009059	ENSCJAG00000004821	Callithrix_jacchus
ENSANAP00000025209	ENSANAG00000030279	Aotus_nancymaae
ENSPTRP00000068331	ENSPTRG00000049775	Pan_troglodytes
ENSPPAP00000039065	ENSPPAG00000042251	Pan_paniscus
ENSGGOP00000038747	ENSGGOG00000040887	Gorilla_gorilla
ENSTSYP00000016875	ENSTSYG00000007970	Carlito_syrichta
ENSPCOP00000012873	ENSPCOG00000018029	Propithecus_coquereli
ENSMICP00000007556	ENSMICG00000008285	Microcebus_murinus
ENSPSMP00000002815	ENSPSMG00000002197	Prolemur_simus
ENSOGAP00000002347	ENSOGAG00000002620	Otolemur_garnettii
ENSBIXP00000008552	ENSBIXG00000007066	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005044147	ENSBIXG00005027970	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000026409	ENSBTAG00000019821	Bos_taurus
ENSBMUP00000036261	ENSBMUG00000026927	Bos_mutus
ENSBBBP00000026397	ENSBBBG00000022215	Bison_bison_bison
ENSOARP00000020502	ENSOARG00000019089	Ovis_aries
ENSCHIP00000019777	ENSCHIG00000018643	Capra_hircus
ENSSSCP00000029386	ENSSSCG00000026806	Sus_scrofa_strain_reference
ENSTTRP00000007251	ENSTTRG00000007665	Tursiops_truncatus
ENSEASP00005009206	ENSEASG00005006589	Equus_asinus_asinus
ENSECAP00000013501	ENSECAG00000011933	Equus_caballus
ENSPVAP00000000791	ENSPVAG00000000836	Pteropus_vampyrus
ENSMLUP00000010203	ENSMLUG00000011163	Myotis_lucifugus
ENSUAMP00000015940	ENSUAMG00000012201	Ursus_americanus
ENSUMAP00000022533	ENSUMAG00000016482	Ursus_maritimus
ENSAMEP00000002374	ENSAMEG00000002233	Ailuropoda_melanoleuca
ENSNVIP00000019062	ENSNVIG00000014902	Neovison_vison
ENSMPUP00000011453	ENSMPUG00000011544	Mustela_putorius_furo
ENSCAFP00020018729	ENSCAFG00020014886	Canis_lupus_dingo
ENSCAFP00000019476	ENSCAFG00000013205	Canis_lupus_familiaris
ENSVVUP00000012072	ENSVVUG00000008915	Vulpes_vulpes
ENSPPRP00000012281	ENSPPRG00000005890	Panthera_pardus
ENSPTIP00000025186	ENSPTIG00000021059	Panthera_tigris_altaica
ENSFCAP00000016148	ENSFCAG00000019306	Felis_catus
ENSCHOP00000011300	ENSCHOG00000012736	Choloepus_hoffmanni
ENSDNOP00000003109	ENSDNOG00000004038	Dasypus_novemcinctus
ENSLAFP00000028304	ENSLAFG00000022058	Loxodonta_africana
ENSPCAP00000010408	ENSPCAG00000011042	Procavia_capensis
ENSETEP00000007903	ENSETEG00000009729	Echinops_telfairi
ENSVPAP00000007537	ENSVPAG00000008097	Vicugna_pacos
ENSEEUP00000004476	ENSEEUG00000004824	Erinaceus_europaeus
ENSOCUP00000029909	ENSOCUG00000014651	Oryctolagus_cuniculus
ENSVURP00010013064	ENSVURG00010010038	Vombatus_ursinus
ENSPCIP00000004477	ENSPCIG00000003716	Phascolarctos_cinereus
ENSMEUP00000001366	ENSMEUG00000001470	Notamacropus_eugenii
ENSSHAP00000009863	ENSSHAG00000008540	Sarcophilus_harrisii
ENSMODP00000008627	ENSMODG00000006955	Monodelphis_domestica
ENSOANP00000001567	ENSOANG00000000989	Ornithorhynchus_anatinus
ENSOANP00000029116	ENSOANG00000028315	Ornithorhynchus_anatinus
ENSOPRP00000014730	ENSOPRG00000016111	Ochotona_princeps
ENSSARP00000003594	ENSSARG00000003931	Sorex_araneus
ENSXETP00000032394	ENSXETG00000010916	Xenopus_tropicalis
ENSLACP00000020215	ENSLACG00000017767	Latimeria_chalumnae	ENSLACT00000020355
ENSCMIP00000043145	ENSCMIG00000017886	Callorhinchus_milii
ENSSFOP00015027094	ENSSFOG00015017378	Scleropages_formosus
ENSPKIP00000022848	ENSPKIG00000006698	Paramormyrops_kingsleyae
ENSEEEP00000009167	ENSEEEG00000004706	Electrophorus_electricus	ENSEEET00000009285
ENSIPUP00000024702	ENSIPUG00000016675	Ictalurus_punctatus	ENSIPUT00000025734
ENSAMXP00005055151	ENSAMXG00005024621	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000021514	ENSAMXG00000020901	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000033004	ENSPNAG00000021343	Pygocentrus_nattereri
ENSDARP00000118509	ENSDARG00000079725	Danio_rerio
ENSCHAP00000059861	ENSCHAG00000026797	Clupea_harengus	ENSCHAT00000064456
ENSDCDP00000003060	ENSDCDG00000001552	Denticeps_clupeoides	ENSDCDT00000003374
ENSXCOP00000000713	ENSXCOG00000000601	Xiphophorus_couchianus	ENSXCOT00000000723
ENSGAFP00000028124	ENSGAFG00000019021	Gambusia_affinis	ENSGAFT00000028413
ENSKMAP00000024065	ENSKMAG00000017840	Kryptolebias_marmoratus
ENSAMXP00000041167	ENSAMXG00000032080	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000043857
ENSPMEP00000017198	ENSPMEG00000019991	Poecilia_mexicana
ENSPFOP00000030682	ENSPFOG00000019152	Poecilia_formosa
ENSPLAP00000000639	ENSPLAG00000001496	Poecilia_latipinna
ENSPREP00000028546	ENSPREG00000019307	Poecilia_reticulata
ENSXMAP00000011360	ENSXMAG00000011305	Xiphophorus_maculatus
ENSCVAP00000025008	ENSCVAG00000009479	Cyprinodon_variegatus
ENSORLP00000009349	ENSORLG00000007454	Oryzias_latipes_ASM223467v1
ENSORLP00015010902	ENSORLG00015000892	Oryzias_latipes_ASM223469v1
ENSORLP00020014364	ENSORLG00020015369	Oryzias_latipes_ASM223471v1
ENSOMEP00000001580	ENSOMEG00000002437	Oryzias_melastigma
ENSCSEP00000027635	ENSCSEG00000017621	Cynoglossus_semilaevis
ENSTRUP00000001997	ENSTRUG00000000828	Takifugu_rubripes
ENSLBEP00000020198	ENSLBEG00000015511	Labrus_bergylta
ENSAPEP00000008896	ENSAPEG00000006339	Amphiprion_percula
ENSAOCP00000006969	ENSAOCG00000010719	Amphiprion_ocellaris
ENSAPOP00000000378	ENSAPOG00000000012	Acanthochromis_polyacanthus
ENSSPAP00000012850	ENSSPAG00000009690	Stegastes_partitus
ENSPRNP00000020677	ENSPRNG00000010760	Parambassis_ranga
ENSACLP00000032879	ENSACLG00000022296	Astatotilapia_calliptera
ENSMZEP00005018878	ENSMZEG00005014167	Maylandia_zebra
ENSHBUP00000023365	ENSHBUG00000004129	Haplochromis_burtoni
ENSPNYP00000011241	ENSPNYG00000008480	Pundamilia_nyererei
ENSNBRP00000032070	ENSNBRG00000024348	Neolamprologus_brichardi
ENSONIP00000000368	ENSONIG00000000293	Oreochromis_niloticus
ENSACIP00000021220	ENSACIG00000016431	Amphilophus_citrinellus
ENSFHEP00000009615	ENSFHEG00000000250	Fundulus_heteroclitus
ENSMAMP00000027761	ENSMAMG00000018644	Mastacembelus_armatus
ENSMALP00000000499	ENSMALG00000000318	Monopterus_albus
ENSATEP00000010097	ENSATEG00000007101	Anabas_testudineus
ENSBSLP00000043506	ENSBSLG00000020698	Betta_splendens
ENSSDUP00000023932	ENSSDUG00000017407	Seriola_dumerili
ENSSLDP00000005070	ENSSLDG00000003926	Seriola_lalandi_dorsalis
ENSLCAP00010009225	ENSLCAG00010004430	Lates_calcarifer
ENSLCRP00005040489	ENSLCRG00005015605	Larimichthys_crocea
ENSMMOP00000001540	ENSMMOG00000001268	Mola_mola
ENSHCOP00000010344	ENSHCOG00000012968	Hippocampus_comes
ENSTNIP00000007003	ENSTNIG00000004369	Tetraodon_nigroviridis
ENSTNIP00000005367	ENSTNIG00000002805	Tetraodon_nigroviridis
ENSGWIP00000036699	ENSGWIG00000018881	Gouania_willdenowi
ENSPMGP00000011199	ENSPMGG00000009280	Periophthalmus_magnuspinnatus
ENSEBUP00000004330	ENSEBUG00000003074	Eptatretus_burgeri
ENSCINP00000015971	ENSCING00000018086	Ciona_intestinalis
ENSCSAVP00000011969	ENSCSAVG00000007036	Ciona_savignyi
ENSHHUP00000022646	ENSHHUG00000014194	Hucho_hucho
ENSHHUP00000074881	ENSHHUG00000043887	Hucho_hucho
ENSELUP00000032576	ENSELUG00000010512	Esox_lucius
ENSEBUP00000025870	ENSEBUG00000015945	Eptatretus_burgeri
ENSCSAVP00000002531	ENSCSAVG00000001493	Ciona_savignyi
ENSCINP00000015974	ENSCING00000007792	Ciona_intestinalis
FBpp0085367	FBgn0002774	Drosophila_melanogaster
