ENSCCAP00000032972	ENSCCAG00000034520	Cebus_capucinus_imitator
ENSSBOP00000001098	ENSSBOG00000004476	Saimiri_boliviensis_boliviensis
ENSANAP00000013097	ENSANAG00000024458	Aotus_nancymaae
ENSMMUP00000010573	ENSMMUG00000044463	Macaca_mulatta	ENSMMUT00000011282
ENSMFAP00000001265	ENSMFAG00000042765	Macaca_fascicularis	ENSMFAT00000029442
ENSMNEP00000009732	ENSMNEG00000029298	Macaca_nemestrina	ENSMNET00000033907
ENSCSAP00000003645	ENSCSAG00000007399	Chlorocebus_sabaeus	ENSCSAT00000005424
ENSPANP00000002074	ENSPANG00000024542	Papio_anubis	ENSPANT00000010283
ENSTGEP00000000222	ENSTGEG00000000254	Theropithecus_gelada	ENSTGET00000000321
ENSMLEP00000026851	ENSMLEG00000037620	Mandrillus_leucophaeus	ENSMLET00000050394
ENSCATP00000021286	ENSCATG00000034372	Cercocebus_atys	ENSCATT00000045487
ENSCANP00000029546	ENSCANG00000038400	Colobus_angolensis_palliatus
ENSPTEP00000034602	ENSPTEG00000032821	Piliocolobus_tephrosceles
ENSRROP00000019276	ENSRROG00000033657	Rhinopithecus_roxellana
ENSRBIP00000018480	ENSRBIG00000033227	Rhinopithecus_bieti
ENSPTRP00000033910	ENSPTRG00000019798	Pan_troglodytes
ENSPTRP00000086241	ENSPTRG00000051739	Pan_troglodytes
ENSPPAP00000015214	ENSPPAG00000030741	Pan_paniscus
ENSGGOP00000037897	ENSGGOG00000015999	Gorilla_gorilla
ENSP00000265310	ENSG00000127412	Homo_sapiens
ENSNLEP00000032563	ENSNLEG00000002847	Nomascus_leucogenys
ENSTSYP00000009070	ENSTSYG00000009891	Carlito_syrichta
ENSPSMP00000000325	ENSPSMG00000000280	Prolemur_simus
ENSPCOP00000010011	ENSPCOG00000016425	Propithecus_coquereli
ENSOGAP00000012139	ENSOGAG00000013546	Otolemur_garnettii
MGP_SPRETEiJ_P0076313	MGP_SPRETEiJ_G0029281	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000031901	ENSMUSG00000036899	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000003617	ENSMSIG00000003226	Mus_spicilegus
MGP_CAROLIEiJ_P0073456	MGP_CAROLIEiJ_G0028276	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0049570	MGP_PahariEiJ_G0022033	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020975	ENSRNOG00000015394	Rattus_norvegicus
ENSMUGP00000026722	ENSMUGG00000022232	Meriones_unguiculatus
ENSCGRP00015031125	ENSCGRG00015023434	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000008196	ENSCGRG00000005979	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001010151	ENSCGRG00001012108	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000011150	ENSMAUG00000011813	Mesocricetus_auratus
ENSPEMP00000006754	ENSPEMG00000008873	Peromyscus_maniculatus_bairdii
ENSMOCP00000007403	ENSMOCG00000007194	Microtus_ochrogaster
ENSNGAP00000007753	ENSNGAG00000010880	Nannospalax_galili
ENSJJAP00000019253	ENSJJAG00000020226	Jaculus_jaculus
ENSDORP00000025818	ENSDORG00000008637	Dipodomys_ordii
ENSCLAP00000002391	ENSCLAG00000001736	Chinchilla_lanigera
ENSODEP00000019187	ENSODEG00000014153	Octodon_degus
ENSCPOP00000033008	ENSCPOG00000001189	Cavia_porcellus
ENSCAPP00000017945	ENSCAPG00000017479	Cavia_aperea
ENSHGLP00000008641	ENSHGLG00000006227	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018809	ENSHGLG00100013877	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005347	ENSFDAG00000014389	Fukomys_damarensis
ENSSTOP00000007474	ENSSTOG00000008339	Ictidomys_tridecemlineatus
ENSUPAP00010012255	ENSUPAG00010009906	Urocitellus_parryii
ENSSDAP00000007545	ENSSDAG00000006847	Spermophilus_dauricus
ENSMMMP00000009157	ENSMMMG00000008157	Marmota_marmota_marmota
ENSOCUP00000006536	ENSOCUG00000007559	Oryctolagus_cuniculus
ENSOPRP00000005105	ENSOPRG00000005545	Ochotona_princeps
ENSCCNP00000011187	ENSCCNG00000011581	Castor_canadensis
ENSTBEP00000011042	ENSTBEG00000012733	Tupaia_belangeri
ENSUAMP00000016101	ENSUAMG00000012830	Ursus_americanus
ENSUMAP00000016278	ENSUMAG00000011946	Ursus_maritimus
