ENSPMEP00000025504	ENSPMEG00000008511	Poecilia_mexicana
ENSPFOP00000001297	ENSPFOG00000001286	Poecilia_formosa
ENSPLAP00000025774	ENSPLAG00000013053	Poecilia_latipinna
ENSPREP00000010854	ENSPREG00000007421	Poecilia_reticulata
ENSXMAP00000008064	ENSXMAG00000008029	Xiphophorus_maculatus
ENSXCOP00000023325	ENSXCOG00000017420	Xiphophorus_couchianus
ENSCVAP00000006307	ENSCVAG00000007825	Cyprinodon_variegatus
ENSOMEP00000002610	ENSOMEG00000003563	Oryzias_melastigma
ENSGWIP00000011548	ENSGWIG00000006764	Gouania_willdenowi
ENSGACP00000018682	ENSGACG00000014150	Gasterosteus_aculeatus
ENSHCOP00000009735	ENSHCOG00000012591	Hippocampus_comes
ENSCSEP00000022031	ENSCSEG00000014035	Cynoglossus_semilaevis
ENSAPOP00000004667	ENSAPOG00000006291	Acanthochromis_polyacanthus
ENSSPAP00000002217	ENSSPAG00000001709	Stegastes_partitus
ENSMZEP00005008178	ENSMZEG00005006226	Maylandia_zebra
ENSHBUP00000030841	ENSHBUG00000016122	Haplochromis_burtoni
ENSACLP00000040260	ENSACLG00000027131	Astatotilapia_calliptera
ENSONIP00000015089	ENSONIG00000011987	Oreochromis_niloticus
ENSTNIP00000001070	ENSTNIG00000001084	Tetraodon_nigroviridis
ENSMMOP00000005557	ENSMMOG00000004373	Mola_mola
ENSMALP00000012215	ENSMALG00000008665	Monopterus_albus
ENSSMAP00000003403	ENSSMAG00000002123	Scophthalmus_maximus
ENSPMGP00000018941	ENSPMGG00000015414	Periophthalmus_magnuspinnatus
ENSELUP00000026363	ENSELUG00000002202	Esox_lucius
ENSHHUP00000010698	ENSHHUG00000006529	Hucho_hucho
ENSIPUP00000006354	ENSIPUG00000004401	Ictalurus_punctatus
ENSAMXP00005043470	ENSAMXG00005020231	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDARP00000096049	ENSDARG00000020863	Danio_rerio
ENSDCDP00000053474	ENSDCDG00000032059	Denticeps_clupeoides
ENSELUP00000000650	ENSELUG00000002205	Esox_lucius
ENSHHUP00000031041	ENSHHUG00000019749	Hucho_hucho
ENSHHUP00000030142	ENSHHUG00000019197	Hucho_hucho
ENSCGOP00000015929	ENSCGOG00000007678	Cottoperca_gobio
ENSLCRP00005008026	ENSLCRG00005003896	Larimichthys_crocea
ENSSDUP00000014251	ENSSDUG00000010380	Seriola_dumerili
ENSSLDP00000004546	ENSSLDG00000003613	Seriola_lalandi_dorsalis
ENSATEP00000007798	ENSATEG00000005457	Anabas_testudineus
ENSGAFP00000029105	ENSGAFG00000019637	Gambusia_affinis
ENSORLP00015016687	ENSORLG00015017664	Oryzias_latipes_ASM223469v1
ENSORLP00020018578	ENSORLG00020019535	Oryzias_latipes_ASM223471v1
ENSORLP00000005131	ENSORLG00000004099	Oryzias_latipes_ASM223467v1
ENSKMAP00000009683	ENSKMAG00000007273	Kryptolebias_marmoratus
ENSHBUP00000030860	ENSHBUG00000016146	Haplochromis_burtoni
ENSNBRP00000018503	ENSNBRG00000014266	Neolamprologus_brichardi
ENSACIP00000023346	ENSACIG00000018141	Amphilophus_citrinellus
ENSTRUP00000026512	ENSTRUG00000024622	Takifugu_rubripes
ENSSMAP00000003415	ENSSMAG00000002136	Scophthalmus_maximus
ENSBSLP00000007286	ENSBSLG00000003532	Betta_splendens
ENSPMGP00000018946	ENSPMGG00000015417	Periophthalmus_magnuspinnatus
ENSGMOP00000014566	ENSGMOG00000013617	Gadus_morhua
ENSPKIP00000028446	ENSPKIG00000010094	Paramormyrops_kingsleyae
ENSSFOP00015018988	ENSSFOG00015012209	Scleropages_formosus
ENSEEEP00000012400	ENSEEEG00000006232	Electrophorus_electricus	ENSEEET00000012544
ENSIPUP00000033751	ENSIPUG00000022693	Ictalurus_punctatus	ENSIPUT00000035077
ENSELUP00000006014	ENSELUG00000006957	Esox_lucius
ENSPKIP00000007720	ENSPKIG00000023511	Paramormyrops_kingsleyae
ENSPCIP00000041125	ENSPCIG00000030073	Phascolarctos_cinereus
ENSMEUP00000008249	ENSMEUG00000009038	Notamacropus_eugenii
ENSMUSP00000017839	ENSMUSG00000020707	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000009064	ENSMSIG00000008044	Mus_spicilegus
MGP_SPRETEiJ_P0030089	MGP_SPRETEiJ_G0017678	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0028682	MGP_CAROLIEiJ_G0016834	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0035414	MGP_PahariEiJ_G0017971	Mus_pahari_strain_PAHARI_EIJ
ENSOANP00000012770	ENSOANG00000008031	Ornithorhynchus_anatinus
ENSPVIP00000000514	ENSPVIG00000000480	Pogona_vitticeps
ENSACAP00000009427	ENSACAG00000009640	Anolis_carolinensis
ENSNSUP00000002122	ENSNSUG00000001797	Notechis_scutatus
ENSSMRP00000007102	ENSSMRG00000005729	Salvator_merianae
ENSSPUP00000006684	ENSSPUG00000005139	Sphenodon_punctatus
ENSCPGP00000000287	ENSCPGG00000000243	Calidris_pygmaea
ENSCPUP00000002332	ENSCPUG00000001786	Calidris_pugnax
ENSMUNP00000000199	ENSMUNG00000000232	Melopsittacus_undulatus
ENSSCAP00000019591	ENSSCAG00000014140	Serinus_canaria
ENSLSDP00000021805	ENSLSDG00000015398	Lonchura_striata_domestica
ENSJHYP00000017363	ENSJHYG00000013268	Junco_hyemalis
ENSZALP00000022566	ENSZALG00000017533	Zonotrichia_albicollis
ENSCCEP00000018413	ENSCCEG00000016883	Cyanistes_caeruleus
ENSTGUP00000017417	ENSTGUG00000017138	Taeniopygia_guttata
ENSTGUP00000005052	ENSTGUG00000004915	Taeniopygia_guttata
ENSFALP00000002383	ENSFALG00000002290	Ficedula_albicollis
ENSPMJP00000024573	ENSPMJG00000018054	Parus_major
ENSLCOP00000000847	ENSLCOG00000000716	Lepidothrix_coronata
ENSMVIP00005015976	ENSMVIG00005011489	Manacus_vitellinus
ENSAPLP00000006597	ENSAPLG00000006987	Anas_platyrhynchos_platyrhynchos
ENSABRP00000013092	ENSABRG00000011669	Anser_brachyrhynchus
ENSAOWP00000004716	ENSAOWG00000003290	Apteryx_owenii
ENSDNVP00000017083	ENSDNVG00000011950	Dromaius_novaehollandiae
ENSCPRP00005002536	ENSCPRG00005001843	Crocodylus_porosus
ENSCPBP00000005965	ENSCPBG00000004765	Chrysemys_picta_bellii
ENSGAGP00000007817	ENSGAGG00000006229	Gopherus_agassizii
ENSEBUP00000027133	ENSEBUG00000016661	Eptatretus_burgeri
ENSHHUP00000068621	ENSHHUG00000040429	Hucho_hucho
ENSEBUP00000010249	ENSEBUG00000006587	Eptatretus_burgeri
