ENSMLUP00000008762	ENSMLUG00000009615	Myotis_lucifugus
ENSEASP00005003522	ENSEASG00005002713	Equus_asinus_asinus
ENSSARP00000011195	ENSSARG00000012404	Sorex_araneus
ENSLAFP00000019598	ENSLAFG00000014922	Loxodonta_africana
ENSNLEP00000032556	ENSNLEG00000030293	Nomascus_leucogenys
ENSPTRP00000016720	ENSPTRG00000009823	Pan_troglodytes
ENSSDUP00000010807	ENSSDUG00000007876	Seriola_dumerili
ENSMNEP00000002860	ENSMNEG00000013256	Macaca_nemestrina
ENSMZEP00005001757	ENSMZEG00005001419	Maylandia_zebra
ENSGGOP00000031733	ENSGGOG00000009826	Gorilla_gorilla
ENSPLAP00000016845	ENSPLAG00000021154	Poecilia_latipinna
ENSTSYP00000021595	ENSTSYG00000011746	Carlito_syrichta
ENSACIP00000020830	ENSACIG00000016071	Amphilophus_citrinellus
ENSMODP00000047052	ENSMODG00000025620	Monodelphis_domestica
ENSELUP00000007932	ENSELUG00000008661	Esox_lucius
ENSMMUP00000005412	ENSMMUG00000004051	Macaca_mulatta
ENSCGRP00000005728	ENSCGRG00000004192	Cricetulus_griseus_CriGri_1.0
ENSCAFP00020022723	ENSCAFG00020017932	Canis_lupus_dingo
ENSOPRP00000005496	ENSOPRG00000005979	Ochotona_princeps
ENSTNIP00000020250	ENSTNIG00000017115	Tetraodon_nigroviridis
ENSECAP00000028815	ENSECAG00000012547	Equus_caballus
ENSLOCP00000013507	ENSLOCG00000011003	Lepisosteus_oculatus
ENSMPUP00000005368	ENSMPUG00000005407	Mustela_putorius_furo
ENSOANP00000018418	ENSOANG00000011625	Ornithorhynchus_anatinus
ENSAMEP00000006949	ENSAMEG00000006581	Ailuropoda_melanoleuca
ENSTTRP00000015805	ENSTTRG00000016671	Tursiops_truncatus
ENSPSMP00000034005	ENSPSMG00000023425	Prolemur_simus
ENSHBUP00000014833	ENSHBUG00000016734	Haplochromis_burtoni
ENSPMAP00000005414	ENSPMAG00000004947	Petromyzon_marinus
ENSUAMP00000002646	ENSUAMG00000002413	Ursus_americanus
ENSLBEP00000021692	ENSLBEG00000016626	Labrus_bergylta
ENSCGRP00015000192	ENSCGRG00015000203	Cricetulus_griseus_CriGri-PICR
ENSOARP00000010111	ENSOARG00000009421	Ovis_aries
ENSVURP00010030282	ENSVURG00010023157	Vombatus_ursinus
ENSPSIP00000008254	ENSPSIG00000007577	Pelodiscus_sinensis
ENSDCDP00000018554	ENSDCDG00000014928	Denticeps_clupeoides
ENSPMGP00000014135	ENSPMGG00000011607	Periophthalmus_magnuspinnatus
ENSODEP00000006843	ENSODEG00000005113	Octodon_degus
ENSSSCP00000021666	ENSSSCG00000027169	Sus_scrofa_strain_reference
ENSRROP00000026109	ENSRROG00000036777	Rhinopithecus_roxellana
ENSSMAP00000028230	ENSSMAG00000017269	Scophthalmus_maximus
ENSVURP00010013886	ENSVURG00010010669	Vombatus_ursinus
ENSBMUP00000030105	ENSBMUG00000022505	Bos_mutus
ENSKMAP00000018976	ENSKMAG00000014103	Kryptolebias_marmoratus
ENSSPAP00000015098	ENSSPAG00000011359	Stegastes_partitus
ENSOCUP00000007495	ENSOCUG00000008678	Oryctolagus_cuniculus
ENSHHUP00000044255	ENSHHUG00000027085	Hucho_hucho
ENSSMRP00000021316	ENSSMRG00000016599	Salvator_merianae	ENSSMRT00000024984
ENSLCAP00010011321	ENSLCAG00010005245	Lates_calcarifer
ENSATEP00000006122	ENSATEG00000004238	Anabas_testudineus
ENSPCIP00000020587	ENSPCIG00000015652	Phascolarctos_cinereus
ENSPEMP00000028423	ENSPEMG00000023960	Peromyscus_maniculatus_bairdii
ENSCCAP00000032272	ENSCCAG00000034159	Cebus_capucinus_imitator
ENSECRP00000010805	ENSECRG00000007183	Erpetoichthys_calabaricus
ENSAOWP00000005681	ENSAOWG00000003887	Apteryx_owenii
ENSSFOP00015001894	ENSSFOG00015001233	Scleropages_formosus
ENSCSAVP00000000726	ENSCSAVG00000000410	Ciona_savignyi
ENSGMOP00000005785	ENSGMOG00000005433	Gadus_morhua
