ENSAHAP00000003082	ENSAHAG00000002480	Apteryx_haastii	ENSAHAT00000003483
ENSAOWP00000019970	ENSAOWG00000013516	Apteryx_owenii	ENSAOWT00000022618
ENSARWP00000023866	ENSARWG00000016260	Apteryx_rowi	ENSARWT00000027037
ENSDNVP00000017895	ENSDNVG00000012509	Dromaius_novaehollandiae
ENSNPEP00000001779	ENSNPEG00000001383	Nothoprocta_perdicaria
ENSABRP00000005551	ENSABRG00000005202	Anser_brachyrhynchus
ENSAPLP00000006917	ENSAPLG00000007277	Anas_platyrhynchos_platyrhynchos
ENSGALP00000003149	ENSGALG00000002029	Gallus_gallus
ENSMGAP00000003418	ENSMGAG00000003676	Meleagris_gallopavo
ENSCJPP00005012339	ENSCJPG00005010494	Coturnix_japonica
ENSNMEP00000002578	ENSNMEG00000003232	Numida_meleagris
ENSLCOP00000018857	ENSLCOG00000013326	Lepidothrix_coronata
ENSMVIP00005022049	ENSMVIG00005015472	Manacus_vitellinus
ENSJHYP00000006763	ENSJHYG00000005424	Junco_hyemalis
ENSZALP00000009515	ENSZALG00000008176	Zonotrichia_albicollis
ENSFALP00000014560	ENSFALG00000013950	Ficedula_albicollis
ENSPMJP00000014665	ENSPMJG00000011129	Parus_major
ENSCCEP00000001712	ENSCCEG00000001691	Cyanistes_caeruleus
ENSLSDP00000011692	ENSLSDG00000008592	Lonchura_striata_domestica
ENSTGUP00000000688	ENSTGUG00000000673	Taeniopygia_guttata
ENSSCAP00000007760	ENSSCAG00000005954	Serinus_canaria
ENSMUNP00000014160	ENSMUNG00000011030	Melopsittacus_undulatus
ENSCPGP00000000109	ENSCPGG00000000092	Calidris_pygmaea
ENSCPUP00000010157	ENSCPUG00000007197	Calidris_pugnax
ENSCPRP00005021743	ENSCPRG00005015111	Crocodylus_porosus
ENSGAGP00000027055	ENSGAGG00000019686	Gopherus_agassizii
ENSCABP00000004604	ENSCABG00000003462	Chelonoidis_abingdonii
ENSCPBP00000012978	ENSCPBG00000009758	Chrysemys_picta_bellii
ENSPSIP00000005054	ENSPSIG00000004703	Pelodiscus_sinensis
ENSSPUP00000007402	ENSSPUG00000005606	Sphenodon_punctatus
ENSACAP00000021520	ENSACAG00000026194	Anolis_carolinensis
ENSPVIP00000026514	ENSPVIG00000019793	Pogona_vitticeps
ENSNSUP00000023849	ENSNSUG00000017266	Notechis_scutatus
ENSSMRP00000000636	ENSSMRG00000000592	Salvator_merianae
ENSVURP00010012286	ENSVURG00010009501	Vombatus_ursinus	ENSVURT00010013987
ENSPCIP00000048032	ENSPCIG00000007303	Phascolarctos_cinereus	ENSPCIT00000065054
ENSMEUP00000001339	ENSMEUG00000001455	Notamacropus_eugenii	ENSMEUT00000001464
ENSSHAP00000014145	ENSSHAG00000012089	Sarcophilus_harrisii	ENSSHAT00000014262
ENSMODP00000006990	ENSMODG00000005644	Monodelphis_domestica	ENSMODT00000007130
ENSDORP00000001067	ENSDORG00000001138	Dipodomys_ordii
ENSCCNP00000032212	ENSCCNG00000030583	Castor_canadensis
ENSUPAP00010018171	ENSUPAG00010014450	Urocitellus_parryii
ENSSTOP00000006217	ENSSTOG00000006957	Ictidomys_tridecemlineatus
ENSCLAP00000020150	ENSCLAG00000013806	Chinchilla_lanigera
ENSODEP00000018090	ENSODEG00000013338	Octodon_degus
ENSHGLP00000025809	ENSHGLG00000018370	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005257	ENSHGLG00100003989	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000022605	ENSFDAG00000020962	Fukomys_damarensis
ENSCPOP00000010653	ENSCPOG00000011843	Cavia_porcellus
ENSCAPP00000005142	ENSCAPG00000007522	Cavia_aperea
ENSOPRP00000006944	ENSOPRG00000007585	Ochotona_princeps
ENSMUSP00000056792	ENSMUSG00000013858	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0024961	MGP_SPRETEiJ_G0016375	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0023809	MGP_CAROLIEiJ_G0015557	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0086963	MGP_PahariEiJ_G0030970	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017245	ENSRNOG00000012808	Rattus_norvegicus
ENSMUGP00000025224	ENSMUGG00000021056	Meriones_unguiculatus
ENSCGRP00001021534	ENSCGRG00001020349	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015008592	ENSCGRG00015006009	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000007757	ENSMAUG00000009335	Mesocricetus_auratus
ENSMOCP00000002199	ENSMOCG00000001729	Microtus_ochrogaster
ENSNGAP00000001949	ENSNGAG00000001459	Nannospalax_galili
ENSJJAP00000022900	ENSJJAG00000022827	Jaculus_jaculus
ENSECAP00000039345	ENSECAG00000032898	Equus_caballus
ENSFCAP00000060799	ENSFCAG00000029456	Felis_catus
ENSPCAP00000015141	ENSPCAG00000016164	Procavia_capensis
ENSPCOP00000001061	ENSPCOG00000003369	Propithecus_coquereli
ENSMICP00000038747	ENSMICG00000013006	Microcebus_murinus
ENSPSMP00000032670	ENSPSMG00000022590	Prolemur_simus
ENSOGAP00000020412	ENSOGAG00000025124	Otolemur_garnettii
ENSP00000349087	ENSG00000182087	Homo_sapiens
ENSGGOP00000010937	ENSGGOG00000011217	Gorilla_gorilla
ENSPTRP00000079167	ENSPTRG00000010176	Pan_troglodytes
ENSPPAP00000042241	ENSPPAG00000043701	Pan_paniscus
ENSPPYP00000010438	ENSPPYG00000009301	Pongo_abelii
ENSNLEP00000001353	ENSNLEG00000001014	Nomascus_leucogenys
ENSPTEP00000036808	ENSPTEG00000034533	Piliocolobus_tephrosceles
ENSCANP00000023042	ENSCANG00000034942	Colobus_angolensis_palliatus
ENSRROP00000029315	ENSRROG00000038463	Rhinopithecus_roxellana
ENSRBIP00000024121	ENSRBIG00000035963	Rhinopithecus_bieti
ENSMMUP00000017853	ENSMMUG00000013577	Macaca_mulatta
ENSMFAP00000007493	ENSMFAG00000038333	Macaca_fascicularis
ENSMNEP00000040331	ENSMNEG00000043060	Macaca_nemestrina
ENSCATP00000028537	ENSCATG00000037556	Cercocebus_atys
ENSPANP00000027209	ENSPANG00000018012	Papio_anubis
ENSTGEP00000011822	ENSTGEG00000009632	Theropithecus_gelada
ENSCSAP00000008665	ENSCSAG00000012483	Chlorocebus_sabaeus
ENSCCAP00000022624	ENSCCAG00000029104	Cebus_capucinus_imitator
ENSSBOP00000014319	ENSSBOG00000023930	Saimiri_boliviensis_boliviensis
ENSANAP00000042390	ENSANAG00000038478	Aotus_nancymaae
ENSTTRP00000001393	ENSTTRG00000001477	Tursiops_truncatus
ENSSSCP00000048199	ENSSSCG00000027779	Sus_scrofa_strain_reference
ENSBTAP00000054862	ENSBTAG00000011351	Bos_taurus
ENSBMUP00000015191	ENSBMUG00000011528	Bos_mutus
ENSBIXP00005026638	ENSBIXG00005028937	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000029308	ENSBIXG00000010890	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000023264	ENSBBBG00000017766	Bison_bison_bison
ENSCHIP00000033373	ENSCHIG00000026967	Capra_hircus
ENSOARP00000011090	ENSOARG00000010338	Ovis_aries
ENSUAMP00000006633	ENSUAMG00000005800	Ursus_americanus
ENSAMEP00000003250	ENSAMEG00000003079	Ailuropoda_melanoleuca
ENSCAFP00020021384	ENSCAFG00020016910	Canis_lupus_dingo
ENSCAFP00000041131	ENSCAFG00000019648	Canis_lupus_familiaris
ENSVVUP00000031182	ENSVVUG00000022731	Vulpes_vulpes
ENSNVIP00000003319	ENSNVIG00000002629	Neovison_vison
ENSMPUP00000009062	ENSMPUG00000009137	Mustela_putorius_furo
ENSPPRP00000023520	ENSPPRG00000013785	Panthera_pardus
ENSPVAP00000015635	ENSPVAG00000016568	Pteropus_vampyrus
ENSMLUP00000010696	ENSMLUG00000011743	Myotis_lucifugus
ENSEASP00005031686	ENSEASG00005021573	Equus_asinus_asinus
ENSSDAP00000005272	ENSSDAG00000004918	Spermophilus_dauricus
ENSMLEP00000024469	ENSMLEG00000036405	Mandrillus_leucophaeus
ENSUMAP00000007119	ENSUMAG00000005524	Ursus_maritimus
ENSOANP00000012923	ENSOANG00000008132	Ornithorhynchus_anatinus	ENSOANT00000012925
ENSMODP00000013283	ENSMODG00000010605	Monodelphis_domestica	ENSMODT00000013527
ENSLACP00000017331	ENSLACG00000015266	Latimeria_chalumnae
ENSAMXP00005041536	ENSAMXG00005019399	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000019390	ENSAMXG00000018810	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000018337	ENSPNAG00000003845	Pygocentrus_nattereri
ENSIPUP00000020258	ENSIPUG00000013742	Ictalurus_punctatus
ENSEEEP00000051684	ENSEEEG00000024271	Electrophorus_electricus
ENSDARP00000079593	ENSDARG00000060442	Danio_rerio
ENSCHAP00000056655	ENSCHAG00000025491	Clupea_harengus
ENSDCDP00000059506	ENSDCDG00000034283	Denticeps_clupeoides
ENSLOCP00000002123	ENSLOCG00000001828	Lepisosteus_oculatus
ENSSFOP00015033471	ENSSFOG00015021354	Scleropages_formosus
ENSECRP00000033810	ENSECRG00000022871	Erpetoichthys_calabaricus
ENSHHUP00000057786	ENSHHUG00000034412	Hucho_hucho
ENSELUP00000034712	ENSELUG00000013393	Esox_lucius
ENSPKIP00000021223	ENSPKIG00000005713	Paramormyrops_kingsleyae
ENSKMAP00000021965	ENSKMAG00000016325	Kryptolebias_marmoratus
ENSLBEP00000028651	ENSLBEG00000021707	Labrus_bergylta
ENSPLAP00000023687	ENSPLAG00000009259	Poecilia_latipinna
ENSPFOP00000009172	ENSPFOG00000009147	Poecilia_formosa
ENSFHEP00000035125	ENSFHEG00000023215	Fundulus_heteroclitus
ENSXMAP00000011853	ENSXMAG00000011819	Xiphophorus_maculatus
ENSXCOP00000020443	ENSXCOG00000015314	Xiphophorus_couchianus
ENSPREP00000008526	ENSPREG00000005803	Poecilia_reticulata
ENSCVAP00000028782	ENSCVAG00000016103	Cyprinodon_variegatus
ENSCSEP00000000999	ENSCSEG00000000693	Cynoglossus_semilaevis
ENSTNIP00000007388	ENSTNIG00000004735	Tetraodon_nigroviridis
ENSTRUP00000019004	ENSTRUG00000007665	Takifugu_rubripes
ENSPMGP00000001674	ENSPMGG00000001500	Periophthalmus_magnuspinnatus
ENSMALP00000030619	ENSMALG00000021138	Monopterus_albus
ENSMAMP00000024905	ENSMAMG00000016720	Mastacembelus_armatus
ENSATEP00000009560	ENSATEG00000006733	Anabas_testudineus
ENSBSLP00000019026	ENSBSLG00000009848	Betta_splendens
ENSSLDP00000024817	ENSSLDG00000019327	Seriola_lalandi_dorsalis
ENSSDUP00000021048	ENSSDUG00000015300	Seriola_dumerili
ENSLCRP00005042438	ENSLCRG00005016269	Larimichthys_crocea
ENSSMAP00000023578	ENSSMAG00000014372	Scophthalmus_maximus
ENSCGOP00000015584	ENSCGOG00000007349	Cottoperca_gobio
ENSMMOP00000010381	ENSMMOG00000008008	Mola_mola
ENSAPEP00000005280	ENSAPEG00000003748	Amphiprion_percula
ENSAOCP00000018497	ENSAOCG00000023698	Amphiprion_ocellaris
ENSAPOP00000000659	ENSAPOG00000001869	Acanthochromis_polyacanthus
ENSSPAP00000016337	ENSSPAG00000012296	Stegastes_partitus
ENSPRNP00000006683	ENSPRNG00000003994	Parambassis_ranga
ENSACLP00000029144	ENSACLG00000019759	Astatotilapia_calliptera
ENSMZEP00005028044	ENSMZEG00005020922	Maylandia_zebra
ENSPNYP00000017864	ENSPNYG00000013492	Pundamilia_nyererei
ENSHBUP00000006238	ENSHBUG00000007646	Haplochromis_burtoni
ENSONIP00000005740	ENSONIG00000004559	Oreochromis_niloticus
ENSNBRP00000008365	ENSNBRG00000006514	Neolamprologus_brichardi
ENSACIP00000031353	ENSACIG00000024228	Amphilophus_citrinellus
ENSORLP00015026719	ENSORLG00015000248	Oryzias_latipes_ASM223469v1
ENSORLP00020028821	ENSORLG00020012509	Oryzias_latipes_ASM223471v1
ENSORLP00000000131	ENSORLG00000000105	Oryzias_latipes_ASM223467v1
ENSOMEP00000013908	ENSOMEG00000015381	Oryzias_melastigma
ENSLCAP00010055039	ENSLCAG00010025676	Lates_calcarifer
ENSGAFP00000002043	ENSGAFG00000001400	Gambusia_affinis
ENSGACP00000017685	ENSGACG00000013380	Gasterosteus_aculeatus
ENSHCOP00000028097	ENSHCOG00000020473	Hippocampus_comes
ENSGWIP00000000630	ENSGWIG00000000408	Gouania_willdenowi
ENSGMOP00000002614	ENSGMOG00000002462	Gadus_morhua
ENSHHUP00000047557	ENSHHUG00000028892	Hucho_hucho
ENSCMIP00000020601	ENSCMIG00000009476	Callorhinchus_milii
ENSXETP00000000851	ENSXETG00000002103	Xenopus_tropicalis
ENSEBUP00000022947	ENSEBUG00000014145	Eptatretus_burgeri
ENSCSAVP00000005238	ENSCSAVG00000003118	Ciona_savignyi
ENSCINP00000035776	ENSCING00000022189	Ciona_intestinalis
FBpp0309034	FBgn0034071	Drosophila_melanogaster
Y59C2A.2.1	WBGene00021985	Caenorhabditis_elegans_strain_N2
