ENSDCDP00000056605	ENSDCDG00000033215	Denticeps_clupeoides
ENSDARP00000120948	ENSDARG00000020279	Danio_rerio
ENSHHUP00000026952	ENSHHUG00000017023	Hucho_hucho
ENSELUP00000023306	ENSELUG00000022175	Esox_lucius
ENSPMGP00000012996	ENSPMGG00000010712	Periophthalmus_magnuspinnatus
ENSHCOP00000004263	ENSHCOG00000005809	Hippocampus_comes
ENSTRUP00000047433	ENSTRUG00000018527	Takifugu_rubripes
ENSTNIP00000021268	ENSTNIG00000018103	Tetraodon_nigroviridis
ENSMMOP00000002001	ENSMMOG00000001664	Mola_mola
ENSLCRP00005015358	ENSLCRG00005006380	Larimichthys_crocea
ENSLBEP00000019198	ENSLBEG00000014769	Labrus_bergylta
ENSCGOP00000048427	ENSCGOG00000021628	Cottoperca_gobio
ENSGACP00000009219	ENSGACG00000006949	Gasterosteus_aculeatus
ENSAPEP00000015524	ENSAPEG00000011064	Amphiprion_percula
ENSAOCP00000021675	ENSAOCG00000006630	Amphiprion_ocellaris
ENSAPOP00000030308	ENSAPOG00000016799	Acanthochromis_polyacanthus
ENSSPAP00000026424	ENSSPAG00000019938	Stegastes_partitus
ENSFHEP00000000668	ENSFHEG00000001397	Fundulus_heteroclitus
ENSCVAP00000020908	ENSCVAG00000002607	Cyprinodon_variegatus
ENSXCOP00000010936	ENSXCOG00000008259	Xiphophorus_couchianus
ENSXMAP00000028268	ENSXMAG00000002173	Xiphophorus_maculatus
ENSGAFP00000012832	ENSGAFG00000008678	Gambusia_affinis
ENSPFOP00000008727	ENSPFOG00000008536	Poecilia_formosa
ENSPMEP00000013345	ENSPMEG00000015617	Poecilia_mexicana
ENSPLAP00000024844	ENSPLAG00000011367	Poecilia_latipinna
ENSPREP00000030487	ENSPREG00000020648	Poecilia_reticulata
ENSKMAP00000015179	ENSKMAG00000011356	Kryptolebias_marmoratus
ENSORLP00000012916	ENSORLG00000010304	Oryzias_latipes_ASM223467v1
ENSORLP00020009738	ENSORLG00020010622	Oryzias_latipes_ASM223471v1
ENSORLP00015005896	ENSORLG00015006701	Oryzias_latipes_ASM223469v1
ENSOMEP00000026345	ENSOMEG00000008114	Oryzias_melastigma
ENSHBUP00000033595	ENSHBUG00000001008	Haplochromis_burtoni
ENSPNYP00000023334	ENSPNYG00000017537	Pundamilia_nyererei
ENSACLP00000002280	ENSACLG00000001579	Astatotilapia_calliptera
ENSMZEP00005016645	ENSMZEG00005012504	Maylandia_zebra
ENSNBRP00000024227	ENSNBRG00000018471	Neolamprologus_brichardi
ENSONIP00000011091	ENSONIG00000008819	Oreochromis_niloticus
ENSACIP00000015422	ENSACIG00000011953	Amphilophus_citrinellus
ENSMALP00000025759	ENSMALG00000017861	Monopterus_albus
ENSMAMP00000013578	ENSMAMG00000009206	Mastacembelus_armatus
