ENSBTAP00000063846	ENSBTAG00000006661	Bos_taurus
ENSLCAP00010030710	ENSLCAG00010014430	Lates_calcarifer
ENSMUSP00000009003	ENSMUSG00000008859	Mus_musculus_strain_reference_(CL57BL6)
ENSPEMP00000032863	ENSPEMG00000026406	Peromyscus_maniculatus_bairdii
ENSSMAP00000031619	ENSSMAG00000019372	Scophthalmus_maximus
ENSDNOP00000023866	ENSDNOG00000046497	Dasypus_novemcinctus
ENSDARP00000066862	ENSDARG00000045463	Danio_rerio
ENSCJPP00005006710	ENSCJPG00005006219	Coturnix_japonica
ENSSLDP00000026460	ENSSLDG00000020576	Seriola_lalandi_dorsalis
ENSONIP00000008024	ENSONIG00000006367	Oreochromis_niloticus
ENSCHAP00000022414	ENSCHAG00000011185	Clupea_harengus
ENSCPOP00000027953	ENSCPOG00000037731	Cavia_porcellus
ENSPSIP00000019889	ENSPSIG00000017626	Pelodiscus_sinensis
ENSEBUP00000026495	ENSEBUG00000016316	Eptatretus_burgeri
ENSLSDP00000003133	ENSLSDG00000002404	Lonchura_striata_domestica
ENSCHOP00000007837	ENSCHOG00000008861	Choloepus_hoffmanni
ENSHHUP00000034709	ENSHHUG00000021831	Hucho_hucho
ENSPMAP00000001556	ENSPMAG00000001407	Petromyzon_marinus
ENSGGOP00000037801	ENSGGOG00000039456	Gorilla_gorilla
ENSHGLP00100010864	ENSHGLG00100008066	Heterocephalus_glaber_HetGla_1.0
ENSSCAP00000023401	ENSSCAG00000016777	Serinus_canaria
ENSHGLP00100026249	ENSHGLG00100019261	Heterocephalus_glaber_HetGla_1.0
ENSSFOP00015031842	ENSSFOG00015020396	Scleropages_formosus
ENSXETP00000004982	ENSXETG00000003419	Xenopus_tropicalis	ENSXETT00000015234
ENSPPRP00000005756	ENSPPRG00000001413	Panthera_pardus
ENSPPYP00000019748	ENSPPYG00000017619	Pongo_abelii
ENSORLP00000041223	ENSORLG00000012700	Oryzias_latipes_ASM223467v1
ENSCANP00000018266	ENSCANG00000032587	Colobus_angolensis_palliatus
ENSTGUP00000001912	ENSTGUG00000001854	Taeniopygia_guttata
ENSMZEP00005025091	ENSMZEG00005018734	Maylandia_zebra
ENSIPUP00000000207	ENSIPUG00000000156	Ictalurus_punctatus
ENSPREP00000002768	ENSPREG00000002019	Poecilia_reticulata
ENSCPBP00000035737	ENSCPBG00000024854	Chrysemys_picta_bellii
ENSCHIP00000011363	ENSCHIG00000013549	Capra_hircus
ENSUAMP00000031015	ENSUAMG00000023818	Ursus_americanus
ENSCCNP00000016698	ENSCCNG00000017000	Castor_canadensis
ENSCLAP00000009327	ENSCLAG00000006479	Chinchilla_lanigera
ENSPTEP00000036505	ENSPTEG00000034295	Piliocolobus_tephrosceles
ENSIPUP00000004042	ENSIPUG00000002855	Ictalurus_punctatus
ENSARWP00000019169	ENSARWG00000013147	Apteryx_rowi
ENSNVIP00000010283	ENSNVIG00000008132	Neovison_vison
ENSNSUP00000013989	ENSNSUG00000010367	Notechis_scutatus	ENSNSUT00000014893
ENSAMXP00000019659	ENSAMXG00000019088	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSP00000005257	ENSG00000006451	Homo_sapiens
ENSMVIP00005014452	ENSMVIG00005010447	Manacus_vitellinus
ENSEASP00005025800	ENSEASG00005017614	Equus_asinus_asinus
ENSGMOP00000010187	ENSGMOG00000009539	Gadus_morhua
ENSUPAP00010002222	ENSUPAG00010001880	Urocitellus_parryii
ENSZALP00000018233	ENSZALG00000014628	Zonotrichia_albicollis
ENSCVAP00000029071	ENSCVAG00000016551	Cyprinodon_variegatus
ENSTSYP00000020767	ENSTSYG00000030400	Carlito_syrichta
ENSVVUP00000007367	ENSVVUG00000005586	Vulpes_vulpes
ENSPCIP00000005198	ENSPCIG00000004323	Phascolarctos_cinereus
ENSMPUP00000018024	ENSMPUG00000018135	Mustela_putorius_furo
ENSFDAP00000022661	ENSFDAG00000021000	Fukomys_damarensis
ENSNBRP00000014879	ENSNBRG00000011524	Neolamprologus_brichardi
ENSTNIP00000016655	ENSTNIG00000013655	Tetraodon_nigroviridis
ENSPMAP00000003868	ENSPMAG00000003545	Petromyzon_marinus
ENSMMUP00000068399	ENSMMUG00000050621	Macaca_mulatta
ENSMGAP00000012871	ENSMGAG00000012244	Meleagris_gallopavo
ENSCAFP00000037840	ENSCAFG00000030906	Canis_lupus_familiaris
ENSNMEP00000023460	ENSNMEG00000019985	Numida_meleagris
ENSETEP00000012768	ENSETEG00000015742	Echinops_telfairi
ENSPPAP00000000947	ENSPPAG00000003692	Pan_paniscus
ENSVURP00010016691	ENSVURG00010012785	Vombatus_ursinus
ENSHCOP00000023840	ENSHCOG00000012702	Hippocampus_comes
ENSJJAP00000003347	ENSJJAG00000006484	Jaculus_jaculus
ENSPTRP00000032640	ENSPTRG00000019108	Pan_troglodytes
ENSCPGP00000007989	ENSCPGG00000005693	Calidris_pygmaea
ENSPPAP00000010638	ENSPPAG00000028521	Pan_paniscus
ENSORLP00015004032	ENSORLG00015004780	Oryzias_latipes_ASM223469v1
ENSPKIP00000019130	ENSPKIG00000004423	Paramormyrops_kingsleyae
ENSPMGP00000000857	ENSPMGG00000000795	Periophthalmus_magnuspinnatus
ENSLBEP00000014298	ENSLBEG00000011106	Labrus_bergylta
ENSACLP00000009452	ENSACLG00000006454	Astatotilapia_calliptera
ENSMODP00000058544	ENSMODG00000012643	Monodelphis_domestica
ENSAOWP00000012581	ENSAOWG00000008606	Apteryx_owenii
ENSSTOP00000022666	ENSSTOG00000020292	Ictidomys_tridecemlineatus
ENSPVAP00000013564	ENSPVAG00000014390	Pteropus_vampyrus
ENSTRUP00000048624	ENSTRUG00000013360	Takifugu_rubripes
ENSPNYP00000004648	ENSPNYG00000003614	Pundamilia_nyererei
ENSRBIP00000031539	ENSRBIG00000039597	Rhinopithecus_bieti
ENSFHEP00000022503	ENSFHEG00000002894	Fundulus_heteroclitus
ENSLAFP00000015040	ENSLAFG00000017942	Loxodonta_africana
ENSPMEP00000007103	ENSPMEG00000008703	Poecilia_mexicana
ENSCGRP00015011667	ENSCGRG00015008948	Cricetulus_griseus_CriGri-PICR
MGP_CAROLIEiJ_P0033737	MGP_CAROLIEiJ_G0018247	Mus_caroli_strain_CAROLI_EIJ
ENSCSEP00000030308	ENSCSEG00000019417	Cynoglossus_semilaevis
ENSPTRP00000074059	ENSPTRG00000050322	Pan_troglodytes
ENSJHYP00000010583	ENSJHYG00000008300	Junco_hyemalis
ENSSHAP00000013551	ENSSHAG00000011583	Sarcophilus_harrisii
ENSCSAP00000011316	ENSCSAG00000015217	Chlorocebus_sabaeus
ENSAPEP00000014912	ENSAPEG00000010634	Amphiprion_percula
ENSEEUP00000006411	ENSEEUG00000007060	Erinaceus_europaeus
ENSATEP00000034063	ENSATEG00000023391	Anabas_testudineus
ENSOMEP00000000277	ENSOMEG00000001176	Oryzias_melastigma
ENSMNEP00000009011	ENSMNEG00000028965	Macaca_nemestrina
ENSSPUP00000018529	ENSSPUG00000014308	Sphenodon_punctatus	ENSSPUT00000019741
ENSCGRP00001010379	ENSCGRG00001012283	Cricetulus_griseus_CHOK1GS_HDv1
ENSNGAP00000020791	ENSNGAG00000020171	Nannospalax_galili
ENSSBOP00000008405	ENSSBOG00000021115	Saimiri_boliviensis_boliviensis
ENSPRNP00000041458	ENSPRNG00000020297	Parambassis_ranga
ENSMICP00000036459	ENSMICG00000038516	Microcebus_murinus
ENSDCDP00000009260	ENSDCDG00000004662	Denticeps_clupeoides
ENSBIXP00005038096	ENSBIXG00005020138	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSRNOP00000018190	ENSRNOG00000013454	Rattus_norvegicus
ENSPCOP00000012938	ENSPCOG00000018071	Propithecus_coquereli
ENSOCUP00000022638	ENSOCUG00000025531	Oryctolagus_cuniculus
ENSHBUP00000029689	ENSHBUG00000014274	Haplochromis_burtoni
ENSPANP00000015417	ENSPANG00000022183	Papio_anubis
ENSCATP00000009280	ENSCATG00000028248	Cercocebus_atys
ENSGACP00000006577	ENSGACG00000004967	Gasterosteus_aculeatus
ENSDORP00000023020	ENSDORG00000024439	Dipodomys_ordii
ENSCATP00000043907	ENSCATG00000044466	Cercocebus_atys
ENSHHUP00000078547	ENSHHUG00000045833	Hucho_hucho
ENSGGOP00000002860	ENSGGOG00000002908	Gorilla_gorilla
ENSGALP00000046619	ENSGALG00000031893	Gallus_gallus
ENSAPLP00000026550	ENSAPLG00000004950	Anas_platyrhynchos_platyrhynchos
ENSCCAP00000024138	ENSCCAG00000029848	Cebus_capucinus_imitator
ENSOARP00000018949	ENSOARG00000017660	Ovis_aries
ENSBBBP00000008087	ENSBBBG00000016078	Bison_bison_bison
ENSMEUP00000000237	ENSMEUG00000000259	Notamacropus_eugenii
ENSDARP00000012139	ENSDARG00000016253	Danio_rerio
ENSMSIP00000002746	ENSMSIG00000002581	Mus_spicilegus
ENSMLEP00000010441	ENSMLEG00000029414	Mandrillus_leucophaeus
ENSLACP00000006336	ENSLACG00000005622	Latimeria_chalumnae	ENSLACT00000006389
ENSANAP00000025735	ENSANAG00000030583	Aotus_nancymaae
ENSVPAP00000002601	ENSVPAG00000002810	Vicugna_pacos
ENSMAUP00000006797	ENSMAUG00000008652	Mesocricetus_auratus
ENSBMUP00000005633	ENSBMUG00000004423	Bos_mutus
ENSMALP00000018770	ENSMALG00000013026	Monopterus_albus
ENSAMEP00000008793	ENSAMEG00000008355	Ailuropoda_melanoleuca
ENSMAMP00000016412	ENSMAMG00000011113	Mastacembelus_armatus
ENSCJAP00000067589	ENSCJAG00000039772	Callithrix_jacchus
ENSSPAP00000012714	ENSSPAG00000009640	Stegastes_partitus
ENSPTEP00000006460	ENSPTEG00000007406	Piliocolobus_tephrosceles
ENSNLEP00000003716	ENSNLEG00000003055	Nomascus_leucogenys
ENSAMXP00005036786	ENSAMXG00005017543	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPANP00000047688	ENSPANG00000018821	Papio_anubis
ENSCPUP00000008525	ENSCPUG00000006130	Calidris_pugnax
ENSOPRP00000013831	ENSOPRG00000015161	Ochotona_princeps
ENSAOCP00000017042	ENSAOCG00000022085	Amphiprion_ocellaris
ENSOANP00000015007	ENSOANG00000009445	Ornithorhynchus_anatinus
ENSACIP00000001421	ENSACIG00000001178	Amphilophus_citrinellus
ENSECAP00000014625	ENSECAG00000017044	Equus_caballus
ENSPPAP00000010591	ENSPPAG00000028502	Pan_paniscus
ENSABRP00000010810	ENSABRG00000009721	Anser_brachyrhynchus
ENSPNAP00000020989	ENSPNAG00000027973	Pygocentrus_nattereri
ENSAHAP00000001625	ENSAHAG00000001379	Apteryx_haastii
ENSEEEP00000015475	ENSEEEG00000007673	Electrophorus_electricus
ENSMFAP00000003976	ENSMFAG00000001704	Macaca_fascicularis
ENSMLEP00000003362	ENSMLEG00000014509	Mandrillus_leucophaeus
ENSMUGP00000018286	ENSMUGG00000015496	Meriones_unguiculatus
ENSAMXP00000000996	ENSAMXG00000000974	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSELUP00000028835	ENSELUG00000005575	Esox_lucius
ENSBIXP00000036624	ENSBIXG00000020096	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCMIP00000035786	ENSCMIG00000015128	Callorhinchus_milii	ENSCMIT00000036315
ENSMMOP00000005844	ENSMMOG00000004585	Mola_mola
ENSMLUP00000008812	ENSMLUG00000009687	Myotis_lucifugus
ENSPNAP00000001235	ENSPNAG00000008039	Pygocentrus_nattereri
ENSSSCP00000061817	ENSSSCG00000048439	Sus_scrofa_strain_reference
ENSACAP00000017330	ENSACAG00000017605	Anolis_carolinensis	ENSACAT00000017670
ENSEBUP00000005951	ENSEBUG00000003980	Eptatretus_burgeri
ENSKMAP00000024447	ENSKMAG00000018128	Kryptolebias_marmoratus
ENSSFOP00015027962	ENSSFOG00015017945	Scleropages_formosus
ENSFALP00000005386	ENSFALG00000005170	Ficedula_albicollis
ENSPMJP00000024569	ENSPMJG00000018050	Parus_major
ENSGMOP00000020887	ENSGMOG00000019417	Gadus_morhua
ENSOCUP00000042617	ENSOCUG00000016581	Oryctolagus_cuniculus
ENSECRP00000004330	ENSECRG00000002936	Erpetoichthys_calabaricus	ENSECRT00000004397
ENSMMMP00000013437	ENSMMMG00000011989	Marmota_marmota_marmota
ENSCGRP00001010603	ENSCGRG00001012449	Cricetulus_griseus_CHOK1GS_HDv1
ENSCPRP00005015958	ENSCPRG00005011156	Crocodylus_porosus	ENSCPRT00005018687
ENSCAPP00000009854	ENSCAPG00000011243	Cavia_aperea
ENSSDUP00000010316	ENSSDUG00000007547	Seriola_dumerili
ENSCABP00000000416	ENSCABG00000000393	Chelonoidis_abingdonii
ENSGWIP00000052383	ENSGWIG00000025282	Gouania_willdenowi
ENSEEEP00000046082	ENSEEEG00000021717	Electrophorus_electricus
ENSRROP00000030648	ENSRROG00000039058	Rhinopithecus_roxellana
ENSPFOP00000019527	ENSPFOG00000019406	Poecilia_formosa
ENSCAFP00020030073	ENSCAFG00020023437	Canis_lupus_dingo
ENSBSLP00000015994	ENSBSLG00000008442	Betta_splendens
ENSPTIP00000001780	ENSPTIG00000004587	Panthera_tigris_altaica
ENSOGAP00000009160	ENSOGAG00000010244	Otolemur_garnettii
ENSDNVP00000011334	ENSDNVG00000008005	Dromaius_novaehollandiae
ENSMFAP00000026182	ENSMFAG00000044557	Macaca_fascicularis
ENSORLP00020023565	ENSORLG00020004488	Oryzias_latipes_ASM223471v1
ENSPVIP00000004619	ENSPVIG00000003758	Pogona_vitticeps
ENSCGRP00000002846	ENSCGRG00000002082	Cricetulus_griseus_CriGri_1.0
ENSAMXP00005051392	ENSAMXG00005023222	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTBEP00000008773	ENSTBEG00000010148	Tupaia_belangeri
ENSGAFP00000027451	ENSGAFG00000018548	Gambusia_affinis
ENSELUP00000008233	ENSELUG00000008895	Esox_lucius
ENSCGRP00000024553	ENSCGRG00000017795	Cricetulus_griseus_CriGri_1.0
MGP_SPRETEiJ_P0035296	MGP_SPRETEiJ_G0019103	Mus_spretus_strain_SPRET/EiJ
ENSMLEP00000026117	ENSMLEG00000037266	Mandrillus_leucophaeus
ENSHGLP00000026873	ENSHGLG00000019113	Heterocephalus_glaber_HetGla_female_1.0
ENSLCRP00005051423	ENSLCRG00005019368	Larimichthys_crocea
ENSLOCP00000014688	ENSLOCG00000011940	Lepisosteus_oculatus
ENSHGLP00000010865	ENSHGLG00000007794	Heterocephalus_glaber_HetGla_female_1.0
ENSSDAP00000005503	ENSSDAG00000005158	Spermophilus_dauricus
ENSTGEP00000018084	ENSTGEG00000014631	Theropithecus_gelada
ENSODEP00000010539	ENSODEG00000007864	Octodon_degus
ENSXMAP00000022050	ENSXMAG00000026299	Xiphophorus_maculatus
ENSMOCP00000000207	ENSMOCG00000000189	Microtus_ochrogaster
ENSGAGP00000018363	ENSGAGG00000013598	Gopherus_agassizii
ENSMUNP00000011191	ENSMUNG00000008787	Melopsittacus_undulatus
ENSPLAP00000024311	ENSPLAG00000010408	Poecilia_latipinna
ENSDCDP00000003739	ENSDCDG00000001902	Denticeps_clupeoides
ENSTTRP00000010097	ENSTTRG00000010652	Tursiops_truncatus
ENSUMAP00000013630	ENSUMAG00000010042	Ursus_maritimus
ENSFCAP00000018215	ENSFCAG00000025425	Felis_catus
MGP_PahariEiJ_P0040333	MGP_PahariEiJ_G0019297	Mus_pahari_strain_PAHARI_EIJ
ENSSARP00000012529	ENSSARG00000013873	Sorex_araneus
ENSPSMP00000032038	ENSPSMG00000022210	Prolemur_simus
