ENSSCAP00000011270	ENSSCAG00000008481	Serinus_canaria
ENSLSDP00000023900	ENSLSDG00000016809	Lonchura_striata_domestica
ENSSFOP00015010077	ENSSFOG00015006552	Scleropages_formosus
ENSCPUP00000004332	ENSCPUG00000003218	Calidris_pugnax
ENSMUNP00000019823	ENSMUNG00000015125	Melopsittacus_undulatus
ENSECRP00000014291	ENSECRG00000009546	Erpetoichthys_calabaricus	ENSECRT00000014539
ENSAPLP00000030638	ENSAPLG00000019979	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000016640	ENSAOWG00000011340	Apteryx_owenii
ENSCPGP00000014401	ENSCPGG00000010190	Calidris_pygmaea
ENSJHYP00000012491	ENSJHYG00000009734	Junco_hyemalis
ENSCCEP00000010379	ENSCCEG00000010337	Cyanistes_caeruleus
ENSCPBP00000000050	ENSCPBG00000000065	Chrysemys_picta_bellii
ENSARWP00000007065	ENSARWG00000004953	Apteryx_rowi
ENSCPRP00005004901	ENSCPRG00005003525	Crocodylus_porosus
ENSGAGP00000011646	ENSGAGG00000008991	Gopherus_agassizii
ENSCABP00000027555	ENSCABG00000020248	Chelonoidis_abingdonii
ENSNSUP00000000968	ENSNSUG00000000905	Notechis_scutatus
ENSCMIP00000023567	ENSCMIG00000010501	Callorhinchus_milii
ENSPVIP00000008346	ENSPVIG00000006740	Pogona_vitticeps
ENSNPEP00000011883	ENSNPEG00000008913	Nothoprocta_perdicaria
ENSAHAP00000000227	ENSAHAG00000000236	Apteryx_haastii
ENSZALP00000011782	ENSZALG00000009925	Zonotrichia_albicollis
ENSPKIP00000014983	ENSPKIG00000001847	Paramormyrops_kingsleyae
ENSXETP00000040534	ENSXETG00000010423	Xenopus_tropicalis
ENSMVIP00005004175	ENSMVIG00005003215	Manacus_vitellinus
ENSPMJP00000016816	ENSPMJG00000012669	Parus_major
ENSLCOP00000011048	ENSLCOG00000008014	Lepidothrix_coronata
ENSSMRP00000013192	ENSSMRG00000010274	Salvator_merianae
