ENSCINP00000022552	ENSCING00000011930	Ciona_intestinalis
ENSCSAVP00000004780	ENSCSAVG00000002852	Ciona_savignyi
ENSGALP00000067138	ENSGALG00000012265	Gallus_gallus
ENSMGAP00000013158	ENSMGAG00000012490	Meleagris_gallopavo
ENSCJPP00005016603	ENSCJPG00005013626	Coturnix_japonica
ENSNMEP00000012829	ENSNMEG00000011793	Numida_meleagris
ENSABRP00000002146	ENSABRG00000002134	Anser_brachyrhynchus
ENSAPLP00000027593	ENSAPLG00000030213	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000008459	ENSLSDG00000006326	Lonchura_striata_domestica
ENSTGUP00000010813	ENSTGUG00000010485	Taeniopygia_guttata
ENSCCEP00000005838	ENSCCEG00000006368	Cyanistes_caeruleus
ENSPMJP00000009928	ENSPMJG00000007889	Parus_major
ENSZALP00000007475	ENSZALG00000006653	Zonotrichia_albicollis
ENSJHYP00000007469	ENSJHYG00000005952	Junco_hyemalis
ENSSCAP00000005364	ENSSCAG00000004295	Serinus_canaria
ENSFALP00000013293	ENSFALG00000012726	Ficedula_albicollis
ENSMVIP00005025813	ENSMVIG00005018023	Manacus_vitellinus
ENSLCOP00000000351	ENSLCOG00000000330	Lepidothrix_coronata
ENSMUNP00000000758	ENSMUNG00000000705	Melopsittacus_undulatus
ENSCPGP00000027368	ENSCPGG00000018856	Calidris_pygmaea
ENSCPUP00000022763	ENSCPUG00000015470	Calidris_pugnax
ENSARWP00000026633	ENSARWG00000018011	Apteryx_rowi
ENSAOWP00000015628	ENSAOWG00000010634	Apteryx_owenii
ENSAHAP00000001168	ENSAHAG00000001006	Apteryx_haastii
ENSDNVP00000016391	ENSDNVG00000011491	Dromaius_novaehollandiae
ENSNPEP00000015995	ENSNPEG00000011930	Nothoprocta_perdicaria
ENSCPRP00005027423	ENSCPRG00005018995	Crocodylus_porosus
ENSACAP00000015087	ENSACAG00000015329	Anolis_carolinensis
ENSPVIP00000033690	ENSPVIG00000024620	Pogona_vitticeps
ENSNSUP00000006556	ENSNSUG00000005193	Notechis_scutatus
ENSSMRP00000020137	ENSSMRG00000015693	Salvator_merianae
ENSSPUP00000014830	ENSSPUG00000011445	Sphenodon_punctatus
ENSGAGP00000030153	ENSGAGG00000021755	Gopherus_agassizii
ENSCABP00000022816	ENSCABG00000016715	Chelonoidis_abingdonii
ENSCPBP00000032874	ENSCPBG00000023034	Chrysemys_picta_bellii
ENSPSIP00000015273	ENSPSIG00000013661	Pelodiscus_sinensis
ENSAHAP00000001180	ENSAHAG00000001019	Apteryx_haastii
ENSNPEP00000015996	ENSNPEG00000011931	Nothoprocta_perdicaria
ENSAPLP00000032726	ENSAPLG00000028128	Anas_platyrhynchos_platyrhynchos
ENSNSUP00000006557	ENSNSUG00000005194	Notechis_scutatus
ENSVURP00010004658	ENSVURG00010003697	Vombatus_ursinus
ENSPCIP00000015441	ENSPCIG00000012002	Phascolarctos_cinereus
ENSMEUP00000013134	ENSMEUG00000014364	Notamacropus_eugenii
ENSMODP00000023800	ENSMODG00000019066	Monodelphis_domestica
ENSSHAP00000009997	ENSSHAG00000008650	Sarcophilus_harrisii
ENSUMAP00000020667	ENSUMAG00000015061	Ursus_maritimus
ENSUAMP00000026473	ENSUAMG00000020500	Ursus_americanus
ENSAMEP00000010842	ENSAMEG00000010290	Ailuropoda_melanoleuca
ENSNVIP00000002853	ENSNVIG00000002265	Neovison_vison
ENSMPUP00000012876	ENSMPUG00000012976	Mustela_putorius_furo
ENSCAFP00020004479	ENSCAFG00020003696	Canis_lupus_dingo
ENSCAFP00000002080	ENSCAFG00000001442	Canis_lupus_familiaris
ENSVVUP00000033203	ENSVVUG00000024016	Vulpes_vulpes
ENSPPRP00000024244	ENSPPRG00000014478	Panthera_pardus
ENSPTIP00000019501	ENSPTIG00000017255	Panthera_tigris_altaica
ENSFCAP00000054563	ENSFCAG00000004281	Felis_catus
ENSEEUP00000009941	ENSEEUG00000010878	Erinaceus_europaeus
ENSECAP00000042528	ENSECAG00000016043	Equus_caballus
ENSEASP00005027634	ENSEASG00005018808	Equus_asinus_asinus
ENSPVAP00000009527	ENSPVAG00000010104	Pteropus_vampyrus
ENSMLUP00000013014	ENSMLUG00000014301	Myotis_lucifugus
ENSTTRP00000004538	ENSTTRG00000004814	Tursiops_truncatus
ENSSSCP00000039865	ENSSSCG00000000118	Sus_scrofa_strain_reference
ENSBIXP00005023805	ENSBIXG00005026485	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
