ENSPRNP00000049032	ENSPRNG00000022726	Parambassis_ranga
ENSHHUP00000086782	ENSHHUG00000050053	Hucho_hucho
ENSPVAP00000008004	ENSPVAG00000008477	Pteropus_vampyrus
ENSGAGP00000012101	ENSGAGG00000009314	Gopherus_agassizii	ENSGAGT00000013861
ENSPNYP00000023034	ENSPNYG00000017364	Pundamilia_nyererei
ENSOARP00000009161	ENSOARG00000008540	Ovis_aries
ENSXCOP00000016174	ENSXCOG00000012229	Xiphophorus_couchianus
ENSXCOP00000016173	ENSXCOG00000012226	Xiphophorus_couchianus
ENSMUGP00000000724	ENSMUGG00000000686	Meriones_unguiculatus
ENSCJPP00005026777	ENSCJPG00005020806	Coturnix_japonica
ENSACAP00000007659	ENSACAG00000007694	Anolis_carolinensis
ENSSCAP00000003432	ENSSCAG00000002882	Serinus_canaria
ENSIPUP00000020956	ENSIPUG00000014161	Ictalurus_punctatus
ENSMMMP00000011128	ENSMMMG00000009864	Marmota_marmota_marmota
ENSMFAP00000019384	ENSMFAG00000032697	Macaca_fascicularis
ENSARWP00000010052	ENSARWG00000006969	Apteryx_rowi
ENSLCOP00000018870	ENSLCOG00000013340	Lepidothrix_coronata
ENSMUNP00000006965	ENSMUNG00000005604	Melopsittacus_undulatus
ENSAOWP00000018238	ENSAOWG00000012401	Apteryx_owenii
ENSTBEP00000013276	ENSTBEG00000015300	Tupaia_belangeri
ENSKMAP00000015462	ENSKMAG00000011566	Kryptolebias_marmoratus
ENSPVIP00000013111	ENSPVIG00000010201	Pogona_vitticeps
ENSAPOP00000031058	ENSAPOG00000018031	Acanthochromis_polyacanthus
ENSTGEP00000003124	ENSTGEG00000002686	Theropithecus_gelada
ENSMZEP00005001372	ENSMZEG00005001118	Maylandia_zebra
ENSMICP00000048790	ENSMICG00000048060	Microcebus_murinus
ENSCLAP00000024365	ENSCLAG00000016733	Chinchilla_lanigera
ENSMSIP00000032485	ENSMSIG00000027230	Mus_spicilegus
ENSCCEP00000012899	ENSCCEG00000012406	Cyanistes_caeruleus
ENSABRP00000021850	ENSABRG00000017829	Anser_brachyrhynchus
ENSCCAP00000025792	ENSCCAG00000030633	Cebus_capucinus_imitator
ENSOANP00000006252	ENSOANG00000003953	Ornithorhynchus_anatinus
ENSGACP00000025473	ENSGACG00000019268	Gasterosteus_aculeatus
ENSP00000293217	ENSG00000161533	Homo_sapiens
ENSDNOP00000019703	ENSDNOG00000038890	Dasypus_novemcinctus
ENSFCAP00000016791	ENSFCAG00000005765	Felis_catus
ENSPTEP00000043550	ENSPTEG00000039642	Piliocolobus_tephrosceles
ENSHGLP00100014958	ENSHGLG00100011079	Heterocephalus_glaber_HetGla_1.0
ENSCPRP00005009371	ENSCPRG00005006650	Crocodylus_porosus
ENSAMEP00000010519	ENSAMEG00000009993	Ailuropoda_melanoleuca
ENSEBUP00000005794	ENSEBUG00000003895	Eptatretus_burgeri
ENSSARP00000003588	ENSSARG00000003950	Sorex_araneus
ENSCGOP00000053381	ENSCGOG00000023144	Cottoperca_gobio
ENSELUP00000030515	ENSELUG00000007744	Esox_lucius
ENSCHAP00000034591	ENSCHAG00000015871	Clupea_harengus
MGP_CAROLIEiJ_P0031106	MGP_CAROLIEiJ_G0017434	Mus_caroli_strain_CAROLI_EIJ
ENSDARP00000049225	ENSDARG00000014727	Danio_rerio
ENSBSLP00000006263	ENSBSLG00000002863	Betta_splendens
ENSCANP00000007995	ENSCANG00000026297	Colobus_angolensis_palliatus
ENSMAMP00000024983	ENSMAMG00000016796	Mastacembelus_armatus
ENSCPUP00000004526	ENSCPUG00000003348	Calidris_pugnax
ENSPEMP00000002400	ENSPEMG00000002591	Peromyscus_maniculatus_bairdii
ENSHBUP00000001815	ENSHBUG00000003000	Haplochromis_burtoni
ENSANAP00000040683	ENSANAG00000037675	Aotus_nancymaae
ENSFHEP00000011663	ENSFHEG00000013121	Fundulus_heteroclitus
ENSPREP00000029304	ENSPREG00000019573	Poecilia_reticulata
ENSPSIP00000014061	ENSPSIG00000012513	Pelodiscus_sinensis
ENSRBIP00000026741	ENSRBIG00000037228	Rhinopithecus_bieti
ENSGGOP00000004501	ENSGGOG00000004590	Gorilla_gorilla
ENSTRUP00000048167	ENSTRUG00000020167	Takifugu_rubripes
ENSEEEP00000007377	ENSEEEG00000003842	Electrophorus_electricus
ENSHCOP00000027273	ENSHCOG00000018954	Hippocampus_comes
ENSTSYP00000025234	ENSTSYG00000004686	Carlito_syrichta
ENSGAFP00000016097	ENSGAFG00000010881	Gambusia_affinis
