ENSTTRP00000002947	ENSTTRG00000003145	Tursiops_truncatus
ENSBIXP00000040828	ENSBIXG00000024992	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPVAP00000007254	ENSPVAG00000007679	Pteropus_vampyrus
ENSOPRP00000014231	ENSOPRG00000015558	Ochotona_princeps
ENSPCAP00000004128	ENSPCAG00000004324	Procavia_capensis
ENSMEUP00000008883	ENSMEUG00000009720	Notamacropus_eugenii
ENSMUNP00000021628	ENSMUNG00000016310	Melopsittacus_undulatus
ENSOCUP00000013755	ENSOCUG00000015998	Oryctolagus_cuniculus
ENSPPYP00000014954	ENSPPYG00000013371	Pongo_abelii
ENSOCUP00000016303	ENSOCUG00000021446	Oryctolagus_cuniculus
ENSPMAP00000008483	ENSPMAG00000007698	Petromyzon_marinus
ENSVURP00010026468	ENSVURG00010020076	Vombatus_ursinus
ENSVURP00010025862	ENSVURG00010019631	Vombatus_ursinus
ENSPCIP00000035676	ENSPCIG00000026377	Phascolarctos_cinereus
ENSSHAP00000005074	ENSSHAG00000004439	Sarcophilus_harrisii
ENSPTRP00000073000	ENSPTRG00000013097	Pan_troglodytes
ENSPPAP00000025546	ENSPPAG00000035780	Pan_paniscus
ENSP00000264606	ENSG00000068024	Homo_sapiens
ENSGGOP00000026804	ENSGGOG00000014323	Gorilla_gorilla
ENSPPYP00000014905	ENSPPYG00000013328	Pongo_abelii
ENSNLEP00000016326	ENSNLEG00000013474	Nomascus_leucogenys
ENSTGEP00000030249	ENSTGEG00000024276	Theropithecus_gelada
ENSPANP00000003104	ENSPANG00000001165	Papio_anubis
ENSCATP00000024583	ENSCATG00000035774	Cercocebus_atys
ENSMLEP00000025074	ENSMLEG00000036591	Mandrillus_leucophaeus
ENSMMUP00000007984	ENSMMUG00000006077	Macaca_mulatta
ENSMNEP00000018522	ENSMNEG00000033168	Macaca_nemestrina
ENSMFAP00000020858	ENSMFAG00000033242	Macaca_fascicularis
ENSCSAP00000002314	ENSCSAG00000006011	Chlorocebus_sabaeus
ENSRROP00000024332	ENSRROG00000035950	Rhinopithecus_roxellana
ENSRBIP00000021353	ENSRBIG00000034612	Rhinopithecus_bieti
ENSPTEP00000040521	ENSPTEG00000037322	Piliocolobus_tephrosceles
ENSCANP00000017248	ENSCANG00000031985	Colobus_angolensis_palliatus
ENSCCAP00000024416	ENSCCAG00000029867	Cebus_capucinus_imitator
ENSSBOP00000021361	ENSSBOG00000027074	Saimiri_boliviensis_boliviensis
