ENSCSAVP00000009608	ENSCSAVG00000005640	Ciona_savignyi	ENSCSAVT00000009726
ENSCINP00000000792	ENSCING00000000429	Ciona_intestinalis	ENSCINT00000000792
ENSEBUP00000025126	ENSEBUG00000015497	Eptatretus_burgeri	ENSEBUT00000025702
ENSLBEP00000030492	ENSLBEG00000023036	Labrus_bergylta
ENSMMOP00000016818	ENSMMOG00000012812	Mola_mola
ENSATEP00000021866	ENSATEG00000015126	Anabas_testudineus
ENSBSLP00000017943	ENSBSLG00000009351	Betta_splendens
ENSMALP00000014325	ENSMALG00000010047	Monopterus_albus
ENSKMAP00000027005	ENSKMAG00000020022	Kryptolebias_marmoratus
ENSCGOP00000003357	ENSCGOG00000001636	Cottoperca_gobio
ENSGACP00000013491	ENSGACG00000010210	Gasterosteus_aculeatus
ENSLCRP00005022414	ENSLCRG00005009049	Larimichthys_crocea
ENSAPEP00000001360	ENSAPEG00000000997	Amphiprion_percula
ENSAOCP00000006709	ENSAOCG00000010410	Amphiprion_ocellaris
ENSAPOP00000013945	ENSAPOG00000016831	Acanthochromis_polyacanthus
ENSSPAP00000003929	ENSSPAG00000003019	Stegastes_partitus
ENSPRNP00000033061	ENSPRNG00000016691	Parambassis_ranga
ENSMAMP00000019098	ENSMAMG00000012837	Mastacembelus_armatus
ENSSDUP00000019876	ENSSDUG00000014437	Seriola_dumerili
ENSSLDP00000019329	ENSSLDG00000015149	Seriola_lalandi_dorsalis
ENSLCAP00010005022	ENSLCAG00010002504	Lates_calcarifer
ENSSMAP00000020005	ENSSMAG00000012261	Scophthalmus_maximus
ENSFHEP00000015703	ENSFHEG00000017405	Fundulus_heteroclitus
ENSCVAP00000003936	ENSCVAG00000005246	Cyprinodon_variegatus
ENSXMAP00000001408	ENSXMAG00000001398	Xiphophorus_maculatus
ENSXCOP00000015416	ENSXCOG00000011671	Xiphophorus_couchianus
ENSGAFP00000019271	ENSGAFG00000013011	Gambusia_affinis
ENSPLAP00000015904	ENSPLAG00000020101	Poecilia_latipinna
ENSPMEP00000006445	ENSPMEG00000007973	Poecilia_mexicana
ENSPFOP00000010502	ENSPFOG00000010438	Poecilia_formosa
ENSPREP00000003456	ENSPREG00000002459	Poecilia_reticulata
ENSORLP00015006005	ENSORLG00015006859	Oryzias_latipes_ASM223469v1
ENSORLP00000007569	ENSORLG00000006020	Oryzias_latipes_ASM223467v1
ENSORLP00020003518	ENSORLG00020004326	Oryzias_latipes_ASM223471v1
ENSOMEP00000010205	ENSOMEG00000011522	Oryzias_melastigma
ENSACLP00000021700	ENSACLG00000014695	Astatotilapia_calliptera
ENSPNYP00000009563	ENSPNYG00000007216	Pundamilia_nyererei
ENSHBUP00000035600	ENSHBUG00000023802	Haplochromis_burtoni
ENSNBRP00000003442	ENSNBRG00000002729	Neolamprologus_brichardi
ENSMZEP00005001330	ENSMZEG00005001090	Maylandia_zebra
ENSONIP00000004519	ENSONIG00000003592	Oreochromis_niloticus
ENSACIP00000020594	ENSACIG00000015970	Amphilophus_citrinellus
ENSGWIP00000004913	ENSGWIG00000002117	Gouania_willdenowi
ENSTNIP00000010520	ENSTNIG00000007703	Tetraodon_nigroviridis
ENSTNIP00000010521	ENSTNIG00000007704	Tetraodon_nigroviridis
ENSTNIP00000010519	ENSTNIG00000007702	Tetraodon_nigroviridis
ENSTRUP00000009451	ENSTRUG00000003984	Takifugu_rubripes
ENSCSEP00000013178	ENSCSEG00000008489	Cynoglossus_semilaevis
ENSHCOP00000002783	ENSHCOG00000004021	Hippocampus_comes
ENSPMGP00000017075	ENSPMGG00000013989	Periophthalmus_magnuspinnatus
ENSGMOP00000014673	ENSGMOG00000013718	Gadus_morhua
ENSHHUP00000088404	ENSHHUG00000051096	Hucho_hucho
ENSHHUP00000000205	ENSHHUG00000000072	Hucho_hucho
ENSELUP00000042530	ENSELUG00000023789	Esox_lucius
ENSAMXP00000038600	ENSAMXG00000013600	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005048811	ENSAMXG00005022294	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000024409	ENSPNAG00000008950	Pygocentrus_nattereri
ENSIPUP00000008522	ENSIPUG00000005802	Ictalurus_punctatus
ENSEEEP00000025632	ENSEEEG00000012431	Electrophorus_electricus
ENSDARP00000132899	ENSDARG00000101379	Danio_rerio
ENSCHAP00000023230	ENSCHAG00000011410	Clupea_harengus
ENSDCDP00000034211	ENSDCDG00000023151	Denticeps_clupeoides
ENSPKIP00000019767	ENSPKIG00000004772	Paramormyrops_kingsleyae
ENSPKIP00000027148	ENSPKIG00000009279	Paramormyrops_kingsleyae
ENSSFOP00015004971	ENSSFOG00015003214	Scleropages_formosus
ENSLOCP00000004483	ENSLOCG00000003756	Lepisosteus_oculatus
ENSECRP00000010218	ENSECRG00000006816	Erpetoichthys_calabaricus
ENSPVIP00000027510	ENSPVIG00000020441	Pogona_vitticeps	ENSPVIT00000033827
ENSACAP00000006811	ENSACAG00000006932	Anolis_carolinensis	ENSACAT00000006961
ENSSMRP00000001441	ENSSMRG00000000773	Salvator_merianae
ENSNSUP00000000798	ENSNSUG00000000024	Notechis_scutatus
ENSSPUP00000024417	ENSSPUG00000018702	Sphenodon_punctatus
ENSGAGP00000014387	ENSGAGG00000010935	Gopherus_agassizii
ENSCABP00000004008	ENSCABG00000003029	Chelonoidis_abingdonii
ENSCPBP00000025855	ENSCPBG00000018364	Chrysemys_picta_bellii
ENSPSIP00000012780	ENSPSIG00000011507	Pelodiscus_sinensis
ENSCPRP00005011423	ENSCPRG00005008138	Crocodylus_porosus
ENSGALP00000015616	ENSGALG00000009593	Gallus_gallus
ENSCJPP00005022761	ENSCJPG00005018100	Coturnix_japonica
ENSMGAP00000011042	ENSMGAG00000010610	Meleagris_gallopavo
ENSNMEP00000015775	ENSNMEG00000013981	Numida_meleagris
ENSAPLP00000032167	ENSAPLG00000005507	Anas_platyrhynchos_platyrhynchos
ENSABRP00000003227	ENSABRG00000003028	Anser_brachyrhynchus
ENSLCOP00000006464	ENSLCOG00000004800	Lepidothrix_coronata
ENSMVIP00005024247	ENSMVIG00005017017	Manacus_vitellinus
ENSPMJP00000007037	ENSPMJG00000005854	Parus_major
ENSCCEP00000002282	ENSCCEG00000002568	Cyanistes_caeruleus
ENSFALP00000007990	ENSFALG00000007649	Ficedula_albicollis
ENSJHYP00000004751	ENSJHYG00000003924	Junco_hyemalis
ENSZALP00000006533	ENSZALG00000005897	Zonotrichia_albicollis
ENSSCAP00000012920	ENSSCAG00000009628	Serinus_canaria
ENSTGUP00000011543	ENSTGUG00000011199	Taeniopygia_guttata
ENSLSDP00000010927	ENSLSDG00000007954	Lonchura_striata_domestica
ENSMUNP00000021900	ENSMUNG00000016492	Melopsittacus_undulatus
ENSCPUP00000024320	ENSCPUG00000016502	Calidris_pugnax
ENSCPGP00000003835	ENSCPGG00000002843	Calidris_pygmaea
ENSAOWP00000022767	ENSAOWG00000015385	Apteryx_owenii
ENSAHAP00000021644	ENSAHAG00000015191	Apteryx_haastii
ENSARWP00000023697	ENSARWG00000016142	Apteryx_rowi
ENSDNVP00000004588	ENSDNVG00000003264	Dromaius_novaehollandiae
ENSNPEP00000002342	ENSNPEG00000001801	Nothoprocta_perdicaria
ENSLAFP00000006810	ENSLAFG00000008125	Loxodonta_africana
ENSPCAP00000002206	ENSPCAG00000002330	Procavia_capensis
ENSETEP00000013488	ENSETEG00000016624	Echinops_telfairi
ENSCHIP00000030487	ENSCHIG00000025210	Capra_hircus
ENSOARP00000002458	ENSOARG00000002318	Ovis_aries
ENSBTAP00000012206	ENSBTAG00000009263	Bos_taurus
ENSBMUP00000012421	ENSBMUG00000009515	Bos_mutus
ENSBIXP00005007042	ENSBIXG00005001318	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000008874	ENSBBBG00000016915	Bison_bison_bison
ENSBIXP00000022590	ENSBIXG00000025388	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTTRP00000002079	ENSTTRG00000002207	Tursiops_truncatus
ENSSSCP00000072023	ENSSSCG00000026018	Sus_scrofa_strain_reference
ENSVPAP00000004478	ENSVPAG00000004829	Vicugna_pacos
ENSMPUP00000002842	ENSMPUG00000002871	Mustela_putorius_furo
ENSNVIP00000025155	ENSNVIG00000019471	Neovison_vison
ENSUMAP00000015318	ENSUMAG00000011253	Ursus_maritimus
ENSUAMP00000013722	ENSUAMG00000011008	Ursus_americanus
ENSAMEP00000014353	ENSAMEG00000013606	Ailuropoda_melanoleuca
ENSCAFP00000020891	ENSCAFG00000014174	Canis_lupus_familiaris
ENSCAFP00020025654	ENSCAFG00020020193	Canis_lupus_dingo
ENSVVUP00000030935	ENSVVUG00000022566	Vulpes_vulpes
ENSPPRP00000016053	ENSPPRG00000008502	Panthera_pardus
ENSPTIP00000001721	ENSPTIG00000004131	Panthera_tigris_altaica
ENSFCAP00000046412	ENSFCAG00000025464	Felis_catus
ENSMLUP00000001448	ENSMLUG00000001574	Myotis_lucifugus
ENSPVAP00000007812	ENSPVAG00000008269	Pteropus_vampyrus
ENSECAP00000025855	ENSECAG00000018831	Equus_caballus
ENSECAP00000037313	ENSECAG00000019199	Equus_caballus
ENSEASP00005028775	ENSEASG00005019578	Equus_asinus_asinus
ENSEEUP00000013416	ENSEEUG00000014699	Erinaceus_europaeus
ENSPTRP00000041117	ENSPTRG00000022830	Pan_troglodytes
ENSPPAP00000010636	ENSPPAG00000028522	Pan_paniscus
ENSP00000484175	ENSG00000118855	Homo_sapiens
ENSGGOP00000020977	ENSGGOG00000024126	Gorilla_gorilla
ENSPPYP00000015931	ENSPPYG00000014247	Pongo_abelii
ENSNLEP00000005238	ENSNLEG00000004249	Nomascus_leucogenys
ENSMFAP00000041448	ENSMFAG00000041451	Macaca_fascicularis
ENSMMUP00000045533	ENSMMUG00000023510	Macaca_mulatta
ENSMNEP00000035087	ENSMNEG00000040690	Macaca_nemestrina
ENSCATP00000016377	ENSCATG00000032129	Cercocebus_atys
ENSMLEP00000006985	ENSMLEG00000027430	Mandrillus_leucophaeus
ENSTGEP00000002452	ENSTGEG00000002143	Theropithecus_gelada
ENSCSAP00000008377	ENSCSAG00000012186	Chlorocebus_sabaeus
