ENSDNVP00000014278	ENSDNVG00000010030	Dromaius_novaehollandiae
ENSNPEP00000008107	ENSNPEG00000006081	Nothoprocta_perdicaria
ENSCPUP00000018122	ENSCPUG00000012480	Calidris_pugnax
ENSCPGP00000018223	ENSCPGG00000012749	Calidris_pygmaea
ENSMUNP00000010370	ENSMUNG00000008190	Melopsittacus_undulatus
ENSAPLP00000026050	ENSAPLG00000022692	Anas_platyrhynchos_platyrhynchos
ENSABRP00000005702	ENSABRG00000005336	Anser_brachyrhynchus	ENSABRT00000008255
ENSNMEP00000013719	ENSNMEG00000012447	Numida_meleagris
ENSCJPP00005008368	ENSCJPG00005007498	Coturnix_japonica
ENSMVIP00005022732	ENSMVIG00005015946	Manacus_vitellinus
ENSLCOP00000019387	ENSLCOG00000013719	Lepidothrix_coronata
ENSLSDP00000021478	ENSLSDG00000015185	Lonchura_striata_domestica
ENSLSDP00000006941	ENSLSDG00000005233	Lonchura_striata_domestica
ENSSCAP00000014288	ENSSCAG00000010509	Serinus_canaria
ENSZALP00000000846	ENSZALG00000000984	Zonotrichia_albicollis
ENSCCEP00000019180	ENSCCEG00000017444	Cyanistes_caeruleus
ENSPMJP00000012034	ENSPMJG00000009284	Parus_major
ENSJHYP00000004590	ENSJHYG00000003775	Junco_hyemalis
ENSCPRP00005021927	ENSCPRG00005015263	Crocodylus_porosus
ENSCPBP00000006725	ENSCPBG00000005323	Chrysemys_picta_bellii
ENSGAGP00000011200	ENSGAGG00000008668	Gopherus_agassizii
ENSNSUP00000024601	ENSNSUG00000017775	Notechis_scutatus
