ENSSARP00000001233	ENSSARG00000001354	Sorex_araneus
ENSEEUP00000013050	ENSEEUG00000014303	Erinaceus_europaeus
ENSPVAP00000000947	ENSPVAG00000001001	Pteropus_vampyrus
ENSMLUP00000007850	ENSMLUG00000008612	Myotis_lucifugus
ENSECAP00000047830	ENSECAG00000017772	Equus_caballus
ENSEASP00005031931	ENSEASG00005021794	Equus_asinus_asinus
ENSUMAP00000024463	ENSUMAG00000017798	Ursus_maritimus	ENSUMAT00000028976
ENSUAMP00000028659	ENSUAMG00000022145	Ursus_americanus	ENSUAMT00000032006
ENSAMEP00000002153	ENSAMEG00000002045	Ailuropoda_melanoleuca	ENSAMET00000002244
ENSNVIP00000007325	ENSNVIG00000005811	Neovison_vison	ENSNVIT00000008572
ENSMPUP00000007757	ENSMPUG00000007815	Mustela_putorius_furo
ENSCAFP00000025664	ENSCAFG00000017413	Canis_lupus_familiaris
ENSCAFP00020008294	ENSCAFG00020006714	Canis_lupus_dingo
ENSCAFP00020007368	ENSCAFG00020005968	Canis_lupus_dingo
ENSVVUP00000040528	ENSVVUG00000028896	Vulpes_vulpes
ENSPPRP00000015456	ENSPPRG00000008065	Panthera_pardus
ENSPTIP00000010306	ENSPTIG00000011107	Panthera_tigris_altaica
ENSFCAP00000007673	ENSFCAG00000008276	Felis_catus
ENSBIXP00000007774	ENSBIXG00000013666	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015302	ENSBIXG00005005438	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000059137	ENSBTAG00000017815	Bos_taurus
ENSBMUP00000015728	ENSBMUG00000011968	Bos_mutus
ENSBBBP00000004107	ENSBBBG00000013050	Bison_bison_bison
ENSOARP00000002912	ENSOARG00000002743	Ovis_aries
ENSCHIP00000004790	ENSCHIG00000008880	Capra_hircus
ENSSSCP00000037768	ENSSSCG00000034964	Sus_scrofa_strain_reference
ENSTTRP00000015755	ENSTTRG00000016619	Tursiops_truncatus
ENSVPAP00000009166	ENSVPAG00000009849	Vicugna_pacos
ENSPPAP00000032609	ENSPPAG00000039187	Pan_paniscus
ENSPTRP00000014910	ENSPTRG00000008753	Pan_troglodytes
ENSGGOP00000006260	ENSGGOG00000006399	Gorilla_gorilla
ENSP00000305255	ENSG00000170310	Homo_sapiens
ENSPPYP00000008962	ENSPPYG00000007970	Pongo_abelii
ENSNLEP00000012262	ENSNLEG00000010055	Nomascus_leucogenys
ENSPTEP00000003578	ENSPTEG00000004250	Piliocolobus_tephrosceles
ENSCANP00000027140	ENSCANG00000036984	Colobus_angolensis_palliatus
ENSRBIP00000001387	ENSRBIG00000007063	Rhinopithecus_bieti
ENSRROP00000034900	ENSRROG00000040998	Rhinopithecus_roxellana
ENSMFAP00000018401	ENSMFAG00000032279	Macaca_fascicularis
ENSMMUP00000065565	ENSMMUG00000009398	Macaca_mulatta
ENSMNEP00000018427	ENSMNEG00000033142	Macaca_nemestrina
ENSCSAP00000006572	ENSCSAG00000010342	Chlorocebus_sabaeus
ENSCATP00000040089	ENSCATG00000042616	Cercocebus_atys
ENSMLEP00000008802	ENSMLEG00000028615	Mandrillus_leucophaeus
ENSPANP00000019687	ENSPANG00000023776	Papio_anubis
ENSTGEP00000033671	ENSTGEG00000026876	Theropithecus_gelada
ENSCCAP00000010887	ENSCCAG00000023198	Cebus_capucinus_imitator
ENSSBOP00000022377	ENSSBOG00000027719	Saimiri_boliviensis_boliviensis
ENSCJAP00000076450	ENSCJAG00000012613	Callithrix_jacchus
ENSANAP00000014829	ENSANAG00000025314	Aotus_nancymaae
ENSTSYP00000009893	ENSTSYG00000010795	Carlito_syrichta
ENSPCOP00000023421	ENSPCOG00000023853	Propithecus_coquereli
ENSMICP00000007178	ENSMICG00000007887	Microcebus_murinus
ENSPSMP00000019616	ENSPSMG00000013819	Prolemur_simus
ENSOGAP00000004502	ENSOGAG00000005037	Otolemur_garnettii
MGP_SPRETEiJ_P0028754	MGP_SPRETEiJ_G0017370	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000021285	ENSMUSG00000020903	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000009340	ENSMSIG00000008243	Mus_spicilegus
MGP_CAROLIEiJ_P0027375	MGP_CAROLIEiJ_G0016534	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0034128	MGP_PahariEiJ_G0017664	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005204	ENSRNOG00000003849	Rattus_norvegicus
ENSMUGP00000007927	ENSMUGG00000007188	Meriones_unguiculatus
ENSCGRP00015016343	ENSCGRG00015012578	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016784	ENSCGRG00000012196	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001025860	ENSCGRG00001023332	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000009994	ENSMAUG00000011000	Mesocricetus_auratus
ENSMOCP00000011782	ENSMOCG00000012035	Microtus_ochrogaster
ENSPEMP00000001340	ENSPEMG00000001018	Peromyscus_maniculatus_bairdii
ENSNGAP00000023763	ENSNGAG00000022222	Nannospalax_galili
ENSJJAP00000007501	ENSJJAG00000011886	Jaculus_jaculus
ENSUPAP00010021309	ENSUPAG00010016949	Urocitellus_parryii
ENSSTOP00000000653	ENSSTOG00000000733	Ictidomys_tridecemlineatus
