ENSAHAP00000024619	ENSAHAG00000017176	Apteryx_haastii	ENSAHAT00000027116
ENSAOWP00000001970	ENSAOWG00000001422	Apteryx_owenii	ENSAOWT00000002241
ENSARWP00000003706	ENSARWG00000002757	Apteryx_rowi	ENSARWT00000004298
ENSDNVP00000020339	ENSDNVG00000014250	Dromaius_novaehollandiae	ENSDNVT00000024519
ENSNPEP00000012724	ENSNPEG00000009505	Nothoprocta_perdicaria	ENSNPET00000013037
ENSAPLP00000017352	ENSAPLG00000028349	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006134	ENSABRG00000005691	Anser_brachyrhynchus
ENSCJPP00005023406	ENSCJPG00005018573	Coturnix_japonica
ENSCPGP00000021964	ENSCPGG00000015275	Calidris_pygmaea
ENSCPUP00000004426	ENSCPUG00000003279	Calidris_pugnax
ENSCPRP00005024416	ENSCPRG00005016984	Crocodylus_porosus
ENSCABP00000014351	ENSCABG00000010718	Chelonoidis_abingdonii
ENSGAGP00000025792	ENSGAGG00000018823	Gopherus_agassizii
ENSCPBP00000009610	ENSCPBG00000007429	Chrysemys_picta_bellii
ENSSMRP00000018202	ENSSMRG00000014163	Salvator_merianae
ENSPVIP00000000652	ENSPVIG00000000611	Pogona_vitticeps
