ENSJHYP00000002160	ENSJHYG00000001840	Junco_hyemalis
ENSSCAP00000002743	ENSSCAG00000002384	Serinus_canaria
ENSCCEP00000007829	ENSCCEG00000008164	Cyanistes_caeruleus
ENSGAGP00000018392	ENSGAGG00000013616	Gopherus_agassizii
ENSAPLP00000018856	ENSAPLG00000018262	Anas_platyrhynchos_platyrhynchos
ENSSDAP00000010547	ENSSDAG00000009572	Spermophilus_dauricus
ENSNSUP00000012107	ENSNSUG00000009093	Notechis_scutatus
ENSPVIP00000018393	ENSPVIG00000014061	Pogona_vitticeps
ENSGALP00000067250	ENSGALG00000052203	Gallus_gallus
ENSMVIP00005008315	ENSMVIG00005006202	Manacus_vitellinus
ENSAPOP00000008841	ENSAPOG00000011044	Acanthochromis_polyacanthus
ENSSPAP00000026836	ENSSPAG00000020237	Stegastes_partitus
ENSXCOP00000000739	ENSXCOG00000000627	Xiphophorus_couchianus
ENSPLAP00000022388	ENSPLAG00000006887	Poecilia_latipinna
ENSFHEP00000031993	ENSFHEG00000018240	Fundulus_heteroclitus
ENSSMAP00000007767	ENSSMAG00000004804	Scophthalmus_maximus	ENSSMAT00000007867
ENSCGOP00000007291	ENSCGOG00000003727	Cottoperca_gobio
ENSCHAP00000013572	ENSCHAG00000007428	Clupea_harengus
