ENSFDAP00000022834	ENSFDAG00000021130	Fukomys_damarensis
ENSFHEP00000025365	ENSFHEG00000007573	Fundulus_heteroclitus
ENSCHOP00000010445	ENSCHOG00000011804	Choloepus_hoffmanni
ENSFCAP00000035726	ENSFCAG00000014311	Felis_catus
ENSCJAP00000026552	ENSCJAG00000014399	Callithrix_jacchus
ENSSCAP00000006814	ENSSCAG00000005302	Serinus_canaria
ENSZALP00000013796	ENSZALG00000011480	Zonotrichia_albicollis
ENSUPAP00010019379	ENSUPAG00010015301	Urocitellus_parryii
ENSECAP00000023616	ENSECAG00000022834	Equus_caballus
ENSETEP00000015152	ENSETEG00000018640	Echinops_telfairi
ENSSPUP00000002526	ENSSPUG00000001904	Sphenodon_punctatus
ENSTGUP00000006541	ENSTGUG00000006347	Taeniopygia_guttata
ENSGAFP00000008942	ENSGAFG00000006020	Gambusia_affinis
ENSEEEP00000034744	ENSEEEG00000016513	Electrophorus_electricus
ENSAOCP00000003308	ENSAOCG00000006628	Amphiprion_ocellaris
ENSMVIP00005015009	ENSMVIG00005010807	Manacus_vitellinus
ENSOPRP00000011389	ENSOPRG00000012463	Ochotona_princeps
ENSABRP00000002216	ENSABRG00000002195	Anser_brachyrhynchus
ENSSBOP00000006792	ENSSBOG00000020352	Saimiri_boliviensis_boliviensis
ENSPNAP00000020475	ENSPNAG00000027504	Pygocentrus_nattereri
ENSJJAP00000016555	ENSJJAG00000018356	Jaculus_jaculus
ENSCHIP00000006190	ENSCHIG00000010052	Capra_hircus
ENSGAGP00000004354	ENSGAGG00000003613	Gopherus_agassizii
ENSCCEP00000015863	ENSCCEG00000014940	Cyanistes_caeruleus
ENSEEUP00000002185	ENSEEUG00000002378	Erinaceus_europaeus
ENSTGEP00000017108	ENSTGEG00000013828	Theropithecus_gelada
ENSCAFP00020001535	ENSCAFG00020001379	Canis_lupus_dingo
ENSHBUP00000035454	ENSHBUG00000001182	Haplochromis_burtoni
ENSJHYP00000021761	ENSJHYG00000016465	Junco_hyemalis
ENSMALP00000020771	ENSMALG00000014464	Monopterus_albus
ENSPTEP00000000998	ENSPTEG00000001101	Piliocolobus_tephrosceles
ENSELUP00000016435	ENSELUG00000016242	Esox_lucius
ENSLCAP00010016318	ENSLCAG00010007627	Lates_calcarifer
ENSCPBP00000004039	ENSCPBG00000003269	Chrysemys_picta_bellii
ENSEBUP00000005559	ENSEBUG00000003703	Eptatretus_burgeri	ENSEBUT00000005999
ENSOARP00000006780	ENSOARG00000006324	Ovis_aries
ENSDCDP00000039209	ENSDCDG00000026104	Denticeps_clupeoides
ENSMMUP00000030899	ENSMMUG00000023471	Macaca_mulatta
ENSMMOP00000002624	ENSMMOG00000002126	Mola_mola
ENSMICP00000011171	ENSMICG00000012260	Microcebus_murinus
ENSXETP00000027660	ENSXETG00000008820	Xenopus_tropicalis
ENSPMEP00000030830	ENSPMEG00000017590	Poecilia_mexicana
ENSRNOP00000039886	ENSRNOG00000018967	Rattus_norvegicus
ENSCHAP00000056207	ENSCHAG00000025346	Clupea_harengus
ENSOCUP00000023757	ENSOCUG00000011087	Oryctolagus_cuniculus
ENSGGOP00000014217	ENSGGOG00000014559	Gorilla_gorilla
ENSCGRP00001016369	ENSCGRG00001016673	Cricetulus_griseus_CHOK1GS_HDv1
ENSMGAP00000000725	ENSMGAG00000001290	Meleagris_gallopavo
ENSBBBP00000025045	ENSBBBG00000020161	Bison_bison_bison
ENSMAUP00000012990	ENSMAUG00000013115	Mesocricetus_auratus
ENSAMXP00005037275	ENSAMXG00005017217	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00015011420	ENSORLG00015012260	Oryzias_latipes_ASM223469v1
ENSSARP00000009046	ENSSARG00000009992	Sorex_araneus
ENSACLP00000036663	ENSACLG00000024788	Astatotilapia_calliptera
ENSAPLP00000015619	ENSAPLG00000015680	Anas_platyrhynchos_platyrhynchos
ENSODEP00000019135	ENSODEG00000014115	Octodon_degus
ENSTNIP00000000202	ENSTNIG00000002553	Tetraodon_nigroviridis
ENSAPEP00000000037	ENSAPEG00000000028	Amphiprion_percula
ENSPCAP00000004970	ENSPCAG00000005178	Procavia_capensis
ENSBMUP00000029853	ENSBMUG00000022295	Bos_mutus
ENSUAMP00000036291	ENSUAMG00000027478	Ursus_americanus
ENSLBEP00000019337	ENSLBEG00000014816	Labrus_bergylta
ENSNMEP00000019299	ENSNMEG00000016679	Numida_meleagris
ENSPCIP00000013642	ENSPCIG00000010715	Phascolarctos_cinereus
FBpp0310217	FBgn0032339	Drosophila_melanogaster
ENSNPEP00000009466	ENSNPEG00000007088	Nothoprocta_perdicaria	ENSNPET00000009699
ENSVURP00010030147	ENSVURG00010023051	Vombatus_ursinus
ENSCSAVP00000016852	ENSCSAVG00000009907	Ciona_savignyi
ENSVPAP00000004188	ENSVPAG00000004511	Vicugna_pacos
ENSPVIP00000004886	ENSPVIG00000004006	Pogona_vitticeps	ENSPVIT00000006270
ENSSTOP00000024376	ENSSTOG00000010240	Ictidomys_tridecemlineatus
ENSAMXP00000040642	ENSAMXG00000003648	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSPAP00000029779	ENSSPAG00000022388	Stegastes_partitus
ENSARWP00000016389	ENSARWG00000011279	Apteryx_rowi	ENSARWT00000018662
ENSTRUP00000012275	ENSTRUG00000005124	Takifugu_rubripes
ENSTTRP00000007322	ENSTTRG00000007740	Tursiops_truncatus
ENSDNOP00000009545	ENSDNOG00000012277	Dasypus_novemcinctus
ENSANAP00000027198	ENSANAG00000031417	Aotus_nancymaae
ENSGMOP00000011384	ENSGMOG00000010618	Gadus_morhua
ENSKMAP00000024435	ENSKMAG00000018043	Kryptolebias_marmoratus
ENSPCOP00000027084	ENSPCOG00000025973	Propithecus_coquereli
ENSPVAP00000012912	ENSPVAG00000013686	Pteropus_vampyrus
ENSATEP00000020919	ENSATEG00000014538	Anabas_testudineus
ENSSDAP00000002574	ENSSDAG00000002345	Spermophilus_dauricus
ENSOANP00000020389	ENSOANG00000012892	Ornithorhynchus_anatinus
ENSCSEP00000030712	ENSCSEG00000019664	Cynoglossus_semilaevis
ENSCCAP00000019704	ENSCCAG00000027555	Cebus_capucinus_imitator
ENSHGLP00000015368	ENSHGLG00000010982	Heterocephalus_glaber_HetGla_female_1.0
ENSSLDP00000003492	ENSSLDG00000002684	Seriola_lalandi_dorsalis
ENSUMAP00000019490	ENSUMAG00000014152	Ursus_maritimus
ENSPSMP00000020877	ENSPSMG00000014742	Prolemur_simus
ENSGWIP00000018032	ENSGWIG00000010011	Gouania_willdenowi
ENSPTIP00000009892	ENSPTIG00000010801	Panthera_tigris_altaica
ENSSFOP00015031614	ENSSFOG00015020229	Scleropages_formosus
ENSSHAP00000013747	ENSSHAG00000011756	Sarcophilus_harrisii
ENSORLP00000038848	ENSORLG00000018798	Oryzias_latipes_ASM223467v1
